Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
NRSN1	4	0.06276	0.56299	0.53478	0.91122	0.57344	0.73443
CLCA1	4	0.22652	1.1578	0.094168	0.47208	0.24693	0.51137
EVX2	4	0.12484	1.5158	0.32307	0.78795	0.12957	0.4735
ABHD4	4	0.21434	1.4028	0.11251	0.51175	0.16067	0.4735
PHACTR3	4	-0.043388	-0.34427	0.91946	0.99222	0.73064	0.83869
OMA1	4	0.16027	1.3569	0.22433	0.69	0.17481	0.47494
RALB	4	-0.091395	-0.87707	0.92512	0.99301	0.38045	0.62089
HIST1H2BH	4	-0.109	-1.6215	0.87491	0.98871	0.10491	0.4735
OR6K2	4	0.050206	0.33944	0.58052	0.93016	0.73428	0.84123
FAM135A	4	0.29761	1.5791	0.029483	0.25299	0.11432	0.4735
HSF4	4	-0.036471	-0.28407	0.89743	0.98919	0.77636	0.869
TAT	4	0.11483	1.3581	0.35743	0.81647	0.17442	0.4748
HIGD1C	4	-0.065498	-0.8436	0.99274	0.9992	0.39889	0.63492
TMPRSS12	4	-0.056951	-0.48789	0.96485	0.99518	0.62563	0.76742
PARP2	4	0.13054	1.266	0.30582	0.77254	0.20552	0.48689
ZNRF2	4	0.12194	0.58416	0.33381	0.79933	0.55911	0.72861
MAP3K1	4	0.054093	0.83222	0.5663	0.92497	0.40528	0.64074
FBXW11	4	-0.54434	-2.1528	0.1854	0.63674	0.031335	0.29327
TCEANC	4	0.2601	1.4312	0.055487	0.35942	0.15238	0.4735
C1GALT1C1L	4	0.011291	0.17075	0.72272	0.96521	0.86442	0.92342
TSC22D1	4	0.038817	0.52007	0.62243	0.9429	0.60302	0.75043
RGCC	4	0.010738	0.18364	0.7251	0.96541	0.8543	0.91792
PQLC3	4	0.12191	1.5156	0.33391	0.79933	0.12961	0.4735
FGF17	4	0.40188	1.2287	0.0038781	0.063882	0.21918	0.49498
DSG4	4	0.00089268	0.081614	0.76055	0.97111	0.93495	0.96413
RPRD1A	4	0.12887	1.4454	0.31035	0.77704	0.14833	0.4735
HSD3B7	4	-0.22576	-1.0992	0.60662	0.93828	0.27169	0.52816
PDE10A	4	-0.001302	-0.011469	0.76896	0.97114	0.99085	0.99461
MED12L	4	0.096965	1.4688	0.41535	0.84898	0.14189	0.4735
SRL	4	0.072809	0.88744	0.49933	0.89398	0.37484	0.61607
SLC12A5	4	-0.080784	-0.81996	0.95888	0.99518	0.41224	0.64716
UTP14C	4	-0.19767	-0.87892	0.66077	0.95085	0.37944	0.62014
CTTNBP2	4	0.1338	1.2666	0.29667	0.76471	0.2053	0.48683
AIP	4	0.19483	1.5877	0.14548	0.57939	0.11236	0.4735
C17orf80	4	0.086625	0.49417	0.44966	0.86903	0.62118	0.76435
GOLM1	4	0.048776	0.42449	0.58569	0.93134	0.67121	0.79825
GPR83	4	0.22147	1.532	0.10272	0.49485	0.12552	0.4735
LMO1	4	-0.094598	-0.68727	0.91622	0.99145	0.49191	0.70676
NKAPL	4	0.29662	1.5643	0.029881	0.25477	0.11775	0.4735
INSL4	4	0.019064	0.17212	0.69428	0.95992	0.86334	0.9227
TSLP	4	0.044105	0.35537	0.60274	0.93716	0.72231	0.83283
Non-Targeting_Control-N819	1	0.2645	0.62089	0.35649	0.816	0.53467	0.72314
ZNF582	4	0.013792	0.10014	0.71282	0.96154	0.92023	0.95592
ZFAT	4	-0.40071	-1.9187	0.33202	0.79737	0.055019	0.40955
C3orf22	4	0.098537	0.90614	0.41003	0.84743	0.36486	0.60789
SCAF8	4	-0.64703	-2.4985	0.11773	0.52088	0.012473	0.15699
Non-Targeting_Control-N682	1	-1.012	-1.1304	0.17675	0.6239	0.25833	0.51993
OR6C70	4	0.16173	1.4421	0.2212	0.68657	0.14927	0.4735
MYEF2	4	-0.1213	-0.40406	0.83941	0.9813	0.68617	0.80907
TRIO	4	0.010187	0.26081	0.72694	0.96541	0.79424	0.88041
STARD7	4	-1.1236	-2.7906	0.018645	0.18675	0.0052617	0.083593
VN1R4	4	-0.049843	-0.66258	0.94158	0.9937	0.5076	0.71544
ANKRD36	4	-0.3839	-1.7853	0.3539	0.81311	0.07422	0.4735
Non-Targeting_Control-N289	1	-0.0059389	-0.70623	0.97171	0.99608	0.48005	0.70021
PRRX1	4	0.21129	1.2755	0.11749	0.5207	0.20215	0.48361
ANKS1B	4	-0.16937	-1.1008	0.72172	0.96485	0.27098	0.52792
TIRAP	4	0.23772	1.5137	0.080296	0.43779	0.13011	0.4735
TMPRSS11F	4	0.088818	0.43973	0.44364	0.86729	0.66014	0.79031
OR4E2	4	-0.088887	-0.75324	0.93313	0.99343	0.45131	0.67983
TP53	4	0.033889	0.39923	0.63874	0.94549	0.68973	0.81154
STMN4	4	0.05377	0.75428	0.56734	0.92521	0.45068	0.67914
MT1X	4	-0.20081	-1.0313	0.6548	0.94904	0.3024	0.55123
OR52K2	4	0.12948	1.7073	0.30856	0.77575	0.087761	0.4735
PXYLP1	4	0.14226	1.0758	0.27296	0.74663	0.28202	0.53562
DIO1	4	0.24202	1.4808	0.075225	0.42274	0.13865	0.4735
ADAM9	4	0.17309	1.2001	0.19192	0.64539	0.23012	0.50071
PANK4	4	0.24152	1.241	0.075772	0.42385	0.21462	0.49207
ATP5J	4	-0.66103	-2.213	0.11132	0.51066	0.026897	0.26505
C6orf89	4	-0.10378	-0.70262	0.88933	0.98919	0.48229	0.70121
ZFP64	4	0.036685	0.6003	0.63004	0.94457	0.54831	0.72593
KRTAP10-2	4	-0.14752	-0.71356	0.77109	0.97125	0.4755	0.69648
KIAA0226	4	0.011875	0.24854	0.72073	0.96485	0.80372	0.88622
WBP2	4	0.0028415	0.020855	0.75439	0.97048	0.98336	0.99085
Non-Targeting_Control-N496	1	0.11149	0.67183	0.7251	0.96541	0.50169	0.71227
BRD2	4	-0.87737	-1.9818	0.046438	0.32419	0.047497	0.37626
PRAMEF20	4	0.056398	0.3645	0.55715	0.92081	0.71549	0.82871
FAM26E	4	0.19877	1.4257	0.13827	0.56545	0.15394	0.4735
FFAR1	4	0.083586	0.84574	0.4606	0.87558	0.3977	0.63408
Non-Targeting_Control-N366	1	0.17167	0.65148	0.57038	0.92613	0.51474	0.71914
ADAD1	4	0.10222	1.4271	0.3991	0.84184	0.15354	0.4735
Non-Targeting_Control-N75	1	0.13843	0.66266	0.65555	0.94904	0.50755	0.71544
SRF	4	-1.1167	-2.7918	0.019241	0.19064	0.0052417	0.08334
OR8K3	4	0.18972	1.616	0.15502	0.5939	0.10609	0.4735
RAB40AL	4	-0.24852	-1.2453	0.56342	0.92423	0.21302	0.49112
RAC3	4	-0.098515	-0.872	0.90469	0.98963	0.38321	0.62323
MT1HL1	4	0.067627	0.42676	0.51708	0.90184	0.66955	0.79735
GTF3A	4	-1.019	-2.2619	0.027594	0.24183	0.023702	0.24261
BCL6B	4	-0.0089869	-0.18997	0.7963	0.97617	0.84933	0.91525
