sgRNA,Gene,Ts13.initial,Ts13.final
62638,RHBDF1,1831,447
49151624,STAU1,3798,3482
42160082,DGKH,2109,2176
24649631,MPP6,2147,2990
17114984,STMND1,1675,1765
108232381,NRCAM,3427,4462
98812393,DCBLD2,1662,1639
137205281,TMEM203,1477,2221
130449284,ADAMTS15,1836,2356
130498139,MEST,2663,3222
163512024,MAT2B,1364,1242
35084468,ISX,958,1031
126542142,CHST13,1867,2146
205799037,SLC41A1,2774,3624
116964735,FBXW8,805,997
51350368,ETFB,2704,2671
100532560,GGACT,537,497
37966041,ADRB3,1430,1349
32842229,PSMB8,1487,1072
140602049,DENND2A,2633,3289
23984749,UBXN2A,2410,2144
43606374,PTPRF,1451,1441
,Non-Targeting_Control-N796,1590,2291
135315509,ZRANB3,1854,3454
248295470,OR2T12,1485,1436
45112230,CDCP1,1219,1498
142681357,PSCA,947,933
26043481,HIST1H2BB,834,1106
1426357,TMEM88B,916,701
73551108,REC114,1935,2469
55364176,SRD5A3,1121,986
172475625,ITGA6,663,688
139272401,UBN2,626,673
72221243,FOLR2,2464,3940
49728957,KLHDC1,2059,3703
78617097,CHRNA3,946,1371
130307551,HMCN2,1874,2530
94563721,SERPINA4,2347,3107
,Non-Targeting_Control-N485,3163,4920
41731951,HAP1,1684,840
123686946,TCTN2,2402,2007
2027176,SLC9A3R2,2800,3061
118054147,NDST3,2074,3285
89180781,FOXN3,2133,2918
36835315,KIAA1328,1932,2281
103331459,TCEAL7,2849,3981
133227118,ANHX,1208,1089
48046480,C7orf57,1327,2291
76309522,STBD1,754,930
48735288,RASIP1,3066,3276
45323405,FAM118A,923,1439
41569692,CASK,1480,2052
49065779,CCDC120,2774,4367
149267164,ZNF783,1858,1671
202895629,KLHL12,1267,1331
75100453,SLC16A5,1948,1799
1800992,SMYD4,939,848
7485873,PEX11G,1001,1142
,Non-Targeting_Control-N871,1941,2731
15372278,AKAP8,2087,2397
48328293,SPINK8,3538,4477
1442197,MICALL2,2726,3640
16591892,CCT8L2,909,912
212625347,FAM71A,714,1018
153630588,S100A1,723,667
78642188,RNF219,1777,1210
27648648,KIAA0556,2765,2312
95407152,FAHD2A,1013,606
44387201,ZNF285,1394,1964
29478294,TAOK1,1970,2365
