sgRNA,Gene,HCT116-Ts3.initial,HCT116-Ts3.final
LMTK3_PKc_E5_42.1,LMTK3,2524,2438
FBXL5_2076.152,FBXL5,1134,1238
DUXA_E3_112.5,DUXA,1153,507
TRIM38_1398.32,TRIM38,1684,1789
SOX17_E1_109.4,SOX17,1283,1263
CDK16_PKc_E8_63.4,CDK16,413,833
GRK6_PKc_E7_45,GRK6,298,280
LRSAM1_2172.164,LRSAM1,2169,1988
KCNA2_BTB35126_E1_1500.15,KCNA2,639,1045
ZNF275_E4_237.13,ZNF275,829,1127
ZNF621_E5_492.16,ZNF621,737,939
LRSAM1_2172.179,LRSAM1,152,128
TSHZ3_E2_207.20,TSHZ3,919,1206
CDC27_2493.119,CDC27,401,552
MBD3_E5_178.8,MBD3,2746,2703
MBD3_MBD2_E5_178.8,MBD3,2746,2703
AHRR_E3_126.15,AHRR,724,516
OTUB2_705.66,OTUB2,1722,1119
TFAP4_E2_111.4,TFAP4,2666,1902
DDIT3_E4_192.15,DDIT3,769,371
CASP8_130.7,CASP8,1979,1991
ADAMTS7_5061.111,ADAMTS7,738,562
WHSC1_E7_39.0,WHSC1,2114,2838
ELK3_E2_153.5,ELK3,1148,953
ZNF746_E7_162.11,ZNF746,1262,1365
ATAT1_e5_114.0,ATAT1,3063,2644
HOXC9_E2_147.17,HOXC9,1584,1703
ANAPC4_2430.140,ANAPC4,865,268
USP45_2445.8,USP45,2242,1844
RNF165_1041.67,RNF165,1244,823
RNF121_984.71,RNF121,1125,1069
PCSK4_2268.424,PCSK4,1312,1370
HABP2_1683.158,HABP2,1707,1060
MYBL2_E5_221.19,MYBL2,1375,907
MYBL2_SANT3_E5_97.6,MYBL2,1375,907
DDB1_3423.254,DDB1,588,107
DIDO1_Phd_E4_118.8,DIDO1,723,341
MIB1_3021.166,MIB1,284,144
PRMT7_e5_73.1,PRMT7,2508,1632
ZNF710_E2_450.23,ZNF710,519,544
RAB40B_837.68,RAB40B,285,266
GTF3A_E1_78.8,GTF3A,3280,180
CASP3_834.24,CASP3,562,865
MAPK8_PKc_E7_72,MAPK8,657,478
FBXO40_3,FBXO40,681,523
TSSK2_PKc_E1_789.12,TSSK2,1732,1594
VRK3_PKc_E6_65.2,VRK3,956,871
ZRANB1_199.3,ZRANB1,1940,1105
HTRA4_1431.162,HTRA4,732,705
TET1_e10_86.0,TET1,811,1375
ZNF32_E3_561.40,ZNF32,820,752
KCNG3_BTB11111_E1_1311.18,KCNG3,968,695
MBD1_E2_98.3,MBD1,944,1246
MBD1_MBD_E2_98.3,MBD1,944,1246
UBE2C_240.27,UBE2C,1040,241
HERC1_14586.1075,HERC1,708,891
ZNF445_E8_1842.104,ZNF445,369,297
SGK494_PKc_E6_105.2,SGK494,679,481
USP33_2829.197,USP33,1403,973
ASB17_888.33,ASB17,713,429
PSEN1_1404.109,PSEN1,1652,1335
METAP2_1437.87,METAP2,2049,296
LEUTX_E2_73.2,LEUTX,1948,1927
CDK9_e4.1,CDK9,3992,1354
MKNK1_PKc_E4_98.4,MKNK1,660,752
FOXS1_E1_234.33,FOXS1,1825,2151
RNF20_2928.183,RNF20,916,823
GGTLC2_657.85,GGTLC2,1773,1506
ZNF652_E5_145.8,ZNF652,497,211
PEPD_1482.189,PEPD,1466,1104
ZNF429_E4_1167.56,ZNF429,2931,4375
CDK9_e5.2,CDK9,4621,1059
ZNF668_E2_410.27,ZNF668,1168,654
HDAC10_e6_69.8,HDAC10,997,1305
RNF152_612.100,RNF152,498,497
PRMT2_e7_165.21,PRMT2,2444,1689
MLLT3_Yeats29112_E1_1707.15,MLLT3,637,1098
PMS1_E9_143.6,PMS1,2398,2594
ZIC5_E1_118.4,ZIC5,1534,1436
UBE4B_3909.160,UBE4B,768,567
ZNF354A_E5_1209.34,ZNF354A,1873,2457
