Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
ZNF746	4	-0.18332	-1.1878	0.59044	0.90194	0.23489	0.52859
ATP6V0E2	4	-0.22254	-1.9658	0.49553	0.86164	0.049316	0.48642
SLC2A7	4	-0.045801	-0.71746	0.97857	0.9958	0.47309	0.70496
AMZ1	4	-0.63911	-1.6953	0.057279	0.40195	0.090028	0.50807
WBSCR27	4	0.10082	0.70005	0.43675	0.83281	0.4839	0.71366
VPS37D	4	-0.069889	-0.95625	0.93382	0.98707	0.33894	0.60243
RBM33	4	-0.67833	-2.5329	0.046788	0.3653	0.011311	0.27343
AGR3	4	0.19096	1.4561	0.18685	0.64261	0.14538	0.50807
SGK223	4	0.22012	1.1369	0.13494	0.58262	0.2556	0.54192
PEBP4	4	-0.2625	-0.85418	0.41189	0.82119	0.393	0.64266
TMEM65	4	0.10184	0.96597	0.43337	0.83065	0.33406	0.59838
RDH10	4	-0.20616	-1.5986	0.53331	0.87835	0.10991	0.50807
ANKRD46	4	0.5325	1.1954	0.00064638	0.032419	0.23194	0.52645
ESCO2	4	-0.086042	-1.0196	0.88122	0.97741	0.30793	0.58049
FBXO16	4	-0.058444	-0.49658	0.97529	0.99553	0.61948	0.76879
FAM84B	4	0.11963	0.93629	0.37505	0.79818	0.34912	0.60795
C8orf37	4	0.13511	1.3002	0.32846	0.76841	0.19352	0.50956
VPS13B	4	0.014204	0.10157	0.75293	0.94961	0.9191	0.95697
TDRP	4	0.026622	0.43954	0.70714	0.93937	0.66027	0.79685
ERICH1	4	0.30554	0.84621	0.043705	0.35254	0.39744	0.64565
SLC7A13	4	0.10824	0.9234	0.41229	0.82132	0.3558	0.61389
TMEM74	4	-0.054316	-0.39982	0.99085	0.998	0.68929	0.81667
FAM91A1	4	0.14286	0.95314	0.30668	0.75449	0.34052	0.60339
C8orf48	4	0.30805	1.4697	0.041866	0.34466	0.14165	0.50807
MCMDC2	4	0.14887	0.80527	0.28993	0.7428	0.42066	0.6633
CLVS1	4	-0.010921	-0.34822	0.85024	0.97347	0.72768	0.84064
NKX6-3	4	-0.27502	-1.4336	0.38867	0.80804	0.15167	0.50807
KCNU1	4	0.352	1.173	0.019541	0.22216	0.24079	0.53232
SBSPON	4	0.22864	1.1127	0.12202	0.5616	0.26582	0.54967
CAMSAP1	4	-0.00035511	-0.0061713	0.80917	0.96202	0.99508	0.99761
C9orf62	4	0.041466	0.59644	0.65081	0.92422	0.55088	0.74399
C9orf66	4	-0.086146	-0.66914	0.88082	0.97741	0.50341	0.72659
LINGO2	4	0.050874	0.32558	0.61401	0.91085	0.74474	0.85216
NXNL2	4	-0.060518	-0.54219	0.96823	0.99372	0.58769	0.75092
C9orf163	4	0.064013	0.52349	0.56364	0.8894	0.60063	0.7566
MAMDC4	4	-0.01743	-0.16935	0.87341	0.97741	0.86552	0.92725
LCN6	4	-0.34543	-1.8598	0.28078	0.73596	0.062916	0.50807
AK8	4	-0.046996	-0.43157	0.98384	0.99753	0.66605	0.8006
OR1Q1	4	0.16936	1.5338	0.23633	0.69777	0.12507	0.50807
TTLL11	4	-0.17247	-0.57625	0.61814	0.91193	0.56445	0.74575
RASEF	4	0.027215	0.15101	0.7047	0.93873	0.87997	0.93429
TTC39B	4	-0.028058	-0.62793	0.9114	0.98242	0.53005	0.74045
TRMT10B	4	-0.0089308	-0.10243	0.84164	0.97086	0.91842	0.95658
TTC16	4	-0.095373	-0.44092	0.84815	0.97274	0.65927	0.79637
FAM120AOS	4	-0.058206	-0.5342	0.97603	0.99564	0.5932	0.75307
SAXO1	4	-0.27894	-1.2711	0.38136	0.80284	0.2037	0.51217
FREM1	4	-0.089057	-0.92958	0.86993	0.9764	0.35259	0.61094
KIAA2026	4	0.19939	1.2129	0.17074	0.62848	0.22517	0.52163
ZNF483	4	0.14997	1.025	0.28699	0.74064	0.30535	0.57881
C9orf84	4	0.032751	0.21123	0.68352	0.93293	0.83271	0.90802
KIAA1958	4	0.13413	1.1222	0.33095	0.76947	0.26177	0.54619
TSTD2	4	0.075769	0.8732	0.52262	0.87395	0.38255	0.63509
ZNF782	4	0.038384	0.67829	0.66184	0.92528	0.49759	0.72266
LOC158434	4	-0.088788	-0.3469	0.87137	0.97681	0.72867	0.84127
PRUNE2	4	0.020152	0.14882	0.7315	0.94544	0.88169	0.93536
ZNF645	4	0.14909	1.3527	0.28928	0.74209	0.17616	0.50807
