Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
TRIM3	4	-0.019159	-0.45428	0.82365	0.98376	0.64962	0.78687
TAPT1	4	-0.0070373	-0.10188	0.77374	0.97886	0.91885	0.95732
NOMO3	4	-0.087665	-0.47089	0.91248	0.99319	0.63772	0.77871
MAGI3	4	0.067714	1.3586	0.45122	0.8743	0.17428	0.43714
DPF3	4	0.12613	1.5749	0.23652	0.69381	0.11527	0.43501
ISOC1	4	-0.034334	-0.43536	0.88684	0.9892	0.6633	0.79632
KBTBD2	4	-0.084312	-1.1869	0.92367	0.99331	0.23527	0.47547
PNPT1	4	-1.5192	-3.5583	0.00010463	0.0025445	0.00037333	0.017795
WFDC5	4	0.067141	0.43247	0.45415	0.87689	0.6654	0.79774
ZNF250	4	0.20132	1.625	0.071515	0.3827	0.10415	0.43501
EFHC2	4	0.13849	1.6174	0.1999	0.64452	0.1058	0.43501
HDAC9	4	-0.0049551	-0.066153	0.76443	0.97785	0.94726	0.97258
HDGFL1	4	0.17644	1.3046	0.11054	0.48308	0.19203	0.44583
BTG1	4	0.38883	1.4957	0.00062778	0.011811	0.13472	0.43501
ADRA2A	4	0.093057	1.585	0.35061	0.8083	0.11296	0.43501
DCN	4	0.1212	1.2426	0.25132	0.71032	0.21403	0.46016
CHD3	4	-0.069167	-1.1653	0.98101	0.99794	0.2439	0.48146
LRRC72	4	0.19556	1.4252	0.079885	0.40905	0.1541	0.43501
UBAC2	4	0.45397	1.019	0.00010463	0.0025445	0.30822	0.53148
OAS2	4	-0.0096716	-0.1796	0.78519	0.98036	0.85747	0.92131
