Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
CYSRT1	4	-0.084655	-1.7225	0.77988	0.98347	0.084976	0.58307
KL	4	0.020468	0.64541	0.73464	0.98072	0.51866	0.74753
ANKFY1	4	-0.18573	-1.2953	0.44685	0.92805	0.1952	0.58558
ARNT2	4	0.23249	1.4311	0.061008	0.5091	0.15241	0.58307
NAPEPLD	4	-0.089313	-1.6932	0.76024	0.98228	0.090426	0.58307
YIF1A	4	-0.055496	-0.93169	0.90235	0.99113	0.35149	0.66822
CCDC74A	4	-0.28004	-1.5632	0.25467	0.8284	0.11801	0.58307
ENTPD1	4	0.071716	0.90614	0.4909	0.93824	0.36486	0.67663
NUCKS1	4	-0.024137	-0.13562	0.95157	0.99584	0.89212	0.94658
OR8J3	4	0.029483	0.32568	0.68934	0.97224	0.74467	0.86727
WRAP53	4	-0.60549	-2.0876	0.032021	0.37033	0.036834	0.58307
CCNG2	4	0.12704	1.2569	0.28008	0.8482	0.2088	0.58595
CD4	4	0.10466	1.4793	0.35829	0.88766	0.13905	0.58307
CCDC17	4	0.018462	0.12168	0.74513	0.98153	0.90315	0.9517
NELL2	4	0.026938	0.15057	0.70162	0.97591	0.88032	0.94094
CHD3	4	0.043047	0.22199	0.62246	0.96355	0.82432	0.91134
MEF2BNB	4	-0.092096	-1.0992	0.7499	0.98173	0.2717	0.61584
NXPH2	4	0.095692	0.60442	0.3921	0.90409	0.54557	0.75102
ZBTB14	4	0.086859	0.39116	0.42661	0.91661	0.69568	0.83801
SPINK14	4	0.20451	1.2526	0.096907	0.62448	0.21036	0.58595
PAOX	4	0.16115	0.96258	0.18362	0.76444	0.33576	0.65568
HSPA1L	4	-0.041647	-0.76827	0.96614	0.99611	0.44232	0.7251
JMJD4	4	-0.075415	-0.47489	0.81578	0.98464	0.63486	0.79922
HBA2	4	-0.015862	-0.30598	0.90966	0.99246	0.75962	0.8758
APOF	4	0.014407	0.2904	0.76556	0.9827	0.77151	0.88263
SPATA31A3	4	0.030496	0.31877	0.68457	0.97098	0.7499	0.87049
ADGRE3	4	0.0098662	0.058334	0.78819	0.98347	0.95348	0.97665
SAPCD1	4	-0.049583	-0.90481	0.93044	0.99381	0.36557	0.67694
TUSC3	4	0.026052	0.2024	0.70634	0.97624	0.8396	0.91888
USP17L8	4	0.20594	1.5902	0.09467	0.61698	0.11179	0.58307
AOAH	4	-0.030765	-0.26757	0.98339	0.99818	0.78903	0.89334
HSD3B7	4	0.10249	0.84351	0.36734	0.89312	0.39894	0.69837
IRX2	4	0.28288	1.581	0.023767	0.31973	0.11387	0.58307
SERTAD1	4	0.050515	0.44651	0.58756	0.96091	0.65523	0.81157
VGLL4	4	0.26575	1.4089	0.033413	0.37753	0.15887	0.58307
ISL2	4	0.14327	1.6379	0.23011	0.81264	0.10143	0.58307
DNAH9	4	-0.060059	-0.54984	0.88241	0.99062	0.58243	0.76674
TRAFD1	4	-0.29092	-1.8694	0.23896	0.81902	0.061563	0.58307
BASP1	4	0.16161	0.84834	0.18258	0.76434	0.39625	0.69638
TIMM23B	4	0.15454	0.80606	0.19968	0.78438	0.42021	0.71061
CEBPD	4	0.15441	1.0831	0.19998	0.78493	0.27877	0.62008
SPPL2B	4	-0.23151	-1.2628	0.34129	0.88449	0.20667	0.58595
APIP	4	-0.024368	-0.41697	0.95286	0.9959	0.6767	0.82588
ABCC1	4	0.090429	0.86396	0.41299	0.91279	0.38761	0.69055
KCNJ13	4	0.049445	1.1957	0.59318	0.96217	0.23182	0.5974
CA6	4	0.28173	1.1663	0.024314	0.32277	0.2435	0.60165
PTGDR2	4	0.013631	0.14987	0.76974	0.9827	0.88087	0.94124
GPR37L1	4	-0.049746	-0.54959	0.92954	0.99381	0.5826	0.76674
BTBD19	4	-0.14902	-1.9555	0.54868	0.95541	0.050528	0.58307
CREM	4	0.015397	0.13004	0.76014	0.98228	0.89654	0.94909
HIGD2A	4	-0.17233	-0.94212	0.48041	0.93509	0.34613	0.66444
GNL3	4	-1.6227	-3.5842	4.9722e-05	0.0063291	0.00033814	0.30518
TTC1	4	-1.0912	-2.9042	0.00089499	0.042601	0.0036814	0.38295
ERCC1	4	-0.021845	-0.12347	0.93984	0.99437	0.90174	0.95131
PCDHA10	4	0.17148	1.1983	0.1603	0.74014	0.2308	0.597
RAB19	4	0.030029	0.8158	0.6868	0.97138	0.41461	0.70793
S100A11	4	-0.072631	-1.1198	0.82742	0.98514	0.26282	0.60995
MYCBPAP	4	-0.29227	-1.1935	0.23687	0.8175	0.23269	0.5974
MCOLN1	4	0.16173	1.3532	0.18243	0.76434	0.17599	0.58307
FAM193B	4	0.10754	0.84184	0.3478	0.8851	0.39988	0.6987
SLC2A7	4	-0.084124	-0.88212	0.78177	0.98347	0.37771	0.68478
GRIN2D	4	-0.17505	-1.1757	0.47315	0.93315	0.23972	0.60084
TCF24	4	0.005633	0.075192	0.80768	0.98434	0.94006	0.97045
HSPA12A	4	0.094539	1.237	0.39698	0.90583	0.21608	0.58879
USE1	4	-0.34702	-1.4583	0.16836	0.74869	0.14477	0.58307
RBFOX2	4	0.26736	1.5621	0.032369	0.37158	0.11826	0.58307
YIPF5	4	0.094159	1.4185	0.39902	0.90751	0.15606	0.58307
INMT	4	0.0069385	0.11279	0.80146	0.98347	0.9102	0.95572
OPRD1	4	-0.0020113	-0.056374	0.84716	0.98923	0.95504	0.97715
OTOA	4	0.019167	0.097242	0.74165	0.98072	0.92253	0.96289
CDK20	4	0.036376	0.58725	0.65583	0.96723	0.55703	0.75538
CALHM2	4	0.015172	0.24905	0.76144	0.98249	0.80332	0.90189
PKMYT1	4	-0.53962	-2.01	0.049672	0.46229	0.044434	0.58307
GIMAP1	4	-0.0033464	-0.042561	0.85287	0.98939	0.96605	0.98306
GPR26	4	0.27473	1.6107	0.027496	0.3441	0.10726	0.58307
UGT1A9	4	-0.12757	-1.1064	0.61844	0.96355	0.26854	0.61437
VASP	4	0.15371	1.51	0.20212	0.78779	0.13104	0.58307
TOR1AIP1	4	-0.11501	-1.5103	0.66348	0.9685	0.13096	0.58307
GRIA4	4	-0.026157	-0.22432	0.96107	0.99611	0.82251	0.91097
MYO16	4	0.079905	0.84026	0.4558	0.92891	0.40076	0.69926
PSME3	4	-0.15544	-1.5013	0.52879	0.94905	0.13329	0.58307
FAM98B	4	-0.69989	-1.6898	0.016209	0.26164	0.09107	0.58307
TSPAN13	4	0.086356	1.2179	0.42815	0.91684	0.22326	0.59286
PRAMEF2	4	0.17015	1.5723	0.16319	0.74378	0.11587	0.58307
C1orf233	4	0.022038	0.12691	0.72589	0.97954	0.89901	0.9499
DNAJA3	4	-1.0177	-2.7756	0.001243	0.049801	0.0055096	0.44648
ADAMTS12	4	0.13956	1.4278	0.24115	0.81966	0.15336	0.58307
CEP63	4	-0.37285	-1.8022	0.14325	0.71088	0.071507	0.58307
BAG1	4	-0.15297	-1.4985	0.5359	0.95054	0.134	0.58307
SAP25	4	-0.067233	-1.1911	0.85079	0.98936	0.23361	0.59757
UNC45A	4	-0.34975	-1.8127	0.16522	0.7459	0.069871	0.58307
RAB31	4	0.20586	1.3321	0.094819	0.61748	0.18281	0.58382
PARP1	4	-0.39362	-1.614	0.12764	0.69231	0.10652	0.58307
ADAM32	4	-0.28793	-1.5371	0.24289	0.82073	0.12426	0.58307
MAGEE2	4	0.066831	0.57383	0.51168	0.94526	0.56608	0.75876
SETSIP	4	-0.29144	-1.7966	0.23797	0.81779	0.072392	0.58307
RHPN2	4	0.062086	0.47387	0.53361	0.95034	0.63559	0.79949
ZSWIM3	4	-0.034064	-0.55831	0.99846	0.9995	0.57664	0.76439
ICT1	4	-0.91215	-1.9637	0.0033313	0.1006	0.04957	0.58307
PRR20A	4	0.022047	0.11716	0.72579	0.97953	0.90673	0.95382
ZNF80	4	0.051206	0.80797	0.58443	0.96086	0.41911	0.70978
NR3C1	4	0.0088942	0.080411	0.79251	0.98347	0.93591	0.96882
ADORA2B	4	0.14981	0.43646	0.21281	0.79836	0.6625	0.81548
YIPF3	4	-0.079034	-1.0692	0.80101	0.98347	0.28498	0.62425
OR4F4	4	-0.12387	-0.61256	0.63141	0.96398	0.54017	0.7494
LRRC18	4	-0.33276	-1.6011	0.18372	0.76461	0.10937	0.58307
GPR83	4	0.13906	1.645	0.24304	0.82082	0.099979	0.58307
UGCG	4	-0.016668	-0.13741	0.91373	0.99261	0.89071	0.94602
DFFB	4	0.048002	0.97006	0.59934	0.96295	0.33202	0.65281
MAPK1IP1L	4	0.11896	1.0848	0.30683	0.8636	0.27799	0.61936
SCP2D1	4	0.14216	1.6728	0.23339	0.81484	0.094375	0.58307
TMEM210	4	0.056615	0.43851	0.56011	0.95665	0.66102	0.81463
MTX1	4	-0.24722	-1.5391	0.31006	0.86586	0.12379	0.58307
TWSG1	4	-0.021529	-0.18709	0.93854	0.99437	0.85159	0.92614
CDC42SE1	4	0.11622	1.2115	0.31553	0.86801	0.2257	0.59408
APOBEC3H	4	0.16124	1.4829	0.18337	0.76434	0.13809	0.58307
PRAMEF9	4	-0.23582	-0.77489	0.33194	0.8799	0.43841	0.72249
WDR55	4	-0.29164	-1.3	0.23767	0.81779	0.19361	0.58512
LOC389895	4	0.020464	0.42206	0.73464	0.98072	0.67298	0.82272
G2E3	4	0.049132	0.41134	0.59422	0.96217	0.68082	0.8289
AMER2	4	0.11661	0.64416	0.31434	0.86702	0.51947	0.74753
IL2	4	-0.15475	-1.7183	0.53068	0.94989	0.085736	0.58307
C2orf66	4	0.11175	0.89948	0.33159	0.87982	0.3684	0.67968
CDC42EP4	4	0.16658	1.237	0.17099	0.75022	0.21608	0.58879
MOAP1	4	0.089709	1.3536	0.41582	0.91452	0.17587	0.58307
PRND	4	-0.02916	-0.18932	0.97593	0.99781	0.84984	0.92506
SLC7A5	4	0.22762	1.5365	0.065632	0.52275	0.12442	0.58307
CDY1	4	0.28313	1.5327	0.023568	0.31833	0.12535	0.58307
RABAC1	4	0.054366	1.5034	0.57001	0.9579	0.13274	0.58307
C10orf126	4	0.12734	0.95414	0.27909	0.8481	0.34001	0.65982
ZNF536	4	0.23334	1.5246	0.060412	0.50858	0.12736	0.58307
DUSP28	4	0.020253	0.16741	0.73543	0.98072	0.86704	0.93386
ROGDI	4	0.10212	1.2195	0.36903	0.89424	0.22267	0.59233
UNC119B	4	-0.24244	-1.3256	0.31896	0.871	0.18499	0.58382
ZMAT1	4	0.063452	0.59095	0.52779	0.94893	0.55456	0.75365
ARL5C	4	-0.098589	-1.5843	0.72405	0.97869	0.11313	0.58307
AOC3	4	0.14713	1.6267	0.21987	0.80363	0.10381	0.58307
NPC1	4	0.054524	1.2535	0.56941	0.9579	0.21002	0.58595
AARSD1	4	-0.17703	-1.0063	0.46788	0.93231	0.31425	0.64113
RASSF6	4	0.29406	1.5445	0.019143	0.28689	0.12246	0.58307
DLL1	4	0.18229	0.93964	0.13763	0.70397	0.3474	0.66542
ITGA1	4	-0.11796	-1.6672	0.6515	0.966	0.095476	0.58307
SLCO2B1	4	0.22212	1.5576	0.072196	0.54399	0.11932	0.58307
IPO5	4	-0.34262	-1.4235	0.17348	0.754	0.1546	0.58307
IGFL2	4	0.20252	1.6605	0.10064	0.63381	0.096809	0.58307
ACSM1	4	0.12028	0.66805	0.30266	0.86157	0.5041	0.74686
