Gene	sgRNA	Cont2|beta	Cont2|z	Cont2|p-value	Cont2|fdr	Cont2|wald-p-value	Cont2|wald-fdr
ZNF845	5	0.34178	1.6275	0.1058	0.52841	0.10363	0.47842
ZNF846	6	0.31196	1.742	0.10324	0.52443	0.081508	0.47234
ZNF85	6	0.587	1.5124	0.0051195	0.087805	0.13043	0.49366
ZNF852	6	0.062689	0.33317	0.64221	0.93924	0.739	0.87897
ZNF860	4	0.35645	1.401	0.13993	0.59854	0.16122	0.51583
ZNF865	6	0.077241	0.51101	0.59954	0.92151	0.60934	0.80786
ZNF878	6	0.21206	1.2839	0.25256	0.74	0.19917	0.54581
ZNF879	6	0.1718	1.2482	0.34414	0.81757	0.21195	0.55923
ZNF880	5	0.018048	0.19337	0.82281	0.9774	0.84667	0.93736
ZNF90	5	0.1312	0.74526	0.49886	0.88675	0.45611	0.73767
ZNF91	5	0.16956	1.3541	0.39192	0.83718	0.1757	0.52709
ZNF92	5	0.18425	0.92292	0.35808	0.82211	0.35605	0.65825
ZNF93	6	0.23332	1.9117	0.21416	0.69733	0.055915	0.43365
ZNF98	6	-0.022415	-0.13998	0.92491	0.98456	0.88868	0.95758
ZNF99	6	0.11555	0.69336	0.49403	0.8867	0.48809	0.76102
ZPR1	9	-1.0288	-3.4032	0	0	0.00066602	0.026611
ZSCAN1	6	0.16074	0.99351	0.36917	0.82308	0.32046	0.63209
ZSCAN10	6	-0.18021	-1.6456	0.59784	0.92151	0.099843	0.47632
ZSCAN12	6	-0.0044693	-0.033389	0.86718	0.98362	0.97336	0.99363
ZSCAN16	6	0.095809	0.50455	0.54608	0.90395	0.61387	0.81118
ZSCAN2	6	-0.016387	-0.080755	0.90671	0.98455	0.93564	0.9771
ZSCAN20	19	-0.076241	-0.86146	0.84954	0.98033	0.38899	0.68213
ZSCAN21	6	0.10946	0.29479	0.50796	0.89211	0.76815	0.89625
ZSCAN22	6	-0.15185	-0.80286	0.67491	0.94471	0.42205	0.70269
ZSCAN23	6	-0.13079	-0.62072	0.73094	0.96058	0.53478	0.78225
ZSCAN25	6	-0.12236	-0.63038	0.75739	0.9719	0.52844	0.78067
ZSCAN26	6	0.25627	1.578	0.17577	0.64479	0.11458	0.48646
ZSCAN29	7	-0.11215	-0.55187	0.7682	0.97496	0.58104	0.7954
ZSCAN30	6	0.15238	0.89103	0.38965	0.83639	0.37291	0.67235
ZSCAN31	6	0.30883	1.6127	0.10694	0.53032	0.10681	0.48058
ZSCAN32	6	-0.17125	-0.93858	0.62059	0.92815	0.34795	0.65073
ZSCAN4	6	0.015015	0.073149	0.80489	0.9774	0.94169	0.97987
ZSCAN5A	6	-0.049027	-0.14174	0.98208	0.99798	0.88729	0.95731
ZSCAN5B	6	-0.31235	-1.1391	0.31456	0.79568	0.25467	0.58618
ZSCAN9	7	0.29596	1.7632	0.10125	0.52193	0.077859	0.47234
ZXDA	6	-0.31687	-1.5188	0.3066	0.78821	0.12881	0.49173
ZXDB	6	-0.028543	-0.23747	0.94482	0.98957	0.8123	0.92249
ZXDC	6	0.012671	0.050216	0.81314	0.9774	0.95995	0.98718
ZZZ3	12	-0.88936	-4.0958	0	0	4.2076e-05	0.0035224
ACAT1	5	0.34561	1.5536	0.10239	0.52319	0.12029	0.48646
ACTR	5	-0.39246	-2.0935	0.23237	0.71856	0.036302	0.34874
ASH1L	24	0.034867	0.40146	0.46502	0.87253	0.68808	0.85547
ATAD2	6	-0.18247	-1.5497	0.59272	0.92151	0.12123	0.48646
