sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final,test2,test3,DLD1-Ts4.final_recalculate
KCNG1_BTB65164_E1_1542.261,KCNG1,437,1052,615,615,615
MTA2_SANT_E10_57.3,MTA2,1510,2864,1354,1354,1354
ZNF222_E4_483.16,ZNF222,1290,2035,745,745,745
CAMK2G_PKc_E3_60.2,CAMK2G,123,193,70,70,70
BATF3_E2_90.3,BATF3,1445,2858,1413,1413,1413
ZNF222_E4_483.30,ZNF222,1260,2292,1032,1032,1032
PSMA2_705.64,PSMA2,966,1194,228,228,228
TSNARE1_SANT_E4_234.9,TSNARE1,633,1021,388,388,388
SPOPL_BTB190297_E1_1179.31,SPOPL,735,1468,733,733,733
HM13_1281.161,HM13,949,1935,986,986,986
CBLC_1425.103,CBLC,851,1767,916,916,916
PRSS12_2628.222,PRSS12,1872,4147,2275,2275,2275
SOX6_E14_107.4,SOX6,628,1363,735,735,735
PRSS8_1032.139,PRSS8,1549,2693,1144,1144,1144
POU5F1B_E1_174.17,POU5F1B,1210,2045,835,835,835
CELA3A_813.87,CELA3A,1830,4721,2891,2891,2891
BRD8_BD_e19_178.3,BRD8,804,1539,735,735,735
PRSS41_957.126,PRSS41,2050,4860,2810,2810,2810
DNPEP_1458.256,DNPEP,1085,1802,717,717,717
CDK20_PKc_E3_189.5,CDK20,561,1321,760,760,760
KLKB1_1917.7,KLKB1,1289,1778,489,489,489
ZNF524_E2_243.13,ZNF524,1656,3585,1929,1929,1929
RPL23A_e2.1,RPL23A,5367,9084,3717,3717,3717
FBXO11_2784.130,FBXO11,2638,4310,1672,1672,1672
TPSG1_966.6,TPSG1,1039,2182,1143,1143,1143
ZNF79_E5_834.56,ZNF79,1411,1964,553,553,553
CDKL5_PKc_E5_137.5,CDKL5,974,2306,1332,1332,1332
ATF6_E8_162.8,ATF6,1625,1861,236,236,236
BARD1_2277.15,BARD1,614,1236,622,622,622
ZNF880_E4_1221.59,ZNF880,2327,5423,3096,3096,3096
DCLK3_PKc_E2_390.28,DCLK3,1163,3369,2206,2206,2206
TET3_e10_79.1,TET3,1306,2870,1564,1564,1564
MEF2A_E3_51.1,MEF2A,2738,6507,3769,3769,3769
ZNF189_E3_1161.3,ZNF189,1451,2986,1535,1535,1535
ZNF676_E3_1410.86,ZNF676,1641,4216,2575,2575,2575
UBTFL1_E1_558.21,UBTFL1,2709,5479,2770,2770,2770
RNF222_663.159,RNF222,1357,1755,398,398,398
ASB10_1404.42,ASB10,461,928,467,467,467
VPS41_2565.110,VPS41,927,1188,261,261,261
TERF1_SANT_E10_144.8,TERF1,204,524,320,320,320
ZNF470_E6_1338.89,ZNF470,833,1210,377,377,377
CSDE1_E11_213.15,CSDE1,739,1309,570,570,570
KLHL38_BTB24131_E1_1746.268,KLHL38,426,800,374,374,374
STAT4_E10_89.6,STAT4,2079,4360,2281,2281,2281
TRERF1_E7_69.3,TRERF1,912,1600,688,688,688
MARCH3_762.21,3-Mar,523,796,273,273,273
KMT2C_e59_74.2,KMT2C,1681,2863,1182,1182,1182
EIF2AK4_PKc_E9_536.1,EIF2AK4,1101,1953,852,852,852
HOXB3_E4_177.17,HOXB3,1199,2977,1778,1778,1778
MYOG_E1_177.9,MYOG,1381,2499,1118,1118,1118
CDK1_e7.1,CDK1,3324,3692,368,368,368
ZNF625_E4_396.14,ZNF625,3201,8820,5619,5619,5619
ZNF587_E3_567.30,ZNF587,5152,10979,5827,5827,5827
