"","sgRNA","Gene","mergeD0","Vaco.Ts13.final"
"3574",108916201,"GUCA1C",1205.37319762511,152
"3575",108923432,"EDAR",10178.3647158609,979
"3576",108928189,"ARMC2",3979.86853265479,773
"3577",108929277,"EDAR",5467.22731128075,880
"3578",108929351,"EDAR",9048.30110262935,2103
"3579",108930174,"EDAR",2963.05597964377,529
"3580",108934529,"FAM206A",2034.55470737913,99
"3581",108934561,"FAM206A",1626.4096692112,79
"3582",108935669,"FAM206A",957.452078032231,1
"3583",108936433,"FAM206A",530.96352841391,31
"3584",108938854,"SVOP",9236.81933842239,1077
"3585",108939722,"CLCC1",2697.29770992366,149
"3586",108940792,"SVOP",1819.96437659033,241
"3587",108941373,"COL25A1",1126.29770992366,165
"3588",108941427,"CLCC1",1080.89312977099,8
"3589",10894178,"SYCP2L",4102.19847328244,493
"3591",108943862,"CLCC1",1468.91178965225,341
"3592",108953564,"GUCA1C",1516.28922815946,804
"3593",108953671,"GUCA1C",1928.98982188295,697
"3594",108953703,"GUCA1C",904.138252756573,1
"3595",108959239,"FER",2194.7989821883,234
"3596",108960925,"SVOP",763.07294317218,78
"3597",108961580,"MYO16",5637.16709075488,756
"3598",108970488,"CTNNAL1",3043.44529262087,484
"3599",108972784,"CTNNAL1",2340.16200169635,679
"3600",108979331,"CTNNAL1",1655.17048346056,974
"3601",108983203,"CTNNAL1",2356.30110262935,418
"3602",108983672,"SVOP",4060.37913486005,645
"3603",10898764,"XKR6",2487.44614079729,938
"3604",108991265,"WDR47",1941.50636132316,75
"3605",108995696,"WDR47",3198.37913486005,837
"3606",108998719,"SESN1",3203.46055979644,861
"3607",109001321,"SESN1",4837.09499575912,701
"3608",109002312,"SESN1",6632.55216284987,1019
