Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
CDC42EP5	4	0.099074	1.4659	0.51347	0.92952	0.14268	0.60247
MYO1B	4	0.19236	0.82935	0.26805	0.82433	0.40691	0.69655
HIST1H3F	4	-0.24386	-1.2365	0.48767	0.92329	0.21629	0.60247
GRAP2	4	-0.36621	-1.5256	0.294	0.84111	0.1271	0.60247
SLC22A31	4	0.025355	0.21508	0.75264	0.97377	0.8297	0.91069
PTPRD	4	0.098112	0.85753	0.51666	0.93036	0.39115	0.6864
CWC27	4	-0.34855	-1.6397	0.31717	0.85049	0.10107	0.60247
MED23	4	-1.0201	-2.6046	0.011983	0.17153	0.0091981	0.20229
NRIP1	4	0.060201	1.0584	0.63828	0.9574	0.28985	0.62619
MMAA	4	0.29645	1.2089	0.10049	0.58665	0.2267	0.60337
BAALC	4	0.29972	1.4763	0.097106	0.57645	0.13986	0.60247
BIN2	4	-0.11533	-0.72461	0.80052	0.97926	0.46869	0.73583
PIGL	4	0.14376	0.82561	0.38201	0.87997	0.40903	0.69833
GDF1	4	0.060948	0.59272	0.63579	0.9574	0.55337	0.76329
NSMCE2	4	-0.34885	-1.5085	0.31678	0.85049	0.13142	0.60247
IFITM10	4	-0.045085	-0.32968	0.98712	0.99879	0.74164	0.8605
ELF4	4	0.31449	1.416	0.082836	0.53481	0.15676	0.60247
C8orf48	4	0.55334	1.1893	0.0025358	0.060714	0.23434	0.60512
CDADC1	4	-0.046919	-0.25852	0.99319	0.9992	0.79601	0.89243
SAMD10	4	-0.22106	-1.2409	0.5357	0.93752	0.21463	0.60247
EXO5	4	0.15168	0.96798	0.36177	0.87379	0.33305	0.65029
CCM2L	4	-0.19833	-1.2065	0.58612	0.94741	0.22761	0.60337
LRIT2	4	0.27252	0.91139	0.12823	0.64389	0.36209	0.66841
SLC7A4	4	-0.34904	-1.1453	0.31658	0.85041	0.2521	0.60943
MAGIX	4	0.17867	1.1706	0.29793	0.84362	0.24176	0.60695
ANKRD65	4	-0.039435	-0.30867	0.96922	0.99796	0.75757	0.86976
SPIB	4	0.086613	0.83847	0.55201	0.93965	0.40177	0.69304
