94048910	ABCA4	263	865
57997758	ZNF319	493	1384
61244208	PGA5	645	1013
30341576	MTPAP	280	272
84645620	WDR73	769	2882
63979833	SERPINB8	938	3071
85327064	TGOLN2	547	1477
101414865	RFX8	659	2461
95247270	PDLIM1	478	1044
130217942	NCS1	420	1124
64675530	ZNF609	762	2945
99713474	CYP3A7-CYP3A51P	960	3612
4942408	RNF167	320	1688
106850034	TBC1D8B	748	2725
64162076	PPIB	390	1435
205528093	CDK18	277	572
36871741	PPIL1	1177	971
13N	Non-Targeting_Control	655	1756
118350588	CD3G	482	1652
12950114	GPRC5D	199	696
40072441	BCOR	418	1779
10875896	GCM2	451	2295
54956193	PFKFB1	955	3503
127768972	WDR33	833	366
31414940	DNAJC24	458	828
35867410	IL7R	414	1690
23783879	SAT1	225	653
138691035	PIK3CB	1053	2820
89045808	SHC3	1185	4695
103713746	TMEM31	406	1606
93104047	SAMD9	774	2691
125302122	GAPVD1	731	2047
42063117	SLC30A9	388	963
14724499	NPIPA3	574	335
38682405	TOMM22	784	1507
158606887	OR10Z1	545	1636
101853491	NFKBIZ	603	2292
39252479	C15orf54	591	2071
236488164	IQCA1	716	1572
26198299	CATSPER4	335	1184
101244538	IMPG2	256	708
23568846	NPC1	286	340
85215025	C8orf59	862	3434
107553113	ALKBH8	573	1516
9694808	ZNF812	813	2010
93877270	DNTTIP2	759	1162
99194882	MRPL30	234	695
14N	Non-Targeting_Control	858	3470
163072416	RGS4	414	1364
195573863	APOD	487	1586
62665136	C11orf98	366	984
35265225	HMGXB4	833	2330
12186157	ZNF136	1149	4098
65266747	PARP16	845	2400
24482281	ADAM7	827	4052
148887024	UST	1134	4460
71588577	SIPA1L1	616	2331
90413128	CLDN12	1376	3334
75690701	GCFC2	620	1905
42699103	HHATL	285	1193
145618381	GPR89A	1135	1766
69225386	TJP2	1098	3125
99849995	FILIP1L	651	1828
42264727	EML4	1296	2874
29527248	VSTM2B	455	795
116466145	PNLIPRP3	486	1212
146398865	GRM1	481	1555
48899856	OCIAD2	532	1191
123550550	NDUFA5	1443	5360
119269833	USP53	393	1750
88149933	RAB38	723	2671
20747612	EDDM3A	931	3665
107772693	BBX	303	726
125349874	TMEM132B	618	1791
5455165	DHX33	446	208
51698537	CSTF2T	461	1055
108459076	NBPF6	902	2473
36283631	CCDC169	1445	4776
160232253	FABP6	673	2771
52557155	ARPP19	332	941
28713301	SLC46A3	513	1736
50193167	AKAP4	363	1279
157731552	THG1L	721	2219
105161535	POPDC3	241	675
10445860	ZNF518B	1106	4386
100451909	LNP1	551	2011
33667916	ITPR3	426	1278
3552192	RNASEH1	249	692
36468177	CSF3R	367	1071
111487313	IMMP2L	231	817
61790547	TMEM258	287	248
129109313	C4orf33	430	1129
54989033	WDHD1	468	1136
12217411	CDC123	767	1216
10530694	RNF141	749	1938
30744104	ALOX5AP	715	3390
72375773	HEXA	322	1341
181005437	STX6	462	1551
32263137	MTMR12	971	2613
19712830	ZNF14	499	1303
1787701	NUBP2	715	2193
49607624	LRR1	392	189
77883332	MRPL1	581	1161
157806015	CLINT1	661	1861
8059337	C3AR1	656	2198
116600118	PNLIPRP1	222	663
185143385	TRMT1L	563	1844
28960695	LTN1	445	1521
185432184	C4orf47	555	2177
140655836	IK	1092	892
24318620	OSBPL1A	676	1603
10756825	CTR9	672	736
45035545	CLEC3B	562	1832
112537838	ATG3	826	3208
