Gene	sgRNA	7qDi|beta	7qDi|z	7qDi|p-value	7qDi|fdr	7qDi|wald-p-value	7qDi|wald-fdr
SLC30A2	4	-0.018687	-0.22097	0.92582	0.99218	0.82512	0.9033
SUCO	4	-0.42059	-1.9569	0.11261	0.65815	0.050362	0.51558
PDS5B	4	-0.47551	-2.1293	0.076216	0.55904	0.033232	0.51558
CAMLG	4	-0.41781	-1.9883	0.11435	0.6613	0.046782	0.51558
MGAM	4	0.10322	1.0888	0.18132	0.77745	0.27624	0.57388
SHISA2	4	0.0095672	0.41436	0.7281	0.97471	0.67861	0.8157
PATZ1	4	-0.11622	-1.4826	0.57716	0.95923	0.13818	0.51558
USP13	4	0.11563	1.1829	0.1398	0.7136	0.23685	0.54881
TRIM2	4	0.12459	1.5678	0.11266	0.65815	0.11693	0.51558
ZC3H14	4	-0.075295	-1.2944	0.74615	0.97772	0.19551	0.52385
MICB	4	0.0023088	0.029078	0.77886	0.98158	0.9768	0.9882
TAS2R39	4	0.11234	1.1927	0.15084	0.73128	0.23298	0.54625
PHKG1	4	-0.17397	-1.7089	0.41911	0.92862	0.08747	0.51558
C20orf195	4	0.176	1.4963	0.028388	0.3261	0.13459	0.51558
CCND1	4	-0.012282	-0.19686	0.88177	0.98935	0.84394	0.91431
CENPJ	4	0.04535	0.90637	0.4823	0.94474	0.36474	0.63359
DNASE1	4	0.058967	1.0122	0.39624	0.92321	0.31145	0.59556
MTRNR2L5	4	0.023542	0.35399	0.62882	0.96329	0.72334	0.84367
SPECC1	4	0.062482	1.1641	0.37541	0.91857	0.2444	0.55311
LCP2	4	0.044358	1.012	0.48966	0.94493	0.31152	0.59556
SNCAIP	4	0.10998	1.7671	0.15815	0.74549	0.077217	0.51558
OR10J1	4	0.10944	1.2367	0.16014	0.74994	0.21618	0.53445
OR7G1	4	-0.014418	-0.31418	0.89709	0.99074	0.75339	0.86228
MAGED2	4	-0.056576	-1.6344	0.84255	0.98846	0.10217	0.51558
SSC5D	4	-0.11188	-1.1546	0.59222	0.9627	0.24824	0.55641
THOC1	4	-0.57942	-1.7779	0.037785	0.3854	0.075416	0.51558
MED29	4	-0.4687	-1.8482	0.080044	0.57173	0.064574	0.51558
DPY19L2	4	-0.042794	-0.64813	0.91926	0.99155	0.5169	0.71148
OGFR	4	-0.095027	-1.0175	0.65825	0.96763	0.3089	0.59376
IL18R1	4	0.086979	1.241	0.24804	0.84583	0.21459	0.53381
ZCRB1	4	-1.1903	-3.1355	0.0008949	0.036217	0.0017154	0.16528
CHAD	4	0.11217	1.2428	0.15114	0.73147	0.21393	0.53331
PDE1B	4	-0.19946	-1.6757	0.3678	0.9163	0.093795	0.51558
B3GNT6	4	0.0012641	0.020472	0.78642	0.98379	0.98367	0.99185
IFT88	4	0.012878	0.38123	0.70518	0.97157	0.70303	0.83082
C2orf27B	4	-0.68334	-1.8554	0.019737	0.26205	0.063545	0.51558
DNAJB8	4	-0.0074883	-0.19193	0.84752	0.98846	0.8478	0.91631
COL8A2	4	0.05863	0.72853	0.39848	0.92321	0.46629	0.70935
APOC4	4	-0.02203	-0.64814	0.94914	0.99591	0.51689	0.71148
FGFBP1	4	0.087371	1.3405	0.24585	0.84291	0.1801	0.51795
COL4A2	4	0.15901	1.2441	0.046485	0.43287	0.21346	0.53295
C1orf56	4	0.02869	0.42928	0.59377	0.9627	0.66772	0.80829
IPPK	4	-0.29342	-1.5831	0.22979	0.82995	0.1134	0.51558
FAM179A	4	-0.0024355	-0.062386	0.81207	0.986	0.95026	0.9737
PLGRKT	4	0.090508	1.1255	0.23103	0.83181	0.26037	0.56312
AGBL1	4	0.17517	1.3918	0.029084	0.32995	0.16398	0.51558
ADAMTS6	4	0.086621	0.84241	0.25017	0.84785	0.39956	0.66004
KRTAP12-4	4	0.0091118	0.11694	0.73188	0.9755	0.90691	0.95029
DRD3	4	0.018596	0.25401	0.66466	0.96763	0.79949	0.88797
SLC6A11	4	0.12074	1.3294	0.1228	0.67616	0.1837	0.51968
ARHGEF15	4	-0.048076	-1.7112	0.89052	0.99074	0.087035	0.51558
CAST	4	0.014	0.20623	0.69688	0.96956	0.83661	0.91032
ZNF705G	4	-0.070821	-0.49817	0.76792	0.97973	0.61836	0.77565
SPACA1	4	0.13147	1.6935	0.097793	0.62528	0.090361	0.51558
STAT5B	4	-0.11609	-1.5038	0.57761	0.95923	0.13264	0.51558
NRK	4	0.081859	1.5472	0.27379	0.87343	0.12181	0.51558
C2CD4A	4	0.0077708	0.27412	0.74142	0.97671	0.78399	0.87829
PGR	4	0.13087	1.397	0.098936	0.62728	0.16242	0.51558
TRHR	4	0.13931	1.6377	0.080243	0.57239	0.10149	0.51558
MAP4K1	4	0.1049	1.3159	0.17475	0.76655	0.1882	0.52116
RPS19	4	-2.2239	-3.9086	0	0	9.2814e-05	0.066308
ACRC	4	0.077191	0.80384	0.29601	0.88588	0.42149	0.67595
MTHFR	4	-0.033277	-0.68992	0.97773	0.99605	0.49024	0.71148
VWF	4	0.089084	1.433	0.23705	0.83517	0.15186	0.51558
TBL1X	4	0.11869	1.3547	0.12946	0.69025	0.17553	0.51652
MAGEA11	4	0.13815	1.7159	0.082778	0.5811	0.086173	0.51558
LOC100132146	4	0.1022	1.4988	0.18539	0.78526	0.13392	0.51558
ZNF706	4	-0.14232	-1.7552	0.49642	0.94547	0.079219	0.51558
ZNF496	4	0.066981	1.2166	0.3509	0.91083	0.22376	0.53953
CYP11A1	4	-0.041252	-0.37446	0.92846	0.99264	0.70806	0.83408
SSRP1	4	-0.9527	-2.5596	0.0038779	0.089552	0.010479	0.35069
MFSD9	4	-0.10319	-1.8185	0.62489	0.9627	0.068993	0.51558
GTF2IRD2	4	-0.18673	-0.92407	0.39192	0.92274	0.35545	0.62589
SCRN1	4	0.030038	0.67119	0.58516	0.96081	0.5021	0.71148
SPTLC3	4	0.032089	0.65842	0.56965	0.95871	0.51027	0.71148
LAP3	4	0.055889	0.9522	0.41498	0.92726	0.341	0.61621
DNAJC6	4	0.19437	1.4844	0.015561	0.22606	0.13771	0.51558
EBF3	4	0.12507	0.90533	0.11176	0.65781	0.36529	0.63379
