Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
STK33	6	-0.01819	-0.18579	0.88562	0.97216	0.85261	0.92206
ZNF41	5	0.02967	0.41086	0.68283	0.92515	0.68117	0.81732
OLIG2	6	0.10003	0.46176	0.3263	0.74869	0.64425	0.7915
STK17B	6	-0.15325	-1.3861	0.54621	0.85951	0.1657	0.4423
BAZ1B	12	-0.16886	-2.0216	0.38249	0.78329	0.043215	0.31631
KSR1	6	-0.0081982	-0.047556	0.83856	0.96522	0.96207	0.98246
PDIK1L	6	0.19627	1.3047	0.083856	0.4194	0.19201	0.46386
PPP1R11	4	-1.5806	-3.4407	0	0	0.0005802	0.012108
VRK3	6	0.12805	0.91226	0.22875	0.65338	0.36163	0.6128
GSK3B	6	0.23945	1.625	0.03822	0.27071	0.10417	0.3839
CLPP	6	-0.30912	-2.0832	0.19538	0.61913	0.037234	0.28881
ERF	6	0.032314	0.37266	0.62693	0.90275	0.7094	0.83715
USP17L22	1	-0.89233	-1.0744	0.12521	0.50634	0.28265	0.54871
QPCT	5	0.04489	0.59577	0.61552	0.89544	0.55133	0.73692
UBE2O	8	-0.16683	-1.6878	0.46577	0.82235	0.09144	0.37199
BACH2	12	0.10596	1.0071	0.1409	0.53226	0.3139	0.58182
NR0B2	6	-0.036614	-1.7906	0.97718	0.99448	0.073364	0.35542
ESRRB	6	0.12817	0.89359	0.22875	0.65338	0.37154	0.62446
VPS18	7	-0.66708	-3.2389	0.0074159	0.095238	0.0012001	0.022993
KCTD9	6	-0.24095	-1.5482	0.31717	0.7435	0.12157	0.40033
IKBKE	6	0.010931	0.051784	0.73902	0.93915	0.9587	0.97966
HOXD10	6	0.13176	0.78294	0.22076	0.645	0.43366	0.67067
RNF216	7	0.064357	1.2022	0.43269	0.8035	0.22929	0.50212
NR2C2	6	-0.076292	-0.98336	0.83628	0.96481	0.32543	0.58782
OTUB1	6	-0.081611	-1.1679	0.81945	0.96481	0.24285	0.51449
neg24	1	0.56647	0.52832	0.053337	0.3275	0.59728	0.76537
ZNF205	6	-0.081779	-0.4105	0.81888	0.96481	0.68144	0.81736
ACVR2A	6	0.083177	0.50852	0.39019	0.78756	0.61109	0.77151
JAK1	12	0.090208	0.52521	0.18568	0.60539	0.59944	0.76618
DCAF7	14	-0.56846	-4.2829	0.0011409	0.019802	1.8449e-05	0.00072678
KLK11	5	-0.017569	-0.15275	0.91044	0.97756	0.8786	0.9351
FBXO21	14	-0.035538	-0.48642	0.85568	0.96564	0.62667	0.7811
PCSK1	6	0.13476	1.0067	0.21221	0.63535	0.31406	0.58182
SP7	6	0.11123	0.87143	0.2838	0.71738	0.38352	0.63246
PIM2	6	0.16827	1.7235	0.13634	0.52546	0.0848	0.3698
neg53	1	0.069534	0.68623	0.8186	0.96481	0.49257	0.71534
CASP8	6	-0.0089176	-0.33121	0.8437	0.96564	0.74048	0.85823
ZAK	6	-0.071899	-0.85308	0.85425	0.96564	0.39361	0.64067
KCNG1	6	0.32725	1.6197	0.0054193	0.072797	0.10529	0.38677
MEIS1	5	-0.021298	-0.27489	0.92698	0.98098	0.7834	0.88174
RNF149	10	0.057331	0.96398	0.37536	0.77916	0.33506	0.59389
ABL2	6	-0.10602	-0.74408	0.7162	0.93173	0.45683	0.68761
ANAPC2	14	-1.3481	-4.8793	0	0	1.0644e-06	7.9399e-05
ULK1	6	0.21749	1.6279	0.057901	0.3406	0.10355	0.38341
ABTB1	12	0.039293	0.62449	0.42071	0.79859	0.53231	0.73189
GRHL3	7	0.092422	0.73673	0.32059	0.74635	0.46128	0.69114
ADAM7	6	0.25187	1.9079	0.03109	0.23799	0.056401	0.34876
CTSG	6	0.059939	0.88342	0.49287	0.83558	0.37701	0.62703
ASB16	20	-0.074636	-1.0959	0.85824	0.96597	0.27311	0.53884
USP17L2	6	-0.22914	-1.7571	0.3437	0.76362	0.078896	0.36111
neg52	1	0.39475	0.57965	0.16515	0.57669	0.56215	0.74067
MAP2K7	6	-0.10642	-1.0296	0.71392	0.93118	0.30319	0.57091
IRF8	6	0.027606	0.3107	0.64718	0.91003	0.75603	0.86681
TMPRSS12	6	0.022186	0.23856	0.68112	0.92486	0.81144	0.90066
ETS1	6	0.13728	1.4905	0.20622	0.63194	0.13609	0.41601
C17orf49	6	-0.081402	-0.86381	0.82031	0.96481	0.38769	0.63593
CSNK1G3	6	-0.23773	-1.1923	0.32544	0.74869	0.23316	0.50554
ZNF14	6	-0.0078524	-0.074967	0.83657	0.96481	0.94024	0.97006
FGR	6	-0.024549	-0.31939	0.91814	0.97756	0.74943	0.86289
ZNF467	6	-0.046367	-0.2297	0.97519	0.99448	0.81833	0.90461
TSSK2	6	-0.126	-0.75147	0.63976	0.9081	0.45237	0.68481
ZNF223	6	-0.013379	-0.20992	0.86594	0.9675	0.83373	0.91174
SCPEP1	6	-0.23479	-2.2625	0.33029	0.75	0.023667	0.22306
SHKBP1	5	-0.23684	-1.7518	0.35311	0.77086	0.079815	0.36201
PPAT	6	-1.3239	-3.9957	0	0	6.4501e-05	0.002035
CDK4	6	-0.55764	-2.6853	0.029949	0.23179	0.0072464	0.099631
EPHB6	6	0.025331	0.17655	0.66087	0.91799	0.85986	0.92646
HLX	6	-0.029218	-0.58733	0.94324	0.98692	0.55698	0.73884
DPEP1	6	-0.019188	-0.19066	0.89161	0.97414	0.84879	0.92103
TSHZ3	6	0.12176	1.2907	0.24786	0.67469	0.19682	0.46879
ZNF221	6	0.10628	1.5965	0.30291	0.73623	0.11037	0.39276
ZNF680	5	0.15569	1.2848	0.20622	0.63194	0.19887	0.4693
USPL1	6	-1.0232	-2.9704	0.0011409	0.019802	0.0029738	0.048949
ZNF408	6	-0.022576	-0.079723	0.90987	0.97756	0.93646	0.96936
KDR	6	0.029165	1.1783	0.64033	0.90817	0.23866	0.51173
ARID5B	6	-0.021937	-0.3658	0.9073	0.97756	0.71451	0.83964
TTF1	2	-2.1061	-2.9433	0.00085568	0.015625	0.0032472	0.052223
DYRK4	6	0.12341	1.072	0.24387	0.67267	0.28373	0.5499
RORB	6	0.12315	0.57503	0.24472	0.67267	0.56527	0.74282
CDRT1	6	-0.24009	-1.9482	0.32059	0.74635	0.051393	0.34191
ZNF816	4	0.21274	1.3487	0.13805	0.52546	0.17743	0.45013
UBR3	8	0.041248	0.32693	0.50143	0.83897	0.74372	0.85914
CDK3	6	0.13835	0.79353	0.20308	0.62621	0.42747	0.66521
BARHL2	6	-0.0020832	-0.033712	0.80776	0.96294	0.97311	0.98903
DCUN1D3	6	0.0024435	0.055706	0.78637	0.95924	0.95558	0.97797
KLK15	6	0.35077	1.5376	0.0031375	0.046414	0.12414	0.40187
ZNF177	6	0.02224	0.28032	0.68083	0.92486	0.77923	0.88035
MAP3K11	6	-0.051358	-0.60437	0.95094	0.98756	0.5456	0.735
BRSK1	6	0.29407	1.5356	0.01255	0.13174	0.12464	0.4021
EIF2AK3	6	0.21814	1.9097	0.056189	0.33333	0.056173	0.34876
SHOX2	6	0.15528	1.4438	0.16115	0.56841	0.1488	0.42996
ATF6	6	0.10243	1.437	0.3166	0.74347	0.15072	0.43083
neg28	1	0.22473	0.63385	0.43126	0.8035	0.52618	0.73105
ZNF846	6	-0.075504	-1.3691	0.84084	0.96561	0.17096	0.4477
CFLAR	6	-0.02033	-0.23594	0.89646	0.97488	0.81348	0.90137
E2F2	6	-0.086986	-1.0116	0.79435	0.96041	0.31174	0.58071
PAPPA2	6	0.18905	1.5865	0.094124	0.43651	0.11262	0.39276
WWP1	5	0.097868	1.7303	0.3919	0.78947	0.083585	0.36785
STK17A	6	0.30518	1.7614	0.0096977	0.11296	0.078163	0.36106
KLHL36	6	0.047819	0.51767	0.55248	0.86239	0.60469	0.76757
MYO3A	6	0.032036	0.26503	0.6275	0.90275	0.79098	0.88657
TGIF1	6	-0.34931	-1.9646	0.14746	0.5446	0.049456	0.33751
PPIL2	17	-1.6095	-6.6369	0	0	3.2042e-11	1.1234e-08
MAP3K10	6	-0.0042856	-0.092347	0.81974	0.96481	0.92642	0.96407
ZNF786	6	0.25891	1.2237	0.026526	0.21429	0.22107	0.49172
FBXO5	10	-1.7558	-5.8914	0	0	3.829e-09	8.3903e-07
CAPN12	6	0.11376	0.57704	0.27239	0.70428	0.56391	0.74214
SOX15	5	0.18751	1.1988	0.13234	0.51897	0.23062	0.50346
ACVR1	6	0.22687	1.4512	0.047918	0.30713	0.14671	0.428
LHX4	6	0.10735	1.59	0.29892	0.73184	0.11183	0.39276
PTK2	6	-0.58688	-2.9337	0.024529	0.20525	0.0033499	0.053386
APEH	6	0.058244	0.83158	0.49971	0.83897	0.40565	0.64873
DMRT2	6	0.28905	1.5947	0.01312	0.13529	0.11077	0.39276
ZNF789	1	0.050657	0.69276	0.86794	0.96789	0.48846	0.71368
SGK1	6	0.051376	0.48713	0.53394	0.85479	0.62617	0.7811
STRADA	6	-0.0055644	-0.056669	0.82601	0.96481	0.95481	0.97797
ABTB2	5	-0.20174	-1.3539	0.43725	0.80596	0.17575	0.45013
CEBPZ	5	-1.5588	-3.9648	0	0	7.3461e-05	0.0022396
IKZF2	6	-0.046267	-0.58036	0.97576	0.99448	0.56167	0.74067
neg41	1	0.27609	0.61711	0.33828	0.75783	0.53716	0.73284
LTN1	6	-0.063595	-0.60139	0.88905	0.97376	0.54758	0.735
KDM6B	6	0.043976	0.49495	0.56988	0.87178	0.62063	0.77823
PARK2	13	0.0085213	0.08962	0.58015	0.87586	0.92859	0.9652
CUL2	14	-0.72993	-4.3941	0	0	1.1122e-05	0.00049945
