sgRNA,Gene,Vaco_Ts13_D0,Vaco_Ts13_D10
60357224,ANXA2,1079,671
60382343,ANXA2,1698,1995
60364452,ANXA2,1184,1629
60355924,ANXA2,1243,1050
78579077,ANXA3,455,424
78595805,ANXA3,306,426
78595859,ANXA3,518,395
78582252,ANXA3,805,969
69816190,ANXA4,1738,1945
69804623,ANXA4,1457,971
69807961,ANXA4,1742,1714
69806461,ANXA4,888,1061
121678416,ANXA5,351,382
121686299,ANXA5,482,315
121672600,ANXA5,2132,1808
121683402,ANXA5,1212,1204
151132481,ANXA6,706,534
151126434,ANXA6,1286,1190
151137293,ANXA6,1904,1863
151122186,ANXA6,1930,2425
73396523,ANXA7,653,613
73387694,ANXA7,1250,811
73383613,ANXA7,631,626
73398288,ANXA7,1037,771
80167266,ANXA11,835,498
80170836,ANXA11,1426,1269
80169011,ANXA11,906,710
80169204,ANXA11,1216,1607
123698508,ANXA13,1622,1885
123695554,ANXA13,1478,1611
123698394,ANXA13,1642,1864
123702647,ANXA13,1686,1307
36621722,AOAH,1917,1847
36548652,AOAH,997,1198
36594377,AOAH,659,571
36686744,AOAH,479,355
42845412,AOC2,1434,1115
42845549,AOC2,1251,1052
42845065,AOC2,1741,1669
42845837,AOC2,1726,1501
200599744,AOX1,449,440
200620725,AOX1,543,630
200612734,AOX1,1157,908
200604838,AOX1,269,272
98667560,APAF1,1792,1991
98686788,APAF1,1217,1303
98662697,APAF1,1570,1617
98671621,APAF1,500,626
34339092,NUDT2,2031,2168
34343241,NUDT2,1641,1939
34339162,NUDT2,2001,1611
34343216,NUDT2,1518,1461
56362105,APOF,1399,1393
56361923,APOF,875,985
56361862,APOF,1382,1244
56361589,APOF,1113,1121
69456413,APBA1,1238,1295
69516032,APBA1,936,653
69516642,APBA1,1395,1309
69467947,APBA1,1110,1531
29054091,APBA2,1481,954
29054480,APBA2,876,858
29093106,APBA2,522,331
29054217,APBA2,536,443
6410665,APBB1,1259,889
6411095,APBB1,1055,1308
6403169,APBB1,639,524
6403749,APBB1,758,1039
40934681,APBB2,489,368
41013872,APBB2,548,531
40890427,APBB2,767,725
41014192,APBB2,886,784
112839472,APC,1249,560
112838936,APC,564,334
112841127,APC,1890,1750
112840130,APC,894,1072
159588200,APCS,664,735
159588260,APCS,1514,1899
159588315,APCS,1135,977
159588453,APCS,2418,2466
44289725,AIRE,660,609
44287585,AIRE,1343,1133
44286113,AIRE,689,895
44287030,AIRE,5,8
49676805,APEH,1603,1367
49677601,APEH,1652,965
49674607,APEH,1319,1719
49679616,APEH,1295,1490
20457073,APEX1,612,289
20456842,APEX1,867,832
20456040,APEX1,1471,401
20456792,APEX1,1492,915
