Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
CARKD	4	0.12401	0.36191	0.53913	0.9326	0.71742	0.84758
GSTCD	4	-0.28811	-1.3433	0.48434	0.91766	0.17916	0.634
OIT3	4	-0.11038	-0.78186	0.8575	0.99002	0.4343	0.72112
ADAMTSL4	4	-0.16945	-0.98103	0.72076	0.97217	0.32658	0.65835
OR2A5	4	-0.025226	-0.24049	0.92726	0.99393	0.80995	0.90207
ENTPD7	4	0.35661	1.0376	0.13077	0.6442	0.29945	0.64531
LOC100129924	4	0.035593	0.41282	0.76566	0.97933	0.67974	0.82613
GAR1	4	-0.36816	-1.7115	0.35889	0.8664	0.086981	0.61706
CTNNA1	4	0.6204	1.1536	0.0097951	0.16596	0.24867	0.63489
B4GALNT1	4	0.032616	0.15853	0.77312	0.98089	0.87404	0.93908
CPLX2	4	0.088147	0.34253	0.62694	0.95126	0.73195	0.85647
PPAPDC1B	4	-0.27719	-1.7666	0.50457	0.92415	0.077298	0.58835
DNAH17	4	0.052594	0.39078	0.71818	0.97116	0.69596	0.83584
CAMK2A	4	-0.24006	-1.0472	0.57304	0.93779	0.29502	0.64443
DAOA	4	-0.071087	-0.80156	0.95704	0.99777	0.42281	0.71553
MED1	4	-0.27537	-1.8484	0.50786	0.92468	0.064551	0.5465
FANCF	4	-0.28841	-0.98111	0.48384	0.91755	0.32654	0.65835
GTF3C3	4	-0.99536	-1.9636	0.023121	0.28267	0.049573	0.48772
HIST1H2BO	4	-0.11142	-0.634	0.85501	0.98982	0.52608	0.76785
FAM46B	4	0.30382	1.5214	0.19148	0.72342	0.12817	0.634
MSMP	4	0.16272	0.99255	0.44963	0.9043	0.32093	0.65555
APOE	4	0.0271	0.32762	0.78679	0.98286	0.7432	0.86266
MCAT	4	-1.4426	-3.325	0.0028341	0.080508	0.00088405	0.058478
RBM39	4	-1.4147	-2.6472	0.0030827	0.082777	0.0081156	0.19701
C1orf234	4	0.26246	0.89725	0.25333	0.78748	0.36959	0.67969
ST13	4	-0.5314	-1.908	0.18606	0.72074	0.056391	0.5174
THADA	4	-0.068222	-0.4026	0.96445	0.99826	0.68725	0.83058
KPRP	4	-0.12013	-1.2735	0.83423	0.98743	0.20286	0.634
AGTR1	4	0.081004	0.51282	0.64484	0.95475	0.60808	0.79343
CFAP126	4	0.1256	0.426	0.53476	0.93222	0.6701	0.82078
CCDC180	4	0.3581	1.3599	0.12918	0.64263	0.17386	0.634
OR2F1	4	0.38567	1.3749	0.10461	0.59858	0.16916	0.634
RPL14	4	-1.5594	-2.6054	0.0014419	0.051601	0.0091764	0.21066
ANKRA2	4	-0.33818	-1.2025	0.4022	0.88776	0.22916	0.634
ODC1	4	-0.21127	-0.93985	0.63216	0.95194	0.34729	0.66853
CALHM1	4	0.36905	1.4644	0.11923	0.6248	0.14309	0.634
C19orf66	4	-0.3028	-0.6894	0.45878	0.90799	0.49057	0.7547
TEX19	4	0.067153	0.26944	0.6783	0.96343	0.78759	0.888
OR2T35	4	-0.034135	-0.13099	0.94904	0.99776	0.89578	0.95056
IRAK1	4	-0.17437	-1.5438	0.70953	0.97055	0.12264	0.634
KRTAP5-1	4	0.019335	0.063627	0.80748	0.98555	0.94927	0.97781
NDUFA3	4	-0.33798	-1.3437	0.4025	0.88776	0.17904	0.634
NIN	4	-0.12806	-1.0263	0.81583	0.986	0.30474	0.64679
TP53I13	4	0.021194	0.29801	0.80211	0.98528	0.7657	0.87658
FAM20B	4	-0.14723	-0.58495	0.77213	0.98049	0.55858	0.77943
CDS1	4	-0.083964	-0.50661	0.92412	0.99393	0.61243	0.7947
PGAP2	4	-0.37929	-1.8804	0.34328	0.85643	0.060048	0.52992
EYA1	4	0.11907	1.4919	0.55131	0.93455	0.13573	0.634
PLEKHA3	4	0.030891	0.1312	0.7772	0.98101	0.89561	0.95051
ZNF705E	4	0.30308	0.93349	0.19272	0.72489	0.35057	0.67017
ANKRD23	4	0.077126	0.3955	0.65409	0.95638	0.69247	0.83351
KLF17	4	0.21745	1.2832	0.33582	0.85224	0.19943	0.634
EIF4A1	4	-1.3011	-2.7784	0.0050219	0.11014	0.0054636	0.16065
