"","GeneID","MeanBeta","AneuScore.lm","AneuScore.lm.R2","AneuScore.P"
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)14225","SRSF3..6428.",-2.15127612690669,-0.00341332534655277,0.382957870114725,0.0133442485360529
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)10614","PCYT1A..5130.",-0.625868772385131,-0.00340926440491816,0.289143340236805,0.112139970382266
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)1018","ARPC4..10093.",-0.711911513685515,-0.00340862485881052,0.245365032870902,0.0479115419278559
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)15977","UBA5..79876.",-0.451322077844111,-0.0034083526526456,0.27338924388639,0.0243769686433169
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)404","AGAP6..414189.",-0.705460649125231,-0.00340673119499577,0.279134306879229,0.00763296308421429
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)4569","ELAVL1..1994.",-0.27604458386112,-0.00338429788654923,0.245973786449,0.0067416675961011
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)10837","PHF5A..84844.",-2.24268027635573,-0.00338256376297078,0.332084269417137,0.00886360338944252
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)8339","LSM5..23658.",-1.32811564552885,-0.00335831194187356,0.251970748704601,0.0264650420329274
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)8362","LTO1..220064.",-1.65243499388104,-0.00335321016422958,0.14882342258058,0.0661092781219747
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16083","UFM1..51569.",-0.468196263259533,-0.00335160855126558,0.307580265953397,0.0399065525153559
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11416","PPP4R2..151987.",-0.810932387177032,-0.0033333018504077,0.210750294616937,0.0344144153073214
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)12959","SCYL1..57410.",-0.42637804937383,-0.00332126984917253,0.215798985298928,0.00643102532197471
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11561","PRPF38A..84950.",-2.36438257767649,-0.00331362714354083,0.186251541657202,0.00202918855697256
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)8725","MED18..54797.",-1.0708636227471,-0.00331287482685032,0.19814564164866,0.030232007274767
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)10127","NUP58..9818.",-0.387122553351433,-0.00331131653663151,0.264382120755033,0.00489554651667398
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2658","CENPC..1060.",-0.905602115023994,-0.00330920675482951,0.192475837327245,0.0141969283561456
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11123","PLRG1..5356.",-0.853410828937692,-0.003301494326844,0.217533975406886,0.0221332627926422
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2490","CDC16..8881.",-2.07020153684788,-0.00330093461203714,0.193225686342675,0.0155755753144224
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)8341","LSM7..51690.",-1.89799895452732,-0.00329568960013122,0.260792819202905,0.00498772121748595
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)6530","HGS..9146.",-0.807524768758958,-0.00328551834642341,0.243336752424792,0.068721610376709
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)4414","ECT2..1894.",-1.11796413350218,-0.0032729632441063,0.268643654561305,0.0541169618076389
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2649","CELSR2..1952.",-0.444363443722669,-0.00326576752719198,0.193225389303683,0.00103327098444368
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)10488","PAX8..7849.",-0.186041330824441,-0.00325107926440639,0.586306174487861,0.00278899435515154
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)186","ACSL3..2181.",-0.312981390538272,-0.00324309023575822,0.291265591089815,0.0209590745223745
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)1197","ATP5F1A..498.",-0.554778347603869,-0.00321846307061426,0.217448620198822,0.0241365990935538
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2781","CFLAR..8837.",-0.583674795833862,-0.00321326758393752,0.382202974256528,0.135699683418833
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)9463","NACA..4666.",-1.4718077551612,-0.00320750027910212,0.275445727025634,0.0379435416634565
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)10026","NSL1..25936.",-1.03083844608113,-0.00320564599897178,0.242951439974123,0.0320078687281289
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11707","PSMD8..5714.",-1.40890903290811,-0.00319911176098984,0.186843236552184,0.0218112853645743
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)5206","FBXW11..23291.",-0.506809578867203,-0.00318528557394967,0.197628996244305,0.102882192496116
