Gene	sgRNA	Ts3|beta	Ts3|z	Ts3|p-value	Ts3|fdr	Ts3|wald-p-value	Ts3|wald-fdr
FOXD4L1	6	-0.75681	-2.3136	0.0096756	0.089239	0.02069	0.16524
ARNT2	6	-0.093912	-1.181	0.84889	0.95304	0.23762	0.44133
ADAMTS2	6	0.23782	1.7214	0.054639	0.26971	0.085185	0.28627
TFCP2L1	7	0.055757	0.63145	0.47666	0.78449	0.52774	0.70331
PSMA5	5	-1.1221	-2.2558	0.0017075	0.024096	0.024083	0.18044
ZNF784	6	0.05134	0.81478	0.5333	0.81628	0.4152	0.60565
ALK	6	-0.051224	-0.62498	0.9741	0.99246	0.53198	0.70439
ZFP41	6	-0.21673	-1.6935	0.43398	0.76772	0.090355	0.28649
PPP1R11	4	-1.0408	-1.6314	0.0076836	0.075843	0.10281	0.29722
HIVEP1	6	0.40173	1.7981	0.0017075	0.024096	0.072165	0.27564
USP4	6	-0.055457	-0.47729	0.99089	0.99828	0.63316	0.76271
SUV39H2	15	0.16165	2.2075	0.023335	0.16302	0.027279	0.19484
TRIM73	8	-0.57991	-2.5781	0.014798	0.11899	0.0099353	0.10876
HDX	7	0.45704	1.9788	0.00028458	0.0052083	0.047838	0.25484
CFI	6	0.20946	1.6087	0.082812	0.33798	0.10769	0.30273
ZNF219	5	0.092346	0.78032	0.42999	0.7639	0.4352	0.6242
CASP4	6	0.13093	1.8204	0.25327	0.60651	0.068696	0.27258
ANAPC7	15	0.22894	2.5614	0.0028458	0.0369	0.010426	0.11204
FBXO30	12	0.12356	2.1553	0.11639	0.41064	0.03114	0.20727
MAP3K1	17	0.025175	0.50185	0.37849	0.73037	0.61577	0.7502
CSDC2	6	-0.22859	-1.4223	0.40524	0.74633	0.15495	0.35196
CTSW	6	0.038521	0.46326	0.58452	0.84383	0.64318	0.76969
EHMT1	8	-0.37241	-2.3938	0.11355	0.40549	0.016675	0.14257
HSFY2	6	0.48167	1.7609	0.00028458	0.0052083	0.078256	0.27925
CPA5	6	0.11293	1.48	0.30194	0.65778	0.13888	0.33656
ARIH1	10	-1.3221	-4.1705	0	0	3.039e-05	0.0015704
ZKSCAN3	6	0.23926	1.3242	0.053216	0.26638	0.18542	0.38632
HCK	5	-0.21853	-1.4612	0.45248	0.77394	0.14396	0.33974
RHOXF2B	7	0.14598	1.8526	0.17615	0.50654	0.063942	0.27258
ZNF30	5	0.19572	1.5262	0.13261	0.44255	0.12697	0.32401
BRD3	13	0.015841	0.25517	0.51907	0.80815	0.79859	0.88164
ZBTB39	6	-0.32684	-2.4758	0.22311	0.57681	0.013295	0.12627
RNF38	10	0.032763	0.68774	0.50057	0.79521	0.49162	0.67821
