sgRNA	Gene	Cont1.initial	Cont1.final
241712009	ING5	523	587
109333884	DPPA4	1461	1748
92579355	FAM133B	1256	889
86079193	GOLM1	1456	1802
45176727	FANCM	827	576
11298924	TSPAN16	1549	1800
28272701	ZSCAN26	686	1012
59503647	OR4D11	744	425
22664349	ZNF492	1076	661
3317393	ZNF75A	503	530
152398126	NMUR2	1039	1029
NA	Non-Targeting_Control-N12	1311	1433
87024574	FAM25A	1615	1239
47487376	FAM25G	1220	1117
151740814	AADACL2	1096	1365
158579787	OR10X1	864	589
70335336	CABS1	958	986
101244115	FIS1	2048	1917
95783185	FAM76B	646	781
26415547	RBPJ	653	666
49973277	AQP6	589	608
61393255	TMEM216	454	452
58522013	SEPT4	2429	2448
58358784	OR5B17	598	767
63155698	RPS27L	897	684
107455727	CWF19L2	1002	534
25903691	STMN1	784	651
122767530	DENR	1278	1270
229859324	TRIP12	1000	969
73213783	NAP1L2	1130	1462
78124032	TMC6	1024	1189
112703769	RHOC	1873	1740
98389687	CNGA3	951	784
96983229	C10orf12	1004	1024
89894871	GJA10	1793	1867
70833907	CD207	757	687
112234827	PTBP3	2809	3163
36049314	UGT3A2	2336	2156
127374611	ZNF800	1858	2381
248521925	OR2G6	2769	2864
237753394	LRRFIP1	1281	1943
45278542	MARK4	730	544
22690918	EGR3	1528	1349
47014839	ADGRF1	780	823
69957620	CSN2	1875	1875
55790231	TGS1	889	589
133333792	SURF6	568	196
162375380	C1orf111	1497	2169
70134812	IGBP1	1701	457
80026394	TTK	549	195
67095240	C1orf141	2215	2126
48569911	LALBA	1324	1053
213862521	SPAG16	905	1002
35422574	SLFN12	1044	1203
130620407	FUBP3	744	986
8888238	PIK3R5	600	716
114628216	C9orf91	931	993
102655349	GPRASP1	746	665
48139261	ABCC12	2211	2308
32128141	GPD1L	2657	2966
94048910	ABCA4	566	591
57997758	ZNF319	1024	1090
61244208	PGA5	1330	823
30341576	MTPAP	706	173
84645620	WDR73	1680	1749
63979833	SERPINB8	2111	2148
85327064	TGOLN2	1137	833
101414865	RFX8	1483	1830
95247270	PDLIM1	1116	786
130217942	NCS1	975	1165
64675530	ZNF609	1721	1773
99713474	CYP3A7-CYP3A51P	2284	2190
4942408	RNF167	763	867
106850034	TBC1D8B	1814	2094
64162076	PPIB	959	997
205528093	CDK18	703	363
36871741	PPIL1	2693	1143
NA	Non-Targeting_Control-N13	1273	1723
118350588	CD3G	982	922
12950114	GPRC5D	444	459
40072441	BCOR	1025	1300
10875896	GCM2	1220	1355
54956193	PFKFB1	2273	2359
127768972	WDR33	1995	154
31414940	DNAJC24	1031	762
35867410	IL7R	829	979
23783879	SAT1	564	418
138691035	PIK3CB	2171	1971
89045808	SHC3	2624	2594
103713746	TMEM31	1061	1090
93104047	SAMD9	1707	1868
125302122	GAPVD1	1525	1838
42063117	SLC30A9	891	499
14724499	NPIPA3	1118	403
38682405	TOMM22	1744	1043
158606887	OR10Z1	1207	1640
101853491	NFKBIZ	1369	1521
39252479	C15orf54	1322	1237
236488164	IQCA1	1378	1081
26198299	CATSPER4	727	766
101244538	IMPG2	603	502
23568846	NPC1	688	497
85215025	C8orf59	2019	2498
107553113	ALKBH8	1384	1029
9694808	ZNF812	1776	2106
93877270	DNTTIP2	1750	698
99194882	MRPL30	470	399
NA	Non-Targeting_Control-N14	1791	2270
163072416	RGS4	940	801
195573863	APOD	1112	1153
62665136	C11orf98	762	770
35265225	HMGXB4	1852	1933
12186157	ZNF136	2619	2811
65266747	PARP16	1881	2270
24482281	ADAM7	1941	2413
148887024	UST	2400	2824
71588577	SIPA1L1	1398	1808
90413128	CLDN12	3163	1974
75690701	GCFC2	1409	1466
42699103	HHATL	641	581
145618381	GPR89A	2809	1062
69225386	TJP2	2395	2069
99849995	FILIP1L	1465	1091
42264727	EML4	2671	2573
29527248	VSTM2B	981	572
116466145	PNLIPRP3	1033	1150
146398865	GRM1	1068	956
48899856	OCIAD2	1235	1222
123550550	NDUFA5	3131	3310
119269833	USP53	943	1087
88149933	RAB38	1699	1862
20747612	EDDM3A	2148	2617
107772693	BBX	691	740
125349874	TMEM132B	1524	2171
5455165	DHX33	902	176
51698537	CSTF2T	1044	960
108459076	NBPF6	1945	1633
36283631	CCDC169	3296	3877
160232253	FABP6	1543	1792
52557155	ARPP19	740	510
28713301	SLC46A3	1118	1416
50193167	AKAP4	860	1058
157731552	THG1L	1624	2100
105161535	POPDC3	525	319
10445860	ZNF518B	2627	3014
100451909	LNP1	1110	1293
33667916	ITPR3	956	1023
3552192	RNASEH1	642	569
36468177	CSF3R	885	658
111487313	IMMP2L	523	419
61790547	TMEM258	605	139
129109313	C4orf33	907	972
54989033	WDHD1	1083	699
12217411	CDC123	1725	996
10530694	RNF141	1736	1326
