sgRNA,Gene,DLD1-Ts8.initial,DLD1-Ts8.final
MBD1_CXXC331377_E1_1968.266,MBD1,1305,1118
ZBTB7B_E4_113.9,ZBTB7B,3447,1459
MKRN3_1524.182,MKRN3,1910,2114
NEDD4_3960.168,NEDD4,4094,4437
FOXP2_E13_36.0,FOXP2,5715,7041
FBXO34_2136.107,FBXO34,2887,3679
neg79,neg79,4862,7450
ZNF614_E5_666.20,ZNF614,2457,3066
TMPRSS3_984.66,TMPRSS3,847,602
VPS11_2825.215,VPS11,1908,1522
NEUROD6_E2_360.4,NEUROD6,1562,1591
ZBTB42_BTB14121_E1_1269.18,ZBTB42,838,586
BRD3_BD2_e6_145.5,BRD3,2911,2249
ZBTB46_E5_96.9,ZBTB46,4004,3892
ZNF277_E9_97.0,ZNF277,6079,8233
FBXO47_1,FBXO47,2713,4490
MTOR_PKc_E50_83.9,MTOR,1673,279
FOXS1_E1_234.33,FOXS1,3519,3445
KLF8_E6_78.1,KLF8,4213,5746
RXRB_E4_180.18,RXRB,3355,3828
PSMB8_831.6,PSMB8,2646,3157
KIAA2018_E5_83.4,KIAA2018,2967,1614
ECE1_2313.209,ECE1,804,718
KLHL12_BTB23130_E1_1707.202,KLHL12,2428,2165
USP38_3129.237,USP38,2366,2727
CPN1_1377.199,CPN1,2052,1882
BRPF3_PWWP10741189_E1_3618.325,BRPF3,1547,1671
TET3_e10_79.1,TET3,2075,2024
RNF39_1263.41,RNF39,323,162
TRIM49D1_3,TRIM49D1,3408,1691
RNF148_918.67,RNF148,4070,5122
ZFP37_E4_906.48,ZFP37,4752,5657
OTUD5_1716.253,OTUD5,2496,5682
FOSB_E3_63.4,FOSB,533,323
ADAMTS19_3624.383,ADAMTS19,4030,4362
TET1_e8_90.2,TET1,6556,8601
neg6,neg6,19774,30216
LONRF2_2265.196,LONRF2,1170,1109
HDAC1_e5_139.9,HDAC1,2806,2091
NRK_PKc_E4_72.4,NRK,2040,2365
MLLT3_Yeats29112_E1_1707.152,MLLT3,2612,1628
EBF3_E12_51.0,EBF3,1558,1567
ZNF556_E4_492.16,ZNF556,1822,1790
KDM3B_e19_131.2,KDM3B,1618,708
CRX_E3_135.1,CRX,4232,5237
SCML2_MBT142240_E1_2103.216,SCML2,3011,3727
SMARCA2_BD_e28_218.19,SMARCA2,2818,4601
MTA3_SANT_E11_57.1,MTA3,2035,1736
PRDM9_e8_158.10,PRDM9,2371,2446
USP12_1113.67,USP12,3888,4934
ZNF776_E3_666.14,ZNF776,4323,6208
ZNF705A_E5_483.34,ZNF705A,4102,5163
RNF38_1548.62,RNF38,3753,4369
ZNF764_E3_489.24,ZNF764,2275,2916
MBD1_CXXC217262_E1_1968.311,MBD1,1399,1395
RNF168_1716.170,RNF168,2590,1786
TMPRSS3_984.134,TMPRSS3,2863,2269
MARCH1_870.71,43525,2365,3165
RNF133_1131.13,RNF133,2373,3056
ZNF678_E4_1197.73,ZNF678,8554,12316
FRK_PKc_E4_127.1,FRK,1193,1164
PSMB8_831.63,PSMB8,3020,4469
ZNF879_E5_1077.5,ZNF879,2615,3585
USP45_2445.101,USP45,1620,2746
PCSK9_2079.118,PCSK9,2519,3021
MGRN1_1731.258,MGRN1,1534,650
SETD6_e5_121.3,SETD6,2509,3376
NCOA2_e20_178.20,NCOA2,2279,2066
PLAG1_E4_110.6,PLAG1,5028,6374
RSPRY1_1731.92,RSPRY1,2534,2624
KEL_2199.227,KEL,2594,3479
USP24_99.1,USP24,5799,7280
ZNF689_E3_666.79,ZNF689,741,629
SFMBT2_MBT156256_E1_2685.37,SFMBT2,1683,2110
FXR1_Agenet59115_E1_1866.17,FXR1,2568,3450
STUB1_696.53,STUB1,2125,1963
VEZF1_E2_78.0,VEZF1,3041,1615
LMX1A_E5_84.4,LMX1A,3543,4212
KLHL32_BTB32137_E1_1863.228,KLHL32,2530,2846
TRAF5_1674.8,TRAF5,2918,4615
TCF20_ePhd_E3_47.0,TCF20,1674,1761
ZNF345_E3_1242.85,ZNF345,4405,5427
TDRD6_tudor69133_E1_6291.39,TDRD6,964,1272
HDAC6_a1_e9_105.4,HDAC6,4551,5505
TFAP2E_E6_142.18,TFAP2E,1858,2630
ZNF852_E4_1077.2,ZNF852,3755,4262
ZNF383_E5_969.43,ZNF383,3264,4929
CBFB_E4_117.8,CBFB,1493,2010
PGC_948.131,PGC,3241,3007
ZNF461_E6_666.23,ZNF461,9147,11511
KDM5A_Phd3_E27_45.1,KDM5A,2478,2905
KDM3A_e21_131.0,KDM3A,3459,3271
UBE2U_681.0,UBE2U,3872,4116
ZNF548_E4_834.71,ZNF548,4542,4310
EAF2_E3_137.0,EAF2,3121,3642
VPS11_2825.207,VPS11,2390,2268
ZBTB33_E3_657.36,ZBTB33,2316,3478
DYRK3_PKc_E3_1140.11,DYRK3,2486,3443
NKX2_2_E2_171.6,NKX2,1308,1089
BARX1_E3_82.0,BARX1,3825,4857
RNF8_1458.98,RNF8,2398,2252
TGIF2LY_E2_171.0,TGIF2LY,4156,4041
MBTPS2_1560.29,MBTPS2,3276,129
IRF3_E3_165.8,IRF3,2426,1756
WHSC1_PWWP878972_E1_4098.182,WHSC1,1906,1675
RAD54L2_H_e15_100.9,RAD54L2,4144,508
MMP17_1812.78,MMP17,2720,2003
CAD_6678.668,CAD,6592,7909
ASB7_957.55,ASB7,3472,5262
ZFPL1_933.62,ZFPL1,2609,3343
BACE1_1506.5,BACE1,2705,2238
THRB_E5_69.4,THRB,1320,1843
BRPF1_Phd_E3_186.4,BRPF1,1895,1512
RAX_E3_42.2,RAX,1043,936
USP28_3234.88,USP28,2823,2749
CISH_828.60,CISH,1433,1155
CHD7_Chromo_E7_56.0,CHD7,2066,2418
PRMT7_e5_73.1,PRMT7,5105,4455
ETS2_E10_111.5,ETS2,1363,2040
SOCS2_597.36,SOCS2,3000,3889
ZFP69_E6_666.49,ZFP69,1140,630
DPYSL2_165.11,DPYSL2,1586,2084
neg33,neg33,7522,9518
IPP_BTB28134_E1_1755.1,IPP,2344,2704
ZNF99_E4_1773.68,ZNF99,2747,3790
ZMPSTE24_185.5,ZMPSTE24,4010,3621
CAMK2D_PKc_E4_55.2,CAMK2D,1714,2009
BIRC7_897.172,BIRC7,2931,3236
KCTD21_BTB593_E1_783.23,KCTD21,1903,1853
MARCH10_2541.129,43534,2423,2805
TDRD6_tudor821866_E1_6291.211,TDRD6,2092,2350
HP_1221.118,HP,4331,3239
MYO3B_PKc_E2_177.13,MYO3B,1183,1233
USP44_2139.126,USP44,2295,2671
ZNF165_E4_327.18,ZNF165,3200,2902
FBXW11_5,FBXW11,976,595
ZNF100_E5_1155.84,ZNF100,4329,5654
PSEN2_1347.77,PSEN2,1466,1066
CPA2_1260.38,CPA2,1306,1562
E2F7_E6_159.6,E2F7,3189,3106
TMPRSS11F_1317.82,TMPRSS11F,2578,2346
RFWD2_2124.56,RFWD2,2355,1412
RFPL2_1137.141,RFPL2,3496,2252
KLHL31_BTB63165_E1_1905.212,KLHL31,3378,5038
CXXC4_CXXC301341_E1_1104.118,CXXC4,1517,1270
ZBTB16_BTB25125_E1_2022.8,ZBTB16,1638,1874
SMYD4_e5_95.4,SMYD4,2121,1937
SNAI2_E3_152.9,SNAI2,2688,3477
KCTD21_BTB593_E1_783.13,KCTD21,1924,2486
ZNF266_E11_1233.73,ZNF266,3071,3392
DZIP3_3627.150,DZIP3,4636,7147
HSF2_E1_78.1,HSF2,3675,3695
ZNF92_E4_1059.54,ZNF92,2011,2858
ZNF559_E6_1170.65,ZNF559,2465,3556
ZBTB25_E6_69.4,ZBTB25,5019,5986
CELA1_777.5,CELA1,1897,2064
TET3_e9_138.1,TET3,2223,2728
ASCL1_E1_126.11,ASCL1,1511,1941
BRD2_BD2_e6_145.6,BRD2,3006,868
IBTK_BTB554639_E1_4062.107,IBTK,1273,1993
TRIM41_1893.397,TRIM41,322,273
LHX8_E7_39.0,LHX8,2425,2624
GRHL1_E5_77.7,GRHL1,2357,3295
FOXA1_E2_234.12,FOXA1,1486,450
PLAU_1296.115,PLAU,4902,5081
CREB3_E6_67.1,CREB3,2296,1969
ZNF880_E4_1221.60,ZNF880,3323,3905
GGH_957.56,GGH,3737,5391
