sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
STK31_tudor31147_E1_3060.6,STK31,1230,505
PHIP_5466.435,PHIP,2794,1378
ANKFY1_BTB111198_E1_3636.41,ANKFY1,1250,763
ZNF74_E5_915.78,ZNF74,1968,1275
DMAP1_SANT_E4_99.5,DMAP1,424,154
OXSR1_PKc_E6_110.9,OXSR1,1648,820
PEX10_1041.173,PEX10,1368,592
CPA3_1254.27,CPA3,1720,642
ZNF696_E3_651.35,ZNF696,1774,1121
KCTD2_BTB74164_E1_792.72,KCTD2,380,202
PHF21B_Phd_E10_129.26,PHF21B,1280,663
GGT1_1710.81,GGT1,2360,1373
DLX4_E2_129.10,DLX4,634,337
IRF2BP2_1764.139,IRF2BP2,564,358
KCNC4_BTB38143_E1_1908.354,KCNC4,1086,466
HGF_107.9,HGF,2020,1029
SMG1_PKc_E45_84,SMG1,546,188
IRF7_E2_189.16,IRF7,1188,793
RNF187_708.126,RNF187,672,574
ATOH7_E1_144.2,ATOH7,2146,1199
BBX_E5_171.15,BBX,1536,738
TMPRSS11D_1257.56,TMPRSS11D,2626,1304
NR1H2_E5_274.52,NR1H2,858,526
PHF8_e7_187.2,PHF8,1468,963
LNX1_2187.301,LNX1,284,129
PAX2_E3_198.22,PAX2,1692,852
MEP1A_2241.287,MEP1A,1324,533
FBXO47_3,FBXO47,1608,653
TBX4_E2_86.8,TBX4,2014,1109
NHLRC1_1188.31,NHLRC1,1614,905
E2F4_E2_110.9,E2F4,1256,922
MBTD1_MBT145245_E1_1887.35,MBTD1,1002,502
TRIM28_2508.30,TRIM28,634,439
CPA3_1254.64,CPA3,1180,561
TRIM5_1482.38,TRIM5,2364,1050
TESK2_PKc_E8_84.3,TESK2,1236,705
ZNF418_E4_1161.27,ZNF418,2908,1580
CIT_PKc_E4_132.1,CIT,398,254
FBXL7_1476.39,FBXL7,878,383
CAMK1D_PKc_E4_139.1,CAMK1D,856,467
EEF2K_PKc_E9_53.1,EEF2K,902,328
LONRF2_2265.273,LONRF2,560,394
ZBTB49_E5_74.1,ZBTB49,1708,828
TOX2_E5_144.20,TOX2,4396,2703
FBXL13_2208.56,FBXL13,1368,589
KDM4B_ePhd_E17_53.2,KDM4B,2058,1429
RNF135_1299.208,RNF135,252,94
CPO_1125.9,CPO,2688,1037
RREB1_E12_798.173,RREB1,2348,1278
ZNF10_E5_666.38,ZNF10,2594,1715
ZNF490_E5_918.59,ZNF490,2850,1687
MTA1_Bah3188_E1_2148.371,MTA1,954,524
CGRRF1_999.35,CGRRF1,1384,849
MAFF_E3_276.6,MAFF,638,342
KAT6B_Phd1_E5_77.1,KAT6B,1842,814
FOXJ2_E3_75.7,FOXJ2,1740,772
ZNF135_E4_1170.29,ZNF135,2832,1612
MASP2_717.3,MASP2,3182,1590
ZNF362_E7_79.2,ZNF362,2096,656
WNK3_PKc_E6_89.3,WNK3,1866,744
FBXO39_6,FBXO39,1166,297
ZNF7_E5_1380.64,ZNF7,3312,1686
SOX7_E2_107.3,SOX7,1070,471
HOXB7_E2_177.20,HOXB7,800,350
FBXL12_981.37,FBXL12,2080,1417
UBE2D2_444.21,UBE2D2,1770,946
HIVEP1_E4_4854.349,HIVEP1,988,363
PA2G4_1185.1,PA2G4,2304,1271
MEIS3_E9_88.4,MEIS3,1240,564
TDRD6_tudor13091422_E1_6291.269,TDRD6,640,347
CAD_6678.1052,CAD,1072,519
ASB7_957.76,ASB7,3018,1893
TRIM38_1398.152,TRIM38,1342,496
ZNF547_E4_495.44,ZNF547,3174,1646
MAP2K5_PKc_E13_49,MAP2K5,1048,356
ZIK1_E4_666.42,ZIK1,768,399
ZMYND8_PWWP289369_E1_3567.43,ZMYND8,3106,1161
SPSB1_822.94,SPSB1,1120,794
CIT_PKc_E9_154.9,CIT,1040,639
TDRKH_tudor357404_E1_1686.78,TDRKH,2224,1146
LHX6_E6_39.0,LHX6,730,305
PRKAA1_PKc_E6_88.3,PRKAA1,528,239
SRF_E2_156.0,SRF,2584,1955
PRKDC_PKc_E79_221.1,PRKDC,1158,876
CDK6_PKc_E2_203.31,CDK6,1382,938
CUL9_7554.562,CUL9,1112,602
THAP9_E2_184.3,THAP9,3246,1717
HNF4G_E3_95.0,HNF4G,2186,1229
PDK1_PKc_E3_72.2,PDK1,354,113
ASCL2_E2_126.10,ASCL2,1490,705
TCF21_E1_180.28,TCF21,1084,454
ZBED3_E3_162.31,ZBED3,514,218
NHLH1_E2_171.0,NHLH1,594,288
OLIG1_E1_189.1,OLIG1,270,111
RNF38_1548.63,RNF38,1392,704
SIX6_E1_147.2,SIX6,1598,729
NKX1_1_E2_177.16,NKX1,1008,578
NEK8_PKc_E5_156.19,NEK8,1034,624
EMX1_E2_129.5,EMX1,1920,1103
TCF23_E2_150.5,TCF23,2598,1400
ZNF148_E7_84.0,ZNF148,3336,1506
RNF167_1053.196,RNF167,856,505
AKT3_PKc_E7_69.7,AKT3,2506,1108
ING4_Phd_E6_148.13,ING4,984,442
PRKCD_PKc_E15_63,PRKCD,1598,907
PRSS36_2568.136,PRSS36,2394,1770
DCST1_2121.174,DCST1,766,521
SOLH_3261.24,SOLH,1998,1029
CPA6_1314.34,CPA6,3184,2197
KLF16_E2_137.10,KLF16,312,105
FIGLA_E1_39.0,FIGLA,1144,686
TBL1Y_1,TBL1Y,1832,671
FBXO17_864.136,FBXO17,666,438
ZNF768_E2_747.6,ZNF768,2058,943
GZMH_741.9,GZMH,2116,1153
CUL7_5349.381,CUL7,1240,607
SCYL1_PKc_E4_227.2,SCYL1,710,561
ASB16_1362.29,ASB16,2224,1614
PHF20L1_tudor90135_E1_858.63,PHF20L1,948,341
HIPK3_PKc_E3_124.5,HIPK3,742,420
DLX4_E2_129.0,DLX4,1386,744
DAPK3_PKc_E5_49,DAPK3,828,348
KLK9_753.153,KLK9,1946,1304
SIAH2_975.130,SIAH2,2002,1287
ZBTB34_BTB22122_E1_1503,ZBTB34,742,432
CAMK4_PKc_E2_79.4,CAMK4,236,68
RCE1_990.59,RCE1,1320,956
FBXO21_1887.240,FBXO21,798,448
ZMYND8_PWWP289369_E1_3567.51,ZMYND8,1928,682
HECTD1_7833.450,HECTD1,2148,1418
ABTB1_BTB273376_E1_1437.91,ABTB1,970,346
ZNF785_E3_495.98,ZNF785,430,150
WNK4_PKc_E3_221.12,WNK4,1204,692
KCNA3_BTB106197_E1_1728.266,KCNA3,824,428
PHF10_Phd_E11_77.2,PHF10,1246,656
ZCWPW2_PWWP97160_E1_1071.18,ZCWPW2,642,229
FBXO40_12,FBXO40,1648,826
MDM4_1473.62,MDM4,866,900
GLI3_E12_165.6,GLI3,1256,996
FBXL14_1257.3,FBXL14,1962,1130
UBE2D1_444.4,UBE2D1,1844,932
MTA1_Bah3188_E1_2148.18,MTA1,1326,738
XPNPEP1_59.1,XPNPEP1,1216,748
TRIM17_1434.8,TRIM17,816,521
ZNF236_Ex_310.13,ZNF236,1144,515
RIPK3_PKc_E2_101.4,RIPK3,1344,858
CTSL2_1005.6,CTSL2,2114,851
HERC1_14586.996,HERC1,1674,859
SPI1_E5_261.2,SPI1,1844,1140
HOXA10_E2_177.15,HOXA10,2140,925
MARCH1_870.24,MARCH1,1178,680
MYCN_E3_180.5,MYCN,2170,1521
MESP2_E1_174.23,MESP2,1594,899
SMG1_PKc_E44_110.2,SMG1,874,274
CLK2_PKc_E9_130.3,CLK2,808,375
ADAMTS4_2514.86,ADAMTS4,346,123
ZSCAN20_SANT2_E7_248.24,ZSCAN20,216,58
GATA3_E4_138.2,GATA3,754,465
ZNF296_E3_543.56,ZNF296,750,317
TRIM35_1482.263,TRIM35,1224,496
SND1_tudor733777_E1_2733.24,SND1,932,399
ZMYND11_PWWP272353_E1_1809.49,ZMYND11,1892,1140
WHSC1_E8_111.0,WHSC1,964,762
NHLH1_E2_171.19,NHLH1,1264,793
PHF19_Phd2_E7_96.11,PHF19,540,399
STK39_PKc_E5_56,STK39,960,192
TCF12_E19_183.0,TCF12,1384,606
BTBD1_BTB62175_E1_1449.29,BTBD1,952,551
NFE2L2_E5_183.3,NFE2L2,1230,294
UBE2I_477.48,UBE2I,1908,722
BMPR2_PKc_E7_115.4,BMPR2,2626,1372
STK39_PKc_E6_110.5,STK39,1752,1051
SMAD7_E3_436.77,SMAD7,1350,762
CSNK1D_PKc_E3_149.8,CSNK1D,826,461
TWIST2_Ex_176.14,TWIST2,1428,742
ZBTB7B_BTB58178_E1_1722.39,ZBTB7B,1562,726
STK36_PKc_E7_78.5,STK36,830,481
UBE2B_459.35,UBE2B,986,561
ANAPC1_5,ANAPC1,1010,344
ADAM7_2265.53,ADAM7,2382,1192
RNF24_510.12,RNF24,1662,888
GSK3A_PKc_E4_111.4,GSK3A,736,323
ZFP36L1_E2_189.26,ZFP36L1,516,408
TRIM26_1620.308,TRIM26,1320,620
ZBTB16_BTB25125_E1_2022.333,ZBTB16,1400,784
FOXB1_E2_234.6,FOXB1,2330,1369
VSX2_E3_123.13,VSX2,366,168
FBXL18_2157.8,FBXL18,1790,888
CSDC2_E3_92.9,CSDC2,1286,914
CHD5_H_e20_95.3,CHD5,1664,1170
HERC2_14505.1578,HERC2,474,261
ZNF181_E4_828.12,ZNF181,2530,1165
ZBTB47_BTB4113_E1_2244.14,ZBTB47,2160,926
UBOX5_1626.208,UBOX5,2284,1466
SP140L_Phd_E15_101.5,SP140L,1804,875
CUL9_7554.913,CUL9,2364,1052
DYRK1B_PKc_E5_148.7,DYRK1B,1384,716
PCGF3_729.93,PCGF3,962,570
KLHL12_BTB23130_E1_1707,KLHL12,1298,568
PHKG2_PKc_E4_55.3,PHKG2,670,457
CBX4_Chromo_E4_67.5,CBX4,228,114
ZFP42_E4_330.9,ZFP42,1216,514
FBXL4_1866.106,FBXL4,1588,496
TRIM56_2268.555,TRIM56,2340,915
PITX2_E2_135.9,PITX2,1338,591
SOX10_E2_122.4,SOX10,1790,1166
MECOM_E7_157.6,MECOM,2230,961
SPOP_BTB190297_E1_1125.56,SPOP,1776,809
KMT2C_Phd4_E19_48.2,KMT2C,1550,593
SMURF1_2187.169,SMURF1,1870,852
PRKCA_PKc_E13_139.7,PRKCA,1256,950
BIRC7_897.104,BIRC7,896,443
TBL1X_2,TBL1X,898,413
STK25_PKc_E4_57.7,STK25,474,410
TRIM49_1,TRIM49,1682,865
TRIB1_PKc_E1_72.9,TRIB1,1116,554
ZNF207_E2_127.4,ZNF207,1818,587
PCSK4_2268.424,PCSK4,2790,1587
MYBL1_SANT3_E6_46.0,MYBL1,1530,430
MAPK15_PKc_E5_131.11,MAPK15,834,386
KLHL25_BTB36144_E1_1770.29,KLHL25,2148,1210
CSNK2A2_PKc_E2_112.4,CSNK2A2,2036,732
RNF125_699.10,RNF125,1090,699
DTX3_1053.57,DTX3,902,639
ZCWPW1_CW256303_E1_1947.241,ZCWPW1,1146,566
KMT2C_Phd6_E21_85.0,KMT2C,2638,996
UBE2E2_606.45,UBE2E2,1242,564
KLK8_137.8,KLK8,1324,527
ZNF551_E3_1038.29,ZNF551,768,393
MARK4_PKc_E3_54.2,MARK4,1128,526
RIOK1_PKc_E7_113.4,RIOK1,1212,400
FGFR1_PKc_E10_41,FGFR1,804,396
MIB2_3213.434,MIB2,1410,690
YES1_PKc_E12_203.2,YES1,1104,614
PIM3_PKc_E3_51.5,PIM3,950,505
FXR1_Agenet59115_E1_1866.16,FXR1,266,90
SMARCA1_SANT_E21_133.7,SMARCA1,1912,909
RNF138_E6_99.5,RNF138,1392,673
ZNF607_E5_1227.10,ZNF607,2028,713
PCGF1_780.30,PCGF1,1162,516
KDM4C_Phd_E14_214.9,KDM4C,2412,1815
ZNF593_E1_200.24,ZNF593,1082,568
TRIB1_PKc_E2_293.41,TRIB1,1392,1153
ASB7_957.62,ASB7,668,323
EEF2K_PKc_E4_48,EEF2K,1286,615
USP43_3372.592,USP43,1592,687
TDRD7_tudor517559_E1_3297.74,TDRD7,1066,567
IRX2_E2_177.2,IRX2,776,365
TDRD3_tudor652700_E1_2235.13,TDRD3,3390,1795
RFPL1_954.122,RFPL1,1442,702
FBXW8_11,FBXW8,536,310
CHFR_1995.238,CHFR,1278,757
MORC1_CW481530_E1_2955.173,MORC1,564,165
HMX3_E2_174.3,HMX3,942,398
NPEPPS_2760.54,NPEPPS,1426,697
MIS18BP1_SANT_E12_112.9,MIS18BP1,1152,494
SGK1_PKc_E10_156.8,SGK1,1040,474
TMPRSS2_1590.128,TMPRSS2,2514,1655
BTBD17_BTB53162_E1_1437.284,BTBD17,1278,689
PJA2_2127.136,PJA2,1214,611
RNF148_918.61,RNF148,1414,781
ADAM23_2499.51,ADAM23,2890,1259
LATS2_PKc_E6_183.4,LATS2,1592,768
MERTK_PKc_E17_160.3,MERTK,1120,636
CELA2A_810.71,CELA2A,1156,576
SHKBP1_BTB21107_E1_2124.41,SHKBP1,1240,428
KMT2D_Phd1_E7_138.9,KMT2D,1930,1381
KMT2D_16614.88,KMT2D,1930,1381
PSMB7_834.77,PSMB7,1178,461
IGF1R_PKc_E17_111.7,IGF1R,838,383
RHOBTB2_BTB523615_E1_2250.239,RHOBTB2,1730,1112
UBE2Q1_1269.123,UBE2Q1,756,597
MBTPS1_3159.399,MBTPS1,1456,611
HOXA7_E2_177.17,HOXA7,838,340
MAFK_E3_210.23,MAFK,532,412
CSNK1G2_PKc_E5_149.15,CSNK1G2,692,417
ZNF594_E2_2052.126,ZNF594,542,177
UBR1_5250.50,UBR1,820,392
STK40_PKc_E7_116.11,STK40,1046,307
MLKL_PKc_E7_82.3,MLKL,998,566
KLF16_E2_137.16,KLF16,822,396
TRIM65_1554.1,TRIM65,758,610
MYO3A_PKc_E5_105,MYO3A,494,193
SETMAR_e2_380.24,SETMAR,2356,1145
RNF126_936.65,RNF126,1120,631
RPS6KA2_PKc_E4_81,RPS6KA2,736,494
REPIN1_E4_1524.146,REPIN1,314,175
CELA2B_810.16,CELA2B,436,120
ZBTB41_BTB77173_E1_2730.8,ZBTB41,384,300
NEK10_PKc_E19_54,NEK10,864,462
MAPK3_PKc_E4_117.4,MAPK3,576,382
ERBB2_PKc_E20_186.2,ERBB2,490,167
TMPRSS9_3180.644,TMPRSS9,1892,978
USP17L10_1593.184,USP17L10,2772,1897
USP21_1698.74,USP21,2414,1317
MYT1_E12_125.0,MYT1,1726,1211
RNF186_684.121,RNF186,1326,680
FBXO30_11,FBXO30,3148,1433
PARK2_1398.92,PARK2,3460,1797
SIX4_E1_165.8,SIX4,832,554
UBE4A_3201.168,UBE4A,1306,768
PHF19_tudor4387_E1_624.98,PHF19,2214,1029
ERBB4_PKc_E19_99.2,ERBB4,862,619
RNF167_1053.133,RNF167,842,361
MAPK14_PKc_E4_112.4,MAPK14,1780,743
PHF2_e6_79.6,PHF2,2580,1210
ZNF397_E4_744.47,ZNF397,2078,636
CAPN1_2145.73,CAPN1,2260,993
MMP20_1452.46,MMP20,2658,1759
RHOBTB3_BTB413518_E1_1836.104,RHOBTB3,1180,579
RNF144B_912.15,RNF144B,3138,1707
IRX3_E2_165.27,IRX3,3304,1895
TRIM28_Phd_E13_104.11,TRIM28,1242,1019
ZBTB48_BTB16119_E1_2067.36,ZBTB48,1464,1113
PSMA5_726.19,PSMA5,1262,741
ZNF79_E5_834.55,ZNF79,2204,842
ZNF80_E1_411.46,ZNF80,1150,607
RELA_E3_132.3,RELA,950,462
CAPN2_2103.85,CAPN2,1702,823
RNF150_1317.133,RNF150,914,414
CASK_PKc_E8_123.4,CASK,1904,1128
CDC26_2,CDC26,614,199
NEURL1_1725.20,NEURL1,2344,1816
MYLIP_1338.97,MYLIP,2178,1154
KLF15_E2_74.13,KLF15,78,26
F9_1386.81,F9,3668,1909
WEE1_PKc_E4_143.9,WEE1,524,339
DTX3_1053.112,DTX3,1016,468
ZNF653_E8_100.7,ZNF653,754,231
PDZRN4_3111.4,PDZRN4,728,317
OTUD3_1197.49,OTUD3,350,68
TRIM69_1503.4,TRIM69,1388,763
MIXL1_E1_135.9,MIXL1,720,425
ID1_E1_135.0,ID1,3096,1486
MNAT1_930.77,MNAT1,1482,508
STAT5B_E12_93.0,STAT5B,1740,873
GSK3A_PKc_E7_98.2,GSK3A,842,401
CAMK2A_PKc_E3_60,CAMK2A,1398,629
KCNG2_BTB19112_E1_1401.252,KCNG2,406,158
GFI1_E5_138.6,GFI1,1194,582
CASP9_801.72,CASP9,2640,1360
MAP4K1_PKc_E2_58.4,MAP4K1,1672,919
FOSB_E4_99.5,FOSB,1028,514
FBXL14_1257.56,FBXL14,1322,582
MMP25_1689.324,MMP25,2808,1329
BPTF_Phd2_E27_106.4,BPTF,564,361
ZNF24_E4_234.13,ZNF24,2706,1919
MID2_2208.5,MID2,2454,1165
SGK3_PKc_E10_132.1,SGK3,1186,420
HMG20B_E4_144.1,HMG20B,914,550
SMNDC1_tudor76124_E1_717.9,SMNDC1,1516,706
HOXA4_E2_177.0,HOXA4,1482,784
ANKIB1_3270.314,ANKIB1,1640,1246
HLX_E3_141.7,HLX,1296,618
MTA2_SANT_E10_57.0,MTA2,2230,720
ZBTB7B_E5_196.9,ZBTB7B,2244,828
BACH2_BTB27133_E1_2526.15,BACH2,1076,426
CAPN13_2010.292,CAPN13,1176,620
PIK3R4_PKc_E2_661.6,PIK3R4,816,399
ULK4_PKc_E2_132.5,ULK4,696,338
IRF2BPL_2391.255,IRF2BPL,1698,682
PEX12_1080.57,PEX12,1794,630
TSHZ1_E2_221.32,TSHZ1,952,499
FOXC1_E1_234.10,FOXC1,1578,975
ENPEP_2874.29,ENPEP,1800,933
ERAP1_2847.19,ERAP1,662,286
ASB1_1008.164,ASB1,716,319
BAP1_2190.329,BAP1,2422,1495
AATK_PKc_E7_134.11,AATK,572,433
ZNF232_E5_324.0,ZNF232,1508,751
ZNF672_E4_1206.140,ZNF672,584,252
CHEK1_PKc_E5_70.1,CHEK1,456,266
HESX1_E4_42.0,HESX1,690,293
EHMT2_e23_87.11,EHMT2,1834,1146
PHKG1_PKc_E7_164.2,PHKG1,1840,1657
SOX8_E1_122.5,SOX8,184,74
ZSCAN25_E8_564.95,ZSCAN25,2232,1295
MASTL_PKc1_E6_151.1,MASTL,2192,847
ZNF442_E6_1080.9,ZNF442,1676,844
HPR_1047.89,HPR,4400,2998
HOXD4_E2_177.0,HOXD4,1816,801
FBXO45_861.130,FBXO45,626,359
FOXD4L1_E1_234.10,FOXD4L1,560,271
TLL2_3048.67,TLL2,1260,526
ESRRG_E5_65.0,ESRRG,1202,729
HIVEP3_E5_146.18,HIVEP3,1548,654
CAPN12_2160.3,CAPN12,1890,1342
PRKCH_PKc_E8_42,PRKCH,2098,1473
RIPK1_PKc_E2_157.18,RIPK1,1188,918
DPF2_Phd2_E9_77.2,DPF2,786,278
TDRD3_tudor652700_E1_2235.134,TDRD3,1830,1183
PCSK7_2358.161,PCSK7,3708,2372
SOCS3_678.108,SOCS3,628,415
UBE2W_576.38,UBE2W,1262,890
MTA3_E14_128.12,MTA3,1080,582
FBXO10_2871.8,FBXO10,1170,644
DMBX1_E3_42.2,DMBX1,1200,584
PDK4_PKc_E1_34,PDK4,1270,895
KMT2B_8148.534,KMT2B,1494,690
MYCL_E2_165.24,MYCL,242,131
OVOL3_E4_47.4,OVOL3,478,177
BACH2_BTB27133_E1_2526.3,BACH2,2304,666
ABL1_PKc_E4_120.11,ABL1,1146,686
DYRK4_PKc_E8_82.5,DYRK4,1082,380
CDK16_PKc_E8_63.4,CDK16,1468,542
ACVR1C_PKc_E4_193.16,ACVR1C,1836,1209
GZF1_BTB21133_E1_2136.16,GZF1,1562,1108
ZNF768_E2_747.116,ZNF768,1042,532
ST18_E12_91.9,ST18,856,565
ABHD12B_858.4,ABHD12B,920,321
GON4L_SANT_E32_91.2,GON4L,968,719
ZFP36L2_1485.265,ZFP36L2,1360,1118
FOSB_E3_63.4,FOSB,576,232
STK24_PKc_E4_109.3,STK24,260,155
TBL1XR1_8,TBL1XR1,1488,1111
PRDM15_E25_120.11,PRDM15,1222,635
ADAM9_2460.7,ADAM9,1898,1062
PRKRIR_E1_80.8,PRKRIR,922,334
ZNF135_E4_1170.81,ZNF135,526,89
RNF208_786.112,RNF208,626,321
WSB2_1266.186,WSB2,2946,1796
HES3_E3_81.4,HES3,776,390
CREBBP_BD_e17_107.5,CREBBP,1542,611
PRSS50_1158.171,PRSS50,306,69
TRIM62_1428.68,TRIM62,918,523
PHF11_Phd_E5_134.7,PHF11,554,300
ZBTB38_BTB23122_E1_3588.398,ZBTB38,1774,973
ROCK1_PKc_E4_138.9,ROCK1,1068,591
MAP2K4_PKc_E7_128.3,MAP2K4,1846,1390
ZNF449_E5_573.40,ZNF449,2714,1382
KLHL30_BTB23130_E1_1737.342,KLHL30,968,429
NKX2_8_E2_171.1,NKX2,742,392
ZNF354C_E5_834.4,ZNF354C,1912,944
DCAF12L1_1392.41,DCAF12L1,1548,1292
MYLK2_PKc_E5_41.3,MYLK2,604,317
MARK3_PKc_E9_120.4,MARK3,1658,508
BMP2K_PKc_E3_106.5,BMP2K,818,302
CASK_PKc_E3_106.2,CASK,1416,710
MXI1_E4_115.3,MXI1,1278,844
STUB1_912.145,STUB1,334,165
SALL1_E2_2190.265,SALL1,1014,509
HCK_PKc_E8_76.11,HCK,1132,377
HERC5_3075.143,HERC5,882,270
SMAD7_E3_436.13,SMAD7,2618,1447
NKX3_1_E2_177.9,NKX3,2362,1041
KBTBD11_BTB141225_E1_1872.65,KBTBD11,104,44
PML_2649.26,PML,726,333
CLPP_834.39,CLPP,1996,1379
UBE2H_552.42,UBE2H,2316,1840
ABHD4_1029.125,ABHD4,3798,2222
TTBK2_PKc_E5_141.2,TTBK2,584,274
TRIM47_1917.252,TRIM47,1682,965
MSH6_PWWP88195_E1_4083.425,MSH6,544,171
USP46_1101.36,USP46,792,225
EP300_e28_165.12,EP300,2232,564
FBXW8_1797.232,FBXW8,734,414
PEX12_1080.62,PEX12,2004,998
LONRF3_2280.230,LONRF3,2902,1872
LIMK1_PKc_E9_87.4,LIMK1,1348,729
USP17L4_1593.132,USP17L4,1224,636
DDB1_3423.391,DDB1,2852,1068
PDZRN3_3201.79,PDZRN3,1652,753
UBE2QL1_486.46,UBE2QL1,418,154
IRF7_E2_189.11,IRF7,1066,936
KMT2B_CXXC_E6_131.14,KMT2B,970,440
DTX2_1869.95,DTX2,1392,568
MARCH2_741.41,MARCH2,1266,721
SETD1A_e18_138.16,SETD1A,2102,1577
MAPK9_PKc_E4_59,MAPK9,1012,280
SOX13_E13_107.3,SOX13,350,110
NR1D1_E3_89.6,NR1D1,1690,764
UBE2H_552.36,UBE2H,328,106
PHF6_ePhd_E3_102.1,PHF6,1884,722
RNF8_1458.104,RNF8,1504,679
TRIM28_BD_e16_138.20,TRIM28,1146,554
ZFPM2_E8_1788.156,ZFPM2,948,321
CHD7_SANT_E30_184.9,CHD7,1550,578
TWIST1_E1_168.17,TWIST1,1394,733
KMT2C_14736.651,KMT2C,1186,711
SETDB1_tudor257317_E1_3876.63,SETDB1,448,94
ZFX_E10_1119.5,ZFX,2388,1911
NRF1_E4_127.1,NRF1,1628,864
PRKCA_PKc_E10_174.1,PRKCA,918,634
APEH_2199.238,APEH,1172,558
ZNF679_E5_492.40,ZNF679,1106,634
RFWD2_2124.59,RFWD2,2240,890
KMT2B_Phd1_E12_105.15,KMT2B,1238,833
PHF21B_Phd_E10_129.2,PHF21B,1278,545
FOXI2_E1_208.1,FOXI2,1146,1028
SPSB2_792.83,SPSB2,1186,717
SRY_E1_234.2,SRY,1718,791
PAX3_E2_222.12,PAX3,1118,573
STAT4_E15_84.3,STAT4,1796,654
CDC5L_SANT_E2_104.2,CDC5L,1468,335
SHOX2_E3_135.0,SHOX2,1604,892
ASB2_1908.136,ASB2,1108,741
RNF103_2058.134,RNF103,1740,872
NR5A1_E3_142.4,NR5A1,534,391
FOXB2_E1_234.21,FOXB2,1792,1135
KDM2B_10,KDM2B,2142,854
IGF1R_PKc_E21_82,IGF1R,1360,518
KCTD15_BTB58145_E1_852.121,KCTD15,2244,1010
FBXO24_1857.362,FBXO24,2042,911
SETD7_e8_95.12,SETD7,2402,910
UBE2G2_498.35,UBE2G2,2200,1020
ZNF558_E10_666.48,ZNF558,3364,1125
ASB16_1362.73,ASB16,336,322
FBXL13_2208.11,FBXL13,4946,2714
FBXL2_1,FBXL2,4946,2714
GZMB_744.109,GZMB,2276,1477
KCNC3_BTB90184_E1_2274.495,KCNC3,1120,602
ZNF80_E1_411.15,ZNF80,3018,1858
TBX2_E6_95.1,TBX2,680,343
USP48_3108.237,USP48,1716,845
FBXO17_864.17,FBXO17,674,522
RNF126_936.188,RNF126,484,243
KLHL25_BTB36144_E1_1770.303,KLHL25,1116,512
POU3F2_E1_174.29,POU3F2,2452,1505
DTL_2193.225,DTL,1430,617
ZFP41_E2_237.2,ZFP41,550,327
TRIM58_1461.256,TRIM58,836,316
ATG4D_1425.108,ATG4D,1838,1287
KMT2B_e37_218.0,KMT2B,1826,743
PAPPA_4884.645,PAPPA,1308,634
HOXB4_E2_177.5,HOXB4,800,559
IRF5_E2_156.9,IRF5,1620,761
ZBTB20_BTB94196_E1_2226.25,ZBTB20,1006,477
KCNS3_BTB17116_E1_1476.182,KCNS3,580,217
ZNF500_E6_330.45,ZNF500,1594,990
TESK1_PKc_E4_147.1,TESK1,2298,1243
CCNF_2361.308,CCNF,1446,637
CUL4A_2280.23,CUL4A,1718,1377
BARD1_2277.142,BARD1,1082,362
GLIS2_E6_53.5,GLIS2,780,457
STK3_PKc_E6_115.4,STK3,1498,863
KAT8_Chromo_E1_169.19,KAT8,734,320
DCAF12L1_1392.266,DCAF12L1,1756,916
NR2F1_E1_208.25,NR2F1,1494,610
SP7_E3_168.3,SP7,2082,1046
ZNF777_E6_849.110,ZNF777,908,394
ZMYND8_Phd_E5_123.12,ZMYND8,998,430
RUNX1_E6_105.9,RUNX1,1142,719
HERC5_3075.169,HERC5,1396,622
ATF6_E8_162.6,ATF6,996,622
OTP_E2_132.5,OTP,1058,641
UBB_690.2,UBB,1008,527
ZNF541_E2_78.0,ZNF541,2664,1804
NPR2_PKc_E14_156.4,NPR2,972,474
TMPRSS15_3060.157,TMPRSS15,1826,1127
HOXA6_E2_177.23,HOXA6,1454,634
PRSS33_843.165,PRSS33,1668,840
MAST1_PKc_E14_133.6,MAST1,750,370
CDC23_1794.135,CDC23,798,130
TRIM3_2235.369,TRIM3,620,260
ZNF567_E6_1281.115,ZNF567,3466,1418
FERD3L_E1_171.24,FERD3L,1234,769
LONRF2_2265.196,LONRF2,1260,709
TRIM52_894.63,TRIM52,2020,873
ZBTB7C_BTB24127_E1_1860.367,ZBTB7C,612,258
SNRK_PKc_E3_556.3,SNRK,1108,362
FOSB_E3_63.2,FOSB,2374,1117
NSD1_Phd5_E22_106.7,NSD1,712,186
E4F1_E7_173.16,E4F1,1568,705
AKT2_PKc_E10_129.1,AKT2,448,193
CBL_2721.59,CBL,624,248
ZNF331_E7_993.113,ZNF331,1234,564
RNF185_579.14,RNF185,2104,1254
ACY3_960.74,ACY3,314,157
PHF7_ePhd_E5_102.13,PHF7,1070,501
TEC_PKc_E15_65.2,TEC,464,214
DCST1_2121.198,DCST1,246,127
ANAPC1_8,ANAPC1,1434,631
MKNK1_PKc_E8_123.18,MKNK1,326,163
HACE1_2730.151,HACE1,1826,595
KCTD9_BTB91181_E1_1170.93,KCTD9,768,167
BBX_E5_171.12,BBX,1224,490
FLT4_PKc_E20_89.4,FLT4,1164,546
KLK1_789.64,KLK1,1546,849
CASK_PKc_E3_106,CASK,1686,770
TDRD6_tudor15711609_E1_6291.419,TDRD6,904,562
DYRK2_PKc_E3_1140.73,DYRK2,362,172
