sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
SPOPL_BTB190297_E1_1179.31,SPOPL,2012,834
HM13_1281.161,HM13,1660,979
CBLC_1425.103,CBLC,1996,1074
PRSS12_2628.222,PRSS12,3572,2354
SOX6_E14_107.4,SOX6,2078,652
PRSS8_1032.139,PRSS8,2246,1539
POU5F1B_E1_174.17,POU5F1B,2492,1237
CELA3A_813.87,CELA3A,4122,2516
BRD8_BD_e19_178.3,BRD8,1484,1050
PRSS41_957.126,PRSS41,5106,2705
DNPEP_1458.256,DNPEP,1960,1106
CDK20_PKc_E3_189.5,CDK20,826,631
KLKB1_1917.7,KLKB1,2122,1018
ZNF524_E2_243.13,ZNF524,3196,2113
RPL23A_e2.1,RPL23A,12146,4939
FBXO11_2784.130,FBXO11,6132,2845
TPSG1_966.6,TPSG1,2628,1360
ZNF79_E5_834.56,ZNF79,2464,1103
CDKL5_PKc_E5_137.5,CDKL5,2538,1158
ATF6_E8_162.8,ATF6,3248,1101
BARD1_2277.15,BARD1,1342,785
ZNF880_E4_1221.59,ZNF880,5114,3114
DCLK3_PKc_E2_390.28,DCLK3,2390,1865
TET3_e10_79.1,TET3,2668,1606
MEF2A_E3_51.1,MEF2A,6712,3617
ZNF189_E3_1161.3,ZNF189,3538,1861
ZNF676_E3_1410.86,ZNF676,3666,2694
UBTFL1_E1_558.21,UBTFL1,6396,2898
RNF222_663.159,RNF222,2378,1128
ASB10_1404.42,ASB10,1026,575
VPS41_2565.110,VPS41,1948,641
TERF1_SANT_E10_144.8,TERF1,650,179
ZNF470_E6_1338.89,ZNF470,1778,687
CSDE1_E11_213.15,CSDE1,1502,756
KLHL38_BTB24131_E1_1746.268,KLHL38,902,491
STAT4_E10_89.6,STAT4,4212,2092
TRERF1_E7_69.3,TRERF1,1764,1004
MARCH3_762.21,MARCH3,1108,475
KMT2C_e59_74.2,KMT2C,2918,1711
EIF2AK4_PKc_E9_536.1,EIF2AK4,3098,944
HOXB3_E4_177.17,HOXB3,2570,1658
MYOG_E1_177.9,MYOG,2506,1482
CDK1_e7.1,CDK1,4398,2060
ZNF625_E4_396.14,ZNF625,6432,4894
ZNF587_E3_567.30,ZNF587,10962,6055
MAK_PKc_E3_55.1,MAK,2642,741
TRIB1_PKc_E3_361.38,TRIB1,2248,803
PRSS53_1662.27,PRSS53,2234,1320
KCTD3_BTB20112_E1_2448.8,KCTD3,2064,1145
TFDP1_E6_144.6,TFDP1,2370,1184
ZNF582_E5_663.50,ZNF582,5460,2498
BMPR2_PKc_E10_137.6,BMPR2,2158,1506
USP4_150.10,USP4,1380,591
KLF5_E4_78.9,KLF5,2032,1150
RCOR2_SANT2_E10_58.0,RCOR2,2744,1332
PARK2_1398.149,PARK2,2234,861
PSMB10_822.132,PSMB10,2868,1734
SRC_PKc_E9_82.15,SRC,1930,1446
PRKRIR_E1_80.0,PRKRIR,2752,1280
TLL1_3042.279,TLL1,4522,2869
EZH2_e16_96.8,EZH2,1832,936
ADAMTS18_3666.74,ADAMTS18,3212,1346
USP1_2358.7,USP1,2636,1233
TRPS1_E6_102.4,TRPS1,7364,3553
FBXO22_1212.72,FBXO22,3674,1407
ZNF585B_E5_1839.141,ZNF585B,6202,3518
FMR1_Agenet59117_E1_1899.173,FMR1,4138,2546
ABHD12B_858.58,ABHD12B,4122,2218
SHPRH_H_e27_179.9,SHPRH,3520,1932
ASH1L_BD_e18_55.0,ASH1L,4052,1681
ZNF554_E5_498.59,ZNF554,3366,2253
TDRD3_tudor652700_E1_2235.103,TDRD3,2986,1746
WDSUB1_1431.53,WDSUB1,2896,1191
ZNF526_E3_963.98,ZNF526,2928,1675
TESK1_PKc_E5_83,TESK1,1880,1226
ZNF417_E3_567.28,ZNF417,3600,2004
SUV39H2_e4_147.1,SUV39H2,8296,4354
BRWD1_BD1_e32_126.1,BRWD1,1656,748
CLOCK_E7_149.4,CLOCK,3050,1312
ASB15_1767.136,ASB15,3556,2746
NAALADL2_2388.136,NAALADL2,1594,751
TFEB_E8_76.6,TFEB,3062,1828
PROX1_E4_195.9,PROX1,2148,981
MBTPS2_1560.129,MBTPS2,3062,1264
ZNF234_E6_1245.128,ZNF234,7948,4112
ZNF773_E4_663.19,ZNF773,2180,948
UBE2C_240.27,UBE2C,1800,804
FBXO38_2,FBXO38,2564,1312
NIM1K_PKc_E4_414.1,NIM1K,2022,1125
KLK9_753.142,KLK9,6560,3690
BTBD9_BTB33137_E1_1839.2,BTBD9,2794,1407
MIB2_3213.414,MIB2,3404,2091
ATOH1_E1_177.0,ATOH1,2540,1465
KLHL20_BTB59165_E1_1830.206,KLHL20,2856,1589
