Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
ADAMTS10	6	-0.16781	-1.6482	0.51911	0.80282	0.099317	0.28774
KCNA1	6	-0.021566	-0.25317	0.84626	0.95926	0.80013	0.87912
ADAMTS8	6	-0.051854	-0.42118	0.99686	0.99772	0.67362	0.78908
RNF122	7	0.059066	0.82373	0.38078	0.70058	0.41009	0.60068
KCNV2	6	-0.11549	-0.88458	0.7142	0.90676	0.37638	0.57076
SOX8	5	-0.058488	-0.56326	0.95208	0.98612	0.57326	0.71474
USP35	6	-0.047239	-0.46175	0.97889	0.99306	0.64426	0.76699
neg72	1	0.29664	0.61053	0.22647	0.58254	0.54151	0.69331
AIRE	18	-8.5123e-05	-0.0010539	0.46463	0.76086	0.99916	1
PPARG	5	0.0019512	0.025453	0.75642	0.92487	0.97969	0.99246
PA2G4	6	-0.3551	-2.2994	0.12208	0.42167	0.02148	0.17115
FOXM1	6	-0.16581	-1.9161	0.52539	0.80648	0.055358	0.24823
GSK3A	6	-0.11162	-0.84616	0.73246	0.91714	0.39747	0.58823
ZNF692	4	0.0063864	0.067727	0.76241	0.92716	0.946	0.97468
KCND3	6	0.13957	1.548	0.13605	0.44496	0.12162	0.30977
CTSC	5	0.15208	1.3734	0.14062	0.45354	0.16963	0.36241
SPEG	12	0.12662	1.8243	0.047347	0.26019	0.068108	0.25725
