sgRNA,Gene,DLD1-Cont2_P10.13.initial,DLD1-Cont2_P10.13.final
ATOH1_E1_177.0,ATOH1,1270,1239.6
KLHL20_BTB59165_E1_1830.206,KLHL20,1428,1361.8
ADAMTS4_2514.456,ADAMTS4,729,689.8
CIC_E6_171.6,CIC,1175,1303.2
UTY_e25_115.4,UTY,4071,3614
HDAC8_e3_131.7,HDAC8,2127,1918
SUB1_E5_47.1,SUB1,592,781.8
SMN1_Tudor_E5_201.4,SMN1,1141,841.8
FBXW9_15,FBXW9,1028,1042.8
ZNF582_E5_663.39,ZNF582,1509,1254.4
ANAPC10_2,ANAPC10,1126,1062.6
RNF112_1896.385,RNF112,1454,1418.4
ASB10_1404.247,ASB10,911,1158.4
UBE2J2_828.128,UBE2J2,711,374
CUL9_7554.837,CUL9,492,282
ZNF304_E4_1068.94,ZNF304,1261,1057.4
PHF7_1146.110,PHF7,700,623
TRIM13_1224.106,TRIM13,1006,720.2
SPPL2B_1779.345,SPPL2B,1057,942
ZNF740_E6_119.3,ZNF740,5204,6040
BTBD1_BTB62175_E1_1449.42,BTBD1,1151,1432
PRKCZ_PKc_E10_98.3,PRKCZ,1096,1103.8
ZBTB43_E3_216.3,ZBTB43,1958,1423
FBXL18_2157.376,FBXL18,1280,1018
STAT6_E12_93.8,STAT6,3027,3679.2
DCAF17_1362.103,DCAF17,1706,1955.8
KCTD8_BTB46143_E1_1422.35,KCTD8,666,443.6
XIAP_3,XIAP,920,683.4
JUNB_E1_162.21,JUNB,564,859
TRIM6-TRIM34_2529.17,TRIM6-TRIM34,2143,1888.2
TRIM6_1551.17,TRIM6,2143,1888.2
CBL_2721.248,CBL,2567,2445
CUL4A_2280.31,CUL4A,1585,1167.2
PhIP_BD1_e32_126.5,PhIP,1772,1385
STAT5A_E12_93.9,STAT5A,1963,1960.4
ZNF556_E4_492.21,ZNF556,2244,2345.2
HELLS_D_e9_190.7,HELLS,1927,1723
CAMK2B_PKc_E6_73.6,CAMK2B,1257,1220.4
ZNF302_E6_495.26,ZNF302,1258,1228
MID1_2004.236,MID1,1359,1194.4
RXRG_E4_180.4,RXRG,779,535.2
ZNF225_E5_1635.25,ZNF225,2692,3344.4
DAPK1_PKc_E2_44.1,DAPK1,960,874.8
ATF6_E8_162.9,ATF6,1988,1518.4
