Gene	sgRNA	Cont2|beta	Cont2|z	Cont2|p-value	Cont2|fdr	Cont2|wald-p-value	Cont2|wald-fdr
HSF1	7	-0.1951	-2.2648	0.1864	0.58378	0.023526	0.24386
STK32A	6	0.15724	0.94881	0.088788	0.40206	0.34272	0.5776
TBX19	7	0.046343	0.72422	0.48179	0.80871	0.46893	0.67562
RNFT2	9	-0.094604	-0.87744	0.53017	0.8317	0.38025	0.61125
NCOA2	6	0.095619	1.4841	0.27832	0.68248	0.13777	0.36943
USP38	6	-0.027554	-0.29065	0.99175	0.998	0.77132	0.86678
PIAS4	16	-0.1416	-2.6475	0.18611	0.58378	0.0081082	0.14537
PRMT5	6	-0.66417	-2.8462	0.00085373	0.01676	0.0044247	0.1028
ACTR	5	-0.043099	-0.61637	0.87422	0.96684	0.53765	0.70812
KIAA2018	6	-0.021144	-0.23815	0.96756	0.99364	0.81176	0.89165
ZNF703	6	-0.018687	-0.67233	0.94991	0.98816	0.50137	0.69345
RNF113B	10	-0.09775	-1.218	0.50626	0.81722	0.22324	0.46036
TBX20	7	0.082508	0.8575	0.28913	0.69022	0.39117	0.61852
STAT2	6	0.058176	1.2404	0.46443	0.80871	0.21481	0.44985
MBD2	12	-0.17144	-2.6179	0.14314	0.51118	0.0088461	0.14991
DNAJC2	17	-0.3371	-4.1243	0.00085373	0.01676	3.7192e-05	0.0052277
UBE2N	6	-0.14627	-1.3103	0.37308	0.76276	0.19009	0.42681
ZNF426	6	0.15624	1.6986	0.09078	0.40788	0.089396	0.32769
CDK11B	6	-0.2029	-1.0049	0.20888	0.61474	0.31496	0.55098
HTRA3	12	0.16586	2.5274	0.0096756	0.11111	0.011491	0.1771
BIRC2	10	-0.022911	-0.47164	0.94593	0.98635	0.63718	0.77449
BACH1	9	0.093052	1.3013	0.18412	0.58341	0.19315	0.42973
SBK3	6	0.080819	1.1969	0.34519	0.73726	0.23136	0.47094
ARID4A	18	0.13612	2.8263	0.010529	0.11783	0.0047091	0.10676
STK32B	6	0.073507	0.84461	0.38418	0.77041	0.39833	0.62414
KDM3B	3	-0.10207	-1.0733	0.62806	0.87096	0.28313	0.52409
EBF1	8	0.13245	2.0799	0.093625	0.41436	0.037532	0.28734
C1RL	6	0.016936	0.26419	0.70205	0.90201	0.79163	0.88032
MYOD1	6	-0.029208	-1.0331	0.98492	0.99597	0.30155	0.54027
SP9	5	-0.1323	-1.9999	0.44024	0.80457	0.04551	0.30129
ZNF148	4	0.045923	0.56209	0.63176	0.87421	0.57405	0.73097
SSRP1	6	-0.5075	-2.7696	0.0034149	0.05042	0.0056128	0.11882
CUL5	11	0.15514	2.091	0.021912	0.19012	0.036524	0.28497
ZNF813	6	-0.10452	-1.8864	0.54667	0.83923	0.059238	0.31039
HGFAC	6	-0.027427	-0.43831	0.99232	0.998	0.66116	0.79045
IRF7	6	-0.17053	-1.5663	0.29084	0.69147	0.11727	0.34953
FANCL	10	0.12258	1.8532	0.075697	0.37083	0.063858	0.31289
TBX6	7	-0.041472	-0.49362	0.90125	0.97566	0.62157	0.76536
HERC6	14	-0.023448	-0.51725	0.9243	0.98013	0.60498	0.75547
PRDM9	10	0.046975	0.45477	0.38731	0.7711	0.64927	0.78081
EGR2	6	-0.116	-1.0592	0.49829	0.81592	0.28951	0.53014
PSMB6	6	-0.98446	-3.1151	0	0	0.0018388	0.062176
ZNF773	6	0.14351	1.9913	0.12094	0.47433	0.046448	0.30164
TRIM28	28	-0.43556	-5.3657	0	0	8.0625e-08	7.0275e-05
CASP10	6	-0.016373	-0.15992	0.93398	0.98205	0.87295	0.92759
ZNF563	6	0.045193	1.048	0.52931	0.83073	0.29462	0.5342
UNK	9	0.014086	0.2624	0.64883	0.88065	0.79302	0.88102
ETV3	6	-0.16878	-1.8936	0.29596	0.69565	0.058281	0.31039
SPIC	6	-0.11413	-1.1421	0.50313	0.81592	0.25343	0.48979
CORIN	6	0.037293	0.64817	0.57371	0.85135	0.51687	0.69911
AKT1	6	-0.074729	-1.3758	0.70176	0.90201	0.16889	0.40622
MMP10	6	0.024823	0.35368	0.65111	0.88161	0.72358	0.83366
ZNF324	6	-0.14556	-1.6493	0.37564	0.76433	0.099085	0.33641
CDK10	6	-0.25274	-1.9792	0.12066	0.47374	0.047797	0.30164
GFI1	4	0.14726	1.41	0.19607	0.59809	0.15854	0.3954
PRSS48	6	0.076582	1.3114	0.36966	0.76009	0.18973	0.42681
PSMB9	6	0.016158	0.21262	0.70717	0.90495	0.83163	0.9023
ZNF317	6	0.043119	0.63068	0.54525	0.83822	0.52825	0.70248
BMPR1B	6	-0.016187	-0.23975	0.93256	0.98143	0.81053	0.89117
