sgRNA,Gene,HCT116-Ts5.initial,HCT116-Ts5.final
MBD3_MBD2_E5_178.8,MBD3,2353,2685
AHRR_E3_126.15,AHRR,573,552
OTUB2_705.66,OTUB2,1594,1714
TFAP4_E2_111.4,TFAP4,2374,2056
DDIT3_E4_192.15,DDIT3,672,608
CASP8_130.7,CASP8,1603,1928
ADAMTS7_5061.111,ADAMTS7,589,459
WHSC1_E7_39.0,WHSC1,2132,2810
ELK3_E2_153.5,ELK3,1105,1225
ZNF746_E7_162.11,ZNF746,1188,1275
ATAT1_e5_114.0,ATAT1,2701,3062
HOXC9_E2_147.17,HOXC9,1225,1302
ANAPC4_2430.140,ANAPC4,760,409
USP45_2445.8,USP45,1870,2057
RNF165_1041.67,RNF165,924,1114
RNF121_984.71,RNF121,965,1326
PCSK4_2268.424,PCSK4,1065,1341
HABP2_1683.158,HABP2,1453,1609
MYBL2_E5_221.19,MYBL2,1210,875
MYBL2_SANT3_E5_97.6,MYBL2,1210,875
DDB1_3423.254,DDB1,490,187
DIDO1_Phd_E4_118.8,DIDO1,627,487
MIB1_3021.166,MIB1,286,332
PRMT7_e5_73.1,PRMT7,1962,2078
ZNF710_E2_450.23,ZNF710,524,488
RAB40B_837.68,RAB40B,247,213
GTF3A_E1_78.8,GTF3A,2635,508
CASP3_834.24,CASP3,597,618
MAPK8_PKc_E7_72,MAPK8,559,579
FBXO40_3,FBXO40,606,696
TSSK2_PKc_E1_789.12,TSSK2,1594,1599
VRK3_PKc_E6_65.2,VRK3,789,860
ZRANB1_199.3,ZRANB1,1491,1364
HTRA4_1431.162,HTRA4,739,851
TET1_e10_86.0,TET1,768,1012
ZNF32_E3_561.40,ZNF32,786,844
KCNG3_BTB11111_E1_1311.18,KCNG3,788,979
MBD1_E2_98.3,MBD1,741,1171
MBD1_MBD_E2_98.3,MBD1,741,1171
UBE2C_240.27,UBE2C,1029,486
HERC1_14586.1075,HERC1,646,714
ZNF445_E8_1842.104,ZNF445,357,318
SGK494_PKc_E6_105.2,SGK494,620,569
USP33_2829.197,USP33,1208,1155
ASB17_888.33,ASB17,703,638
PSEN1_1404.109,PSEN1,1341,1519
METAP2_1437.87,METAP2,1735,1237
