Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
CASP10	6	0.16775	0.4606	0.88055	0.9807	0.64509	0.81955
CASP8	6	-0.12548	-0.22803	0.80745	0.97493	0.81962	0.90574
CTSC	6	0.25306	0.57637	0.78754	0.97493	0.56437	0.77412
FAM105A	6	-0.19112	-0.64415	0.73578	0.96229	0.51948	0.74514
USP15	6	1.1704	1.0312	0.091297	0.61969	0.30247	0.68713
USP17L11	6	-0.007937	-0.023336	0.92833	0.98939	0.98138	0.99599
USP17L13	6	0.0058076	0.014341	0.9417	0.99072	0.98856	0.99799
USP17L17	6	-0.039237	-0.1015	0.89363	0.98464	0.91915	0.96068
USP17L18	6	-0.007937	-0.023336	0.92833	0.98939	0.98138	0.99599
USP17L19	6	-0.007937	-0.023336	0.92833	0.98939	0.98138	0.99599
USP17L20	6	-0.071456	-0.2326	0.8649	0.9807	0.81607	0.9056
USP17L21	6	0.32192	0.80141	0.70734	0.95324	0.4229	0.69484
USP17L22	6	-0.65074	-1.7311	0.35523	0.83707	0.083442	0.55455
USP17L24	6	0.24575	0.61463	0.79494	0.97493	0.5388	0.7574
USP17L25	6	0.24575	0.61463	0.79494	0.97493	0.5388	0.7574
USP17L26	6	0.24575	0.61463	0.79494	0.97493	0.5388	0.7574
USP17L5	6	0.18242	0.40711	0.8649	0.9807	0.68393	0.8408
USP19	6	-0.39928	-0.98439	0.54096	0.90671	0.32492	0.68713
USP24	6	1.1534	0.97283	0.098692	0.63787	0.33064	0.68713
USP31	6	-0.22235	-0.41005	0.70449	0.95159	0.68177	0.83911
USP36	6	0.18585	1.1604	0.86206	0.97995	0.24588	0.68713
USP4	6	1.1036	1.1415	0.11832	0.67244	0.25367	0.68713
USP41	6	0.29095	0.64978	0.74374	0.96388	0.51583	0.74514
USP54	6	0.41513	1.0217	0.59642	0.92146	0.30692	0.68713
USP6	6	0.69935	1.2319	0.33874	0.83707	0.21799	0.68713
USP9Y	6	-0.5368	-1.0341	0.42776	0.87138	0.30108	0.68713
ZRANB1	6	-0.079973	-0.20373	0.85722	0.97954	0.83857	0.91452
ASPRV1	6	0.80963	1.2962	0.26166	0.8049	0.19489	0.68713
BACE1	6	0.82121	0.8852	0.2537	0.80282	0.37605	0.68713
BACE2	6	0.49286	0.91982	0.51479	0.90467	0.35766	0.68713
CTSD	6	-0.28906	-0.73552	0.6405	0.93522	0.46202	0.70998
CTSE	6	0.53257	0.86404	0.47582	0.89305	0.38756	0.68713
HM13	6	0.064854	0.1386	0.99033	0.99743	0.88977	0.94287
PGA5	6	0.7199	1.0795	0.32338	0.83668	0.28036	0.68713
PGC	6	0.71068	1.0354	0.33106	0.83668	0.30048	0.68713
PSEN1	6	0.24215	0.76049	0.7975	0.97493	0.44696	0.70404
PSEN2	6	-0.61894	-1.4197	0.37372	0.84498	0.15568	0.68713
REN	6	-0.62781	-1.4325	0.3686	0.84495	0.15199	0.68713
