sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final
PRSS41_957.126,PRSS41,2050,4860
DNPEP_1458.256,DNPEP,1085,1802
CDK20_PKc_E3_189.5,CDK20,561,1321
KLKB1_1917.7,KLKB1,1289,1778
ZNF524_E2_243.13,ZNF524,1656,3585
RPL23A_e2.1,RPL23A,5367,9084
FBXO11_2784.130,FBXO11,2638,4310
TPSG1_966.6,TPSG1,1039,2182
ZNF79_E5_834.56,ZNF79,1411,1964
CDKL5_PKc_E5_137.5,CDKL5,974,2306
ATF6_E8_162.8,ATF6,1625,1861
BARD1_2277.15,BARD1,614,1236
ZNF880_E4_1221.59,ZNF880,2327,5423
DCLK3_PKc_E2_390.28,DCLK3,1163,3369
TET3_e10_79.1,TET3,1306,2870
MEF2A_E3_51.1,MEF2A,2738,6507
ZNF189_E3_1161.3,ZNF189,1451,2986
ZNF676_E3_1410.86,ZNF676,1641,4216
UBTFL1_E1_558.21,UBTFL1,2709,5479
RNF222_663.159,RNF222,1357,1755
ASB10_1404.42,ASB10,461,928
VPS41_2565.110,VPS41,927,1188
TERF1_SANT_E10_144.8,TERF1,204,524
ZNF470_E6_1338.89,ZNF470,833,1210
CSDE1_E11_213.15,CSDE1,739,1309
KLHL38_BTB24131_E1_1746.268,KLHL38,426,800
STAT4_E10_89.6,STAT4,2079,4360
TRERF1_E7_69.3,TRERF1,912,1600
MARCH3_762.21,MARCH3,523,796
KMT2C_e59_74.2,KMT2C,1681,2863
EIF2AK4_PKc_E9_536.1,EIF2AK4,1101,1953
HOXB3_E4_177.17,HOXB3,1199,2977
MYOG_E1_177.9,MYOG,1381,2499
CDK1_e7.1,CDK1,3324,3692
ZNF625_E4_396.14,ZNF625,3201,8820
ZNF587_E3_567.30,ZNF587,5152,10979
MAK_PKc_E3_55.1,MAK,996,1678
TRIB1_PKc_E3_361.38,TRIB1,1067,1309
PRSS53_1662.27,PRSS53,1283,2082
KCTD3_BTB20112_E1_2448.8,KCTD3,853,1899
TFDP1_E6_144.6,TFDP1,1325,1822
ZNF582_E5_663.50,ZNF582,2330,4671
BMPR2_PKc_E10_137.6,BMPR2,995,2524
USP4_150.10,USP4,580,956
KLF5_E4_78.9,KLF5,949,1614
RCOR2_SANT2_E10_58.0,RCOR2,1710,2290
PARK2_1398.149,PARK2,1151,1354
PSMB10_822.132,PSMB10,1402,2867
SRC_PKc_E9_82.15,SRC,977,2185
