sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final,test1,Test2,DLD1-Ts2.18.final_recalculate
TRIM6-TRIM34_2529.17,TRIM6-TRIM34,2454,5320,2866,2866,2866
TRIM6_1551.17,TRIM6,2454,5320,2866,2866,2866
CBL_2721.248,CBL,2457,6601,4144,4144,4144
CUL4A_2280.31,CUL4A,1575,4403,2828,2828,2828
PhIP_BD1_e32_126.5,PhIP,1917,3981,2064,2064,2064
STAT5A_E12_93.9,STAT5A,2278,5460,3182,3182,3182
ZNF556_E4_492.21,ZNF556,2171,6101,3930,3930,3930
HELLS_D_e9_190.7,HELLS,1926,5201,3275,3275,3275
CAMK2B_PKc_E6_73.6,CAMK2B,1305,3174,1869,1869,1869
ZNF302_E6_495.26,ZNF302,1297,3216,1919,1919,1919
MID1_2004.236,MID1,1068,3030,1962,1962,1962
RXRG_E4_180.4,RXRG,744,1695,951,951,951
ZNF225_E5_1635.25,ZNF225,3154,8036,4882,4882,4882
DAPK1_PKc_E2_44.1,DAPK1,979,2541,1562,1562,1562
ATF6_E8_162.9,ATF6,2074,4907,2833,2833,2833
ZNF782_E6_1062.1,ZNF782,2648,6236,3588,3588,3588
C1R_2118.175,C1R,624,1567,943,943,943
ZNF74_E5_915.57,ZNF74,807,1685,878,878,878
KCND1_BTB42131_E1_1944.35,KCND1,1030,2475,1445,1445,1445
NTRK3_PKc_E15_123,NTRK3,983,2668,1685,1685,1685
TRIM36_2187.183,TRIM36,2483,5590,3107,3107,3107
DNMT3B_PWWP223309_E1_2562.342,DNMT3B,636,1593,957,957,957
AGA_1041.86,AGA,1632,3642,2010,2010,2010
SIAH1_942.79,SIAH1,2078,3831,1753,1753,1753
PhIP_BD1_e30_86.1,PhIP,2208,4274,2066,2066,2066
PHIP_5466.190,PHIP,2208,4274,2066,2066,2066
CHD1L_H_e11_74.2,CHD1L,1507,3763,2256,2256,2256
neg49,neg49,5206,12533,7327,7327,7327
RNF34_1122.64,RNF34,606,1363,757,757,757
SETMAR_e2_380.5,SETMAR,1635,3620,1985,1985,1985
DTX3L_2223.99,DTX3L,477,1134,657,657,657
ERCC6_H_e13_105.0,ERCC6,1731,4101,2370,2370,2370
IKZF5_E5_187.11,IKZF5,1231,2690,1459,1459,1459
ECT2L_2715.251,ECT2L,645,1556,911,911,911
BAZ1B_Phd_E15_113.2,BAZ1B,904,2271,1367,1367,1367
NRF1_E5_141.8,NRF1,1598,2721,1123,1123,1123
BRD3_BD2_e7_129.3,BRD3,1913,4720,2807,2807,2807
USP17L15_1680.151,USP17L15,1785,4213,2428,2428,2428
HOXB3_E4_177.12,HOXB3,1203,3015,1812,1812,1812
FGR_PKc_E10_77.7,FGR,1573,3575,2002,2002,2002
DDB1_3423.475,DDB1,560,1791,1231,1231,1231
KCNA10_BTB88179_E1_1536.29,KCNA10,432,1179,747,747,747
ANAPC5_2268.82,ANAPC5,1214,2079,865,865,865
KDM4A_ePhd_E16_53.4,KDM4A,887,2012,1125,1125,1125
PRSS53_1662.325,PRSS53,1323,3948,2625,2625,2625
PRSS53_825.103,PRSS53,1323,3948,2625,2625,2625
ZNF460_E3_999.105,ZNF460,1550,2896,1346,1346,1346
KMT2A_BD_e17_111.4,KMT2A,1544,3256,1712,1712,1712
PRMT1_e4_73.7,PRMT1,546,1394,848,848,848
TRIM40_777.108,TRIM40,349,1123,774,774,774
KDM7A_e6_187.7,KDM7A,1420,3431,2011,2011,2011
AKTIP_8,AKTIP,2176,5147,2971,2971,2971
USP18_1119.135,USP18,2062,4245,2183,2183,2183
ZNF251_E5_1287.112,ZNF251,3125,7916,4791,4791,4791
MAP2K7_PKc_E5_114.12,MAP2K7,965,2956,1991,1991,1991
ZNF276_E2_231.25,ZNF276,1133,2608,1475,1475,1475
HSF4_E4_109.8,HSF4,857,2402,1545,1545,1545
CUL4B_2742.48,CUL4B,1332,3562,2230,2230,2230
GATAD2B_E8_203.16,GATAD2B,1570,3789,2219,2219,2219
KDM5D_e15_118.1,KDM5D,2362,6519,4157,4157,4157
KLK8_134.1,KLK8,1761,4701,2940,2940,2940
KDM5A_e12_163.5,KDM5A,3084,8830,5746,5746,5746
ANAPC5_2268.41,ANAPC5,2016,4981,2965,2965,2965
KDM5A_Phd3_E28_204.0,KDM5A,518,1253,735,735,735
ZNF155_E5_750.59,ZNF155,1185,3193,2008,2008,2008
IVNS1ABP_BTB22126_E1_1929.1,IVNS1ABP,731,2056,1325,1325,1325
