Gene	sgRNA	Ctrl_3|beta	Ctrl_3|z	Ctrl_3|p-value	Ctrl_3|fdr	Ctrl_3|wald-p-value	Ctrl_3|wald-fdr
USP48	6	-0.12898	-1.6972	0.76536	0.90423	0.089658	0.22853
USP49	6	0.16289	1.7406	0.040956	0.21851	0.081751	0.21875
USP5	6	-1.8217	-4.351	0	0	1.3553e-05	0.00038568
USP50	6	-0.021476	-0.2056	0.75654	0.90316	0.8371	0.89843
USP51	6	0.1837	2.0107	0.022184	0.14471	0.044361	0.188
USP53	12	0.22411	2.9673	0	0	0.0030041	0.03605
USP7	6	-0.73112	-3.0461	0.020478	0.13767	0.0023179	0.029107
USP8	6	-1.6745	-4.3502	0	0	1.3602e-05	0.00038568
USP9X	6	-0.87135	-3.0593	0.010808	0.08776	0.0022183	0.028056
USPL1	6	-1.2762	-3.3977	0.00028441	0.0045045	0.00067959	0.010667
YOD1	6	0.13536	1.7422	0.077645	0.30952	0.081471	0.21833
CASP10	6	-0.012005	-0.32149	0.69994	0.87611	0.74784	0.83739
CASP8	6	-0.0049058	-0.077545	0.66183	0.85677	0.93819	0.9655
CTSC	6	0.094448	1.773	0.18231	0.47167	0.076233	0.21451
FAM105A	6	0.17974	1.9414	0.023606	0.14982	0.052212	0.19243
USP15	6	0.50152	1.804	0	0	0.071235	0.20919
USP17L11	6	-0.74132	-2.6422	0.01934	0.13255	0.0082371	0.069453
USP17L13	6	-0.18519	-1.1411	0.59272	0.82483	0.25384	0.41862
USP17L17	6	-0.41073	-2.0492	0.15927	0.43897	0.040447	0.18555
USP17L18	6	-0.74132	-2.6422	0.01934	0.13255	0.0082371	0.069453
USP17L19	6	-0.74132	-2.6422	0.01934	0.13255	0.0082371	0.069453
USP17L20	6	-0.95743	-3.3562	0.0071104	0.066667	0.00079014	0.012026
USP17L21	6	-0.65151	-2.6934	0.037258	0.20533	0.0070728	0.06264
USP17L22	6	-1.0032	-3.3842	0.0036974	0.040248	0.0007139	0.011009
USP17L24	6	-0.89258	-3.234	0.0099545	0.083933	0.0012206	0.017375
USP17L25	6	-0.89258	-3.234	0.0099545	0.083933	0.0012206	0.017375
USP17L26	6	-0.89258	-3.234	0.0099545	0.083933	0.0012206	0.017375
USP17L5	6	-0.9975	-3.2877	0.0036974	0.040248	0.0010102	0.014862
USP19	6	-0.0020481	-0.046313	0.64818	0.853	0.96306	0.98051
USP24	6	-0.015336	-0.25726	0.71843	0.88756	0.79697	0.87016
USP31	6	-0.039696	-0.19563	0.8413	0.93887	0.8449	0.90486
USP36	6	-1.7534	-4.201	0	0	2.6569e-05	0.00068689
USP4	6	0.11098	1.8419	0.13282	0.39983	0.065494	0.20427
USP41	6	-0.13384	-0.93966	0.75057	0.90316	0.34739	0.51602
USP54	6	0.078092	1.131	0.23862	0.53202	0.25806	0.4234
USP6	6	-0.14469	-1.5271	0.71473	0.88393	0.12674	0.27373
USP9Y	6	0.13316	1.5211	0.082765	0.32155	0.12823	0.27541
ZRANB1	6	-0.0064159	-0.085465	0.67179	0.86152	0.93189	0.96284
ASPRV1	6	-0.044976	-0.39544	0.86661	0.94952	0.69252	0.79416
BACE1	6	0.028808	0.50535	0.47753	0.75134	0.61331	0.73247
BACE2	6	0.059972	1.0084	0.31399	0.61028	0.31325	0.48183
CTSD	6	-0.087719	-0.98557	0.92804	0.98224	0.32434	0.49197
CTSE	6	0.094144	1.4258	0.18316	0.47249	0.15393	0.30661
HM13	6	-0.34037	-2.4737	0.24744	0.54099	0.013372	0.096343
PGA5	6	-0.14802	-1.4638	0.70648	0.87969	0.14324	0.29313
PGC	6	-0.13736	-2.25	0.73919	0.89624	0.024447	0.14257
PSEN1	6	-0.016178	-0.36221	0.72668	0.89336	0.7172	0.81213
PSEN2	6	0.13887	1.9109	0.072241	0.29918	0.056014	0.19523
REN	6	-0.0053475	-0.15069	0.66638	0.86108	0.88022	0.93106
SPPL2A	12	0.025297	0.65964	0.28669	0.58765	0.50948	0.66421
SPPL2B	12	-0.073068	-1.2955	0.88026	0.95613	0.19514	0.3544
SPPL2C	6	-0.1534	-2.0979	0.68544	0.86878	0.035917	0.17719
SPPL3	6	0.060243	0.71933	0.31371	0.61007	0.47193	0.63454
ACE	12	0.14891	2.5581	0.0062571	0.060942	0.010524	0.081501
ACE2	6	0.22328	1.9482	0.0065415	0.063014	0.051392	0.19141
ACY1	6	0.068163	1.0205	0.28584	0.58703	0.30749	0.47607
ACY3	6	-0.12358	-1.7764	0.7901	0.91327	0.075663	0.21415
ADAM10	6	0.10529	1.1769	0.14619	0.41687	0.23923	0.40222
ADAM11	6	-0.18898	-1.8066	0.57992	0.81796	0.070818	0.20919
ADAM12	6	0.088902	1.4166	0.20108	0.49372	0.15659	0.31001
ADAM15	6	-0.11854	-1.3314	0.80717	0.92323	0.18304	0.33962
ADAM17	6	0.02051	0.71629	0.5256	0.78381	0.47381	0.63573
ADAM19	6	0.076547	1.2105	0.24659	0.54099	0.22607	0.38774
ADAM2	6	-0.037152	-1.2038	0.83077	0.93562	0.22868	0.39088
ADAM20	6	0.074256	1.4455	0.25853	0.55427	0.14831	0.29999
ADAM21	6	0.0068177	0.080593	0.59727	0.82645	0.93577	0.96401
ADAM22	6	0.078865	1.6463	0.23549	0.52772	0.099696	0.2396
ADAM23	6	0.12701	1.6704	0.09471	0.34436	0.09484	0.23451
ADAM28	6	0.095092	1.4074	0.18032	0.46998	0.15932	0.31312
ADAM29	6	0.10478	1.5722	0.1479	0.41902	0.11589	0.26188
ADAM30	6	0.061632	1.1377	0.30973	0.6077	0.25524	0.42034
ADAM32	6	0.073983	1.6829	0.25939	0.55542	0.09239	0.23273
ADAM33	6	-0.045689	-1.1272	0.86974	0.95118	0.25967	0.42524
ADAM7	6	0.1317	1.5567	0.085893	0.32935	0.11953	0.26549
ADAM8	6	0.065162	1.4063	0.29636	0.59645	0.15964	0.31339
ADAM9	6	0.11573	1.3569	0.11945	0.38147	0.1748	0.32972
ADAMDEC1	6	0.1197	1.8963	0.11206	0.37631	0.057922	0.19771
ADAMTS1	6	0.092258	1.2632	0.18857	0.47939	0.20652	0.36452
ADAMTS10	6	-0.14444	-1.9627	0.71587	0.88471	0.04968	0.19028
ADAMTS12	6	0.11564	1.8973	0.11945	0.38147	0.057782	0.19759
ADAMTS13	6	0.025512	0.56229	0.49261	0.76161	0.57392	0.69896
ADAMTS14	6	-0.023512	-0.58575	0.7682	0.90486	0.55804	0.68665
