sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final
ZNF587_E3_567.30,ZNF587,5860,14664
MAK_PKc_E3_55.1,MAK,1311,2763
TRIB1_PKc_E3_361.38,TRIB1,1023,2357
PRSS53_1662.27,PRSS53,1276,3056
KCTD3_BTB20112_E1_2448.8,KCTD3,1015,2625
TFDP1_E6_144.6,TFDP1,1378,2605
ZNF582_E5_663.50,ZNF582,2741,6694
BMPR2_PKc_E10_137.6,BMPR2,1186,3464
USP4_150.10,USP4,580,1569
KLF5_E4_78.9,KLF5,1165,2691
RCOR2_SANT2_E10_58.0,RCOR2,1801,3828
PARK2_1398.149,PARK2,1051,2510
PSMB10_822.132,PSMB10,1418,3653
SRC_PKc_E9_82.15,SRC,1229,2922
PRKRIR_E1_80.0,PRKRIR,1570,2824
TLL1_3042.279,TLL1,2441,5836
EZH2_e16_96.8,EZH2,890,2052
ADAMTS18_3666.74,ADAMTS18,1614,3581
USP1_2358.7,USP1,1666,3204
TRPS1_E6_102.4,TRPS1,3332,8635
FBXO22_1212.72,FBXO22,1795,3906
ZNF585B_E5_1839.141,ZNF585B,3463,8251
FMR1_Agenet59117_E1_1899.173,FMR1,1802,5049
ABHD12B_858.58,ABHD12B,2336,6093
SHPRH_H_e27_179.9,SHPRH,1879,4859
ASH1L_BD_e18_55.0,ASH1L,2128,4977
ZNF554_E5_498.59,ZNF554,2169,5532
TDRD3_tudor652700_E1_2235.103,TDRD3,1705,4313
WDSUB1_1431.53,WDSUB1,1395,3347
ZNF526_E3_963.98,ZNF526,1761,4074
TESK1_PKc_E5_83,TESK1,1112,2597
ZNF417_E3_567.28,ZNF417,2168,5126
SUV39H2_e4_147.1,SUV39H2,3862,9796
BRWD1_BD1_e32_126.1,BRWD1,825,2013
CLOCK_E7_149.4,CLOCK,1501,3551
ASB15_1767.136,ASB15,1917,5191
NAALADL2_2388.136,NAALADL2,832,2258
TFEB_E8_76.6,TFEB,1726,4553
PROX1_E4_195.9,PROX1,1141,2728
MBTPS2_1560.129,MBTPS2,2215,3315
ZNF234_E6_1245.128,ZNF234,4287,9983
ZNF773_E4_663.19,ZNF773,1094,2409
UBE2C_240.27,UBE2C,1256,2580
FBXO38_2,FBXO38,1412,3295
NIM1K_PKc_E4_414.1,NIM1K,1228,2570
KLK9_753.142,KLK9,3238,8170
BTBD9_BTB33137_E1_1839.2,BTBD9,1411,3274
MIB2_3213.414,MIB2,1542,4802
ATOH1_E1_177.0,ATOH1,1118,2948
KLHL20_BTB59165_E1_1830.206,KLHL20,1523,3781
ADAMTS4_2514.456,ADAMTS4,817,2218
CIC_E6_171.6,CIC,1251,3237
UTY_e25_115.4,UTY,4080,11520
HDAC8_e3_131.7,HDAC8,2071,5314
SUB1_E5_47.1,SUB1,910,2120
SMN1_Tudor_E5_201.4,SMN1,1345,2380
FBXW9_15,FBXW9,1084,2740
ZNF582_E5_663.39,ZNF582,1715,4068
ANAPC10_2,ANAPC10,1370,3039
RNF112_1896.385,RNF112,1212,3136
ASB10_1404.247,ASB10,935,2775
UBE2J2_828.128,UBE2J2,650,1538
CUL9_7554.837,CUL9,527,1028
ZNF304_E4_1068.94,ZNF304,1329,3586
PHF7_1146.110,PHF7,953,2082
TRIM13_1224.106,TRIM13,993,2114
SPPL2B_1779.345,SPPL2B,1014,2421
ZNF740_E6_119.3,ZNF740,5483,13671
BTBD1_BTB62175_E1_1449.42,BTBD1,1185,3489
PRKCZ_PKc_E10_98.3,PRKCZ,1382,3059
ZBTB43_E3_216.3,ZBTB43,1756,4208
FBXL18_2157.376,FBXL18,1193,2678
STAT6_E12_93.8,STAT6,2964,8255
DCAF17_1362.103,DCAF17,1729,4776
KCTD8_BTB46143_E1_1422.35,KCTD8,708,1377
XIAP_3,XIAP,838,2252
JUNB_E1_162.21,JUNB,710,2451
TRIM6-TRIM34_2529.17,TRIM6-TRIM34,2454,5320
TRIM6_1551.17,TRIM6,2454,5320
CBL_2721.248,CBL,2457,6601
CUL4A_2280.31,CUL4A,1575,4403
PhIP_BD1_e32_126.5,PhIP,1917,3981
STAT5A_E12_93.9,STAT5A,2278,5460
ZNF556_E4_492.21,ZNF556,2171,6101
HELLS_D_e9_190.7,HELLS,1926,5201
CAMK2B_PKc_E6_73.6,CAMK2B,1305,3174
ZNF302_E6_495.26,ZNF302,1297,3216
MID1_2004.236,MID1,1068,3030
RXRG_E4_180.4,RXRG,744,1695
ZNF225_E5_1635.25,ZNF225,3154,8036
DAPK1_PKc_E2_44.1,DAPK1,979,2541
ATF6_E8_162.9,ATF6,2074,4907
ZNF782_E6_1062.1,ZNF782,2648,6236
C1R_2118.175,C1R,624,1567
ZNF74_E5_915.57,ZNF74,807,1685
KCND1_BTB42131_E1_1944.35,KCND1,1030,2475
NTRK3_PKc_E15_123,NTRK3,983,2668
TRIM36_2187.183,TRIM36,2483,5590
DNMT3B_PWWP223309_E1_2562.342,DNMT3B,636,1593
AGA_1041.86,AGA,1632,3642
SIAH1_942.79,SIAH1,2078,3831
PhIP_BD1_e30_86.1,PhIP,2208,4274
PHIP_5466.190,PHIP,2208,4274
CHD1L_H_e11_74.2,CHD1L,1507,3763
neg49,neg49,5206,12533
RNF34_1122.64,RNF34,606,1363
