Gene	sgRNA	Ts10|beta	Ts10|z	Ts10|p-value	Ts10|fdr	Ts10|wald-p-value	Ts10|wald-fdr
MMP13	6	0.081129	0.1912	0.82167	0.98327	0.84837	0.94097
MMP14	6	-0.49807	-1.1491	0.35836	0.85366	0.2505	0.66759
MMP15	6	-1.5396	-3.1117	0.0076792	0.18	0.00186	0.049921
MMP16	6	0.10131	0.38151	0.79551	0.97602	0.70283	0.86766
MMP17	6	0.11198	0.36994	0.77873	0.97432	0.71143	0.87095
MMP19	6	-0.42939	-1.7868	0.43003	0.87703	0.073977	0.51505
MMP2	6	0.42723	1.2544	0.34926	0.8527	0.20968	0.66759
MMP20	6	0.010393	0.029411	0.93885	0.98867	0.97654	0.99321
MMP21	6	-0.21648	-0.64991	0.719	0.96113	0.51575	0.77646
MMP24	6	0.10442	0.29623	0.79209	0.97602	0.76705	0.89821
MMP25	6	-0.26261	-0.75486	0.65188	0.94386	0.45033	0.73714
MMP26	6	-0.3696	-1.0486	0.49801	0.89877	0.29438	0.6695
MMP27	6	0.15403	0.79138	0.71018	0.95854	0.42872	0.72233
MMP3	6	0.80863	1.1984	0.079352	0.54651	0.23077	0.66759
MMP7	6	0.5982	1.1041	0.18487	0.7163	0.26956	0.66759
MMP8	6	0.28988	1.1061	0.51934	0.906	0.26867	0.66759
MMP9	6	0.22925	0.54403	0.60865	0.93089	0.58642	0.81299
MPND	6	-0.30374	-0.82658	0.59215	0.93089	0.40847	0.70853
NAALAD2	12	0.19489	1.1223	0.52275	0.906	0.26174	0.66759
NAALADL1	12	-0.011102	-0.050187	0.96758	0.99387	0.95997	0.98976
NAALADL2	12	0.41826	1.2205	0.19511	0.72727	0.22227	0.66759
NLN	6	0.097384	0.31721	0.79977	0.97674	0.75108	0.89186
NPEPL1	6	0.61217	1.0523	0.17719	0.70661	0.29266	0.6695
NPEPPS	6	0.20415	0.86555	0.64249	0.94254	0.38674	0.69593
NRD1	6	0.45154	0.95113	0.32224	0.83826	0.34154	0.6849
OMA1	6	0.43363	1.2969	0.34016	0.84643	0.19465	0.66759
PA2G4	6	-1.0173	-2.1641	0.064562	0.5	0.030458	0.31484
PAPPA	6	0.69767	1.2152	0.12429	0.64099	0.2243	0.66759
PAPPA2	6	0.13207	0.29931	0.74744	0.96195	0.7647	0.89803
PEPD	6	-0.11672	-0.34166	0.86775	0.98867	0.73261	0.88169
PHEX	6	0.26852	0.86551	0.54949	0.9114	0.38676	0.69593
PITRM1	6	0.058171	0.22231	0.86263	0.98867	0.82407	0.92629
PMPCB	6	-1.8381	-3.6144	0.0017065	0.068182	0.00030101	0.012338
PRPF8	6	-2.8162	-5.5877	0.00085324	0.042857	2.3004e-08	5.3921e-06
PSMD14	6	-1.0101	-1.8127	0.067122	0.5032	0.069871	0.49972
QPCT	6	-0.68829	-1.6746	0.21104	0.74251	0.094006	0.57692
RCE1	6	-0.69403	-1.5381	0.20705	0.73759	0.12403	0.6538
RNPEP	6	-0.38361	-1.5773	0.48237	0.89357	0.11473	0.64419
RNPEPL1	6	0.028424	0.062318	0.90501	0.98867	0.95031	0.98563
SPG7	6	-1.1114	-2.1323	0.045222	0.42513	0.032982	0.33323
STAMBP	6	0.043166	0.16691	0.88538	0.98867	0.86744	0.94924
SUPT16H	6	-1.5192	-3.8649	0.0079636	0.18421	0.00011113	0.0056012
TFR2	6	-0.38156	-1.0565	0.48521	0.89413	0.29075	0.6695
TFRC	6	-1.0405	-2.6502	0.058589	0.48478	0.0080451	0.13035
THOP1	6	0.019298	0.067729	0.92435	0.98867	0.946	0.98375
TLL1	6	0.15585	0.50072	0.70705	0.95689	0.61657	0.82079
TLL2	6	-0.14269	-0.54059	0.82878	0.98327	0.58879	0.81299
UQCRC1	6	-0.84853	-1.8332	0.12486	0.64099	0.066778	0.48882
UQCRC2	6	-1.2676	-2.692	0.023322	0.31111	0.0071021	0.12548
YME1L1	6	-0.97817	-2.2541	0.07992	0.54651	0.024187	0.26827
ADAM18	6	0.12229	0.34976	0.76394	0.96898	0.72652	0.88145
DPYS	6	-0.34268	-0.90954	0.53498	0.90791	0.36307	0.68684
DPYSL2	6	0.25275	0.66387	0.57281	0.92346	0.50677	0.77201
MMP23B	6	-0.015262	-0.044049	0.9781	0.99655	0.96487	0.99021
MMP28	6	0.24087	0.57833	0.58959	0.93089	0.56304	0.80418
XPNPEP1	6	0.15705	0.451	0.70592	0.95682	0.65199	0.84559
XPNPEP2	6	0.64976	1.0695	0.15102	0.67513	0.28486	0.6695
ZMPSTE24	6	0.33581	0.97019	0.46104	0.88871	0.33195	0.6849
AMFR	12	-0.49516	-1.8786	0.21018	0.74197	0.060299	0.46392
ANAPC11	22	-2.2976	-8.3135	0	0	9.2898e-17	1.0576e-13
ANKIB1	9	0.10392	0.40447	0.74772	0.96195	0.68587	0.85941
ARIH1	11	-1.0913	-3.4255	0.0071104	0.17007	0.00061361	0.022242
ARIH2	14	0.13061	0.49781	0.63197	0.9384	0.61861	0.82187
BARD1	11	-0.86485	-2.6728	0.028441	0.34483	0.0075214	0.1263
BFAR	10	-0.11546	-0.49392	0.80717	0.97832	0.62136	0.82361
BIRC2	10	0.24672	0.87256	0.47241	0.88966	0.3829	0.69504
BIRC3	8	0.52684	1.2924	0.18231	0.71222	0.19622	0.66759
BIRC7	9	0.20683	0.59578	0.56712	0.92187	0.55132	0.79837
BIRC8	9	0.36867	1.3255	0.3376	0.8461	0.18501	0.66759
BMI1	7	0.085642	0.2898	0.81712	0.98289	0.77197	0.90025
BRAP	10	-0.93491	-2.4387	0.03157	0.36513	0.01474	0.19557
CBL	15	-0.44673	-1.646	0.20762	0.73838	0.099773	0.59257
CBLB	13	0.88582	1.4941	0.0039818	0.13084	0.13515	0.66759
CBLC	17	0.58944	1.4915	0.027873	0.34266	0.13582	0.66759
CGRRF1	6	0.28529	0.92597	0.52673	0.90791	0.35446	0.6849
CHFR	9	-0.36961	-1.045	0.42463	0.87573	0.29601	0.6695
CNBP	4	-0.14399	-1.3381	0.8521	0.98845	0.18085	0.66759
CNOT4	10	-0.20794	-0.93009	0.63737	0.9412	0.35232	0.6849
COMMD3	6	-0.45805	-1.2296	0.40188	0.87052	0.21886	0.66759
CUL7	12	-0.31686	-1.2807	0.42065	0.87448	0.20028	0.66759
CUL9	19	-0.074339	-0.38738	0.85609	0.98867	0.69847	0.86595
CYHR1	11	0.50344	1.5005	0.13709	0.65847	0.13348	0.66759
DCST1	13	0.066475	0.22363	0.78697	0.97432	0.82304	0.92629
DTX1	14	-0.25559	-1.1366	0.48521	0.89413	0.25571	0.66759
DTX2	7	-0.06148	-0.16801	0.93686	0.98867	0.86657	0.94924
DTX3	12	-0.25717	-1.2289	0.51507	0.906	0.2191	0.66759
DTX3L	12	-0.058715	-0.2117	0.91724	0.98867	0.83234	0.93112
DTX4	14	0.17524	0.49902	0.52531	0.90762	0.61776	0.82119
DZIP3	6	-0.0061521	-0.017788	0.96331	0.99384	0.98581	0.99616
FANCL	10	-0.093665	-0.33313	0.84443	0.98802	0.73904	0.88377
