DepMap_ID,Aneuploidy score,Ploidy,Genome doublings
ACH-000689,24,3.69,2
ACH-000690,27,3.31,1
ACH-000691,30,2.76,1
ACH-000692,25,4.39,2
ACH-000693,27,2.69,1
ACH-000694,24,3.19,1
ACH-000695,9,1.95,0
ACH-000696,28,2.56,1
ACH-000697,3,2.1,0
ACH-000698,24,2.85,1
ACH-000699,14,1.48,0
ACH-000701,15,1.76,0
ACH-000702,20,2.89,1
ACH-000703,21,3.56,1
ACH-000704,24,3.78,1
ACH-000705,33,7.51,2
ACH-000707,0,2.05,0
ACH-000708,11,1.85,0
ACH-000709,5,1.89,0
ACH-000710,21,2.79,1
ACH-000711,24,2.62,1
ACH-000713,18,1.71,0
ACH-000714,23,3.29,1
ACH-000715,8,2.04,0
ACH-000716,16,3.31,1
ACH-000717,22,2.89,1
ACH-000718,23,2.99,1
ACH-000719,6,2.18,0
ACH-000720,18,3.15,1
ACH-000721,26,3.62,2
ACH-000722,18,3.31,1
ACH-000723,21,3.3,1
ACH-000724,23,2.88,1
ACH-000725,28,2.94,1
ACH-000726,18,1.8,0
ACH-000727,14,2.27,1
ACH-000728,4,2.01,0
ACH-000729,10,2.05,0
ACH-000730,25,2.81,1
ACH-000731,25,2.68,1
ACH-000732,9,2.01,0
ACH-000733,25,2.96,2
ACH-000734,14,2.2,0
ACH-000735,9,2.05,0
ACH-000736,12,2.24,0
ACH-000737,32,2.69,1
ACH-000738,18,3.02,1
ACH-000739,8,2.26,0
ACH-000740,23,2.95,1
ACH-000742,0,2,0
ACH-000743,16,2.92,1
ACH-000744,23,2.82,1
ACH-000745,2,2.03,0
ACH-000746,23,2.76,1
ACH-000747,16,2.44,1
ACH-000748,4,2.05,0
ACH-000749,18,2.73,1
ACH-000750,17,3.29,1
ACH-000751,16,3.32,1
ACH-000752,15,2.42,1
ACH-000753,16,3.36,2
ACH-000754,8,2.2,0
ACH-000755,14,2.12,0
ACH-000756,11,2.29,1
ACH-000758,14,2.3,1
ACH-000759,12,2.04,0
ACH-000760,16,3.48,1
ACH-000761,32,5.5,2
ACH-000762,14,2.91,1
ACH-000763,5,1.97,0
ACH-000764,28,4.75,2
ACH-000765,25,2.59,1
ACH-000766,16,2.5,1
ACH-000767,23,3.08,1
ACH-000768,17,2.8,1
ACH-000769,3,1.2,0
ACH-000770,6,2.1,0
ACH-000771,7,2.03,0
ACH-000772,2,2.06,0
ACH-000773,10,1.9,0
ACH-000774,29,2.82,1
ACH-000775,23,2.69,1
ACH-000776,26,3.66,2
ACH-000777,15,3.26,2
ACH-000778,19,2.74,1
ACH-000780,15,1.71,0
ACH-000781,21,2.66,1
ACH-000782,2,1.95,0
ACH-000783,11,1.96,0
ACH-000784,23,2.69,1
ACH-000785,18,3.45,2
ACH-000786,1,2,0
ACH-000787,17,3.11,1
ACH-000788,8,2.21,0
ACH-000789,28,2.62,1
ACH-000790,14,2.09,1
ACH-000791,19,3.48,1
ACH-000792,8,2,0
ACH-000793,24,3.68,2
ACH-000794,8,2.03,0
ACH-000795,2,2.01,0
ACH-000796,6,1.94,0
ACH-000797,0,2,0
ACH-000798,3,2.08,0
ACH-000799,27,2.6,1
ACH-000800,20,3.16,1
ACH-000802,20,2.76,1
ACH-000803,22,3.17,1
ACH-000804,6,1.97,0
ACH-000805,9,2.14,0
ACH-000806,17,2.95,1
ACH-000807,24,4.42,2
ACH-000808,14,2.42,1
ACH-000809,11,2.26,1
ACH-000810,18,3.84,1
ACH-000811,5,1.9,0
ACH-000812,19,2.8,1
ACH-000813,7,1.9,0
ACH-000815,18,2.96,1
ACH-000816,13,2.22,1
ACH-000817,27,2.98,1
ACH-000818,19,1.91,0
ACH-000819,23,2.6,1
ACH-000820,21,3.04,1
ACH-000821,24,3.09,1
ACH-000822,8,1.94,0
ACH-000823,21,3,1
ACH-000824,24,3.75,2
ACH-000826,27,2.54,1
ACH-000827,7,2.34,0
ACH-000828,13,1.98,0
ACH-000829,1,1.99,0
ACH-000830,5,2.06,0
ACH-000831,10,2.32,1
ACH-000832,8,1.98,0
ACH-000833,30,4.6,2
ACH-000834,20,2.84,1
ACH-000835,16,2.87,1
ACH-000836,18,3.03,1
ACH-000837,14,2.38,1
ACH-000838,4,1.91,0
ACH-000839,19,3.24,1
ACH-000840,16,2.48,1
ACH-000841,24,2.84,1
ACH-000842,24,2.56,1
ACH-000843,23,2.95,1
ACH-000844,24,2.98,1
ACH-000845,25,2.87,1
ACH-000846,20,1.72,0
ACH-000847,15,3.08,2
ACH-000848,18,3.1,1
ACH-000849,22,1.58,0
ACH-000850,0,2,0
ACH-000851,6,1.16,0
ACH-000852,18,1.87,0
ACH-000853,12,1.35,0
ACH-000855,14,3.14,1
ACH-000856,0,2,0
ACH-000857,27,2.65,1
ACH-000858,24,2.62,1
ACH-000859,30,4.53,2
ACH-000860,24,3.46,1
ACH-000862,14,1.8,0
ACH-000863,27,3.79,2
ACH-000864,10,2.31,0
ACH-000865,19,2.39,1
ACH-000866,3,2.03,0
ACH-000867,16,2.24,1
ACH-000868,19,2.21,1
ACH-000869,29,2.59,1
ACH-000870,22,3.08,1
ACH-000871,21,2.77,1
ACH-000873,12,1.46,0
ACH-000874,4,2.03,0
ACH-000875,10,2.06,0
ACH-000876,15,1.63,0
ACH-000877,0,2.01,0
ACH-000878,14,1.73,0
ACH-000879,0,2,0
ACH-000880,6,2.1,0
ACH-000881,11,2.23,0
ACH-000882,18,3.23,1
ACH-000883,7,1.89,0
ACH-000884,21,2.6,1
ACH-000885,2,2.05,0
ACH-000886,9,2.36,1
ACH-000888,19,3.4,1
ACH-000889,15,3.08,1
ACH-000890,21,2.93,1
ACH-000892,24,3.87,1
ACH-000893,24,2.92,2
ACH-000894,31,3.99,2
ACH-000895,1,1.98,0
ACH-000896,28,2.51,1
ACH-000897,15,2.45,1
ACH-000898,10,2.3,0
ACH-000899,16,2.32,0
ACH-000900,27,2.56,1
ACH-000901,19,3.36,1
ACH-000902,9,2.09,0
ACH-000903,8,1.21,0
ACH-000904,24,3.54,1
ACH-000905,21,3.06,1
ACH-000906,13,3.23,1
ACH-000907,15,3.31,1
ACH-000908,7,2.29,0
ACH-000909,4,2.18,0
ACH-000910,13,2.19,0
ACH-000911,13,2.45,1
ACH-000912,9,1.86,0
ACH-000913,1,2.03,0
ACH-000914,2,1.97,0
ACH-000915,25,3.56,1
ACH-000916,15,1.71,0
ACH-000917,31,2.63,1
ACH-000918,2,2.02,0
ACH-000919,5,2.09,0
ACH-000920,1,1.99,0
ACH-000921,12,2.14,0
ACH-000922,2,2.09,0
ACH-000923,4,2.08,0
ACH-000924,33,4.64,2
ACH-000925,2,2.06,0
ACH-000926,11,1.78,0
ACH-000927,27,2.68,1
ACH-000928,0,2,0
ACH-000929,27,2.67,1
ACH-000930,20,3.31,1
ACH-000931,27,3.58,1
ACH-000932,2,2.01,0
ACH-000933,8,2.06,0
ACH-000934,23,2.75,1
ACH-000935,14,2.12,0
ACH-000936,3,2.02,0
ACH-000937,1,2.01,0
ACH-000938,0,2,0
ACH-000939,1,1.97,0
ACH-000940,7,2.21,0
ACH-000941,6,1.95,0
ACH-000942,2,1.94,0
ACH-000943,5,2.15,0
ACH-000944,7,2.05,0
ACH-000945,25,4.62,2
ACH-000946,0,2,0
ACH-000947,3,2.09,0
ACH-000948,4,2.09,0
ACH-000949,5,2.05,0
ACH-000950,7,2.2,0
ACH-000951,27,4.55,2
ACH-000952,3,2.05,0
ACH-000953,1,1.98,0
ACH-000954,5,2.14,0
ACH-000955,2,2.08,0
ACH-000956,6,2.13,0
ACH-000957,0,2,0
ACH-000958,4,2.09,0
ACH-000959,0,1.99,0
ACH-000960,0,1.99,0
ACH-000961,2,2.06,0
ACH-000962,10,2.95,1
ACH-000963,4,1.98,0
ACH-000965,3,2.05,0
ACH-000966,0,2,0
ACH-000967,4,1.98,0
ACH-000968,22,3.68,1
ACH-000969,7,2,0
ACH-000970,4,2.05,0
ACH-000971,0,2.06,0
ACH-000972,0,2,0
ACH-000973,13,2.3,0
ACH-000974,0,2,0
ACH-000976,21,3.28,1
ACH-000977,1,1.97,0
ACH-000978,1,2.02,0
ACH-000979,24,2.68,1
ACH-000980,4,2.08,1
ACH-000981,0,1.99,0
ACH-000982,0,2,0
ACH-000983,10,2.24,0
ACH-000984,4,1.96,0
ACH-000985,17,3.41,1
ACH-000986,7,2.1,0
ACH-000987,3,2.02,0
ACH-000988,0,2,0
ACH-000989,2,2.05,0
ACH-000990,13,1.67,0
ACH-000991,1,2,0
ACH-000992,24,2.93,1
ACH-000993,1,2,0
ACH-000994,5,2.02,0
ACH-000996,1,2.06,0
ACH-000997,0,2,0
ACH-000998,1,2,0
ACH-000999,2,2.02,0
ACH-001000,16,3.45,2
ACH-001001,20,3.61,2
ACH-001015,0,1.99,0
ACH-001016,19,2.8,1
