,Aneuploidy score,Ploidy,Genome doublings
ACH-000551,15.0,3.05,1.0
ACH-000552,18.0,3.12,1.0
ACH-000553,20.0,3.04,1.0
ACH-000554,29.0,3.21,1.0
ACH-000555,24.0,3.28,1.0
ACH-000557,8.0,2.23,0.0
ACH-000558,4.0,1.97,0.0
ACH-000559,18.0,3.07,1.0
ACH-000560,21.0,3.78,2.0
ACH-000561,28.0,3.89,2.0
ACH-000562,7.0,2.15,0.0
ACH-000563,25.0,3.03,1.0
ACH-000564,15.0,2.46,1.0
ACH-000565,18.0,3.33,1.0
ACH-000566,6.0,1.9,0.0
ACH-000567,2.0,2.11,0.0
ACH-000568,23.0,2.78,1.0
ACH-000569,19.0,3.31,1.0
ACH-000570,20.0,3.19,1.0
ACH-000571,14.0,2.84,1.0
ACH-000572,28.0,3.24,1.0
ACH-000573,20.0,1.67,0.0
ACH-000574,22.0,2.97,1.0
ACH-000575,18.0,3.78,1.0
ACH-000576,7.0,2.06,0.0
ACH-000577,22.0,2.82,1.0
ACH-000578,25.0,2.55,1.0
ACH-000579,30.0,8.3,2.0
ACH-000580,5.0,2.11,0.0
ACH-000581,22.0,3.62,1.0
ACH-000582,17.0,1.77,0.0
ACH-000583,3.0,2.08,0.0
ACH-000584,20.0,1.67,0.0
ACH-000585,26.0,3.19,1.0
ACH-000586,28.0,2.59,1.0
ACH-000587,23.0,2.9,1.0
ACH-000588,26.0,3.51,1.0
ACH-000589,21.0,2.89,1.0
ACH-000590,32.0,2.57,1.0
ACH-000591,21.0,4.03,2.0
ACH-000592,20.0,2.93,1.0
ACH-000593,22.0,3.17,1.0
ACH-000594,13.0,1.9,0.0
ACH-000595,26.0,3.81,2.0
ACH-000596,22.0,2.9,1.0
ACH-000598,14.0,1.93,0.0
ACH-000599,26.0,4.19,2.0
ACH-000600,20.0,1.83,0.0
ACH-000601,17.0,2.84,2.0
ACH-000602,0.0,2.02,0.0
ACH-000603,31.0,3.78,2.0
ACH-000604,13.0,1.99,0.0
ACH-000605,27.0,2.7,1.0
ACH-000606,16.0,2.06,0.0
ACH-000607,2.0,2.03,0.0
ACH-000608,24.0,2.62,1.0
ACH-000609,6.0,2.0,0.0
ACH-000610,23.0,2.52,1.0
ACH-000611,6.0,2.11,0.0
ACH-000612,0.0,2.0,0.0
ACH-000613,9.0,2.26,1.0
ACH-000614,14.0,3.2,1.0
ACH-000615,25.0,4.02,2.0
ACH-000616,29.0,6.44,2.0
ACH-000617,27.0,2.99,1.0
ACH-000619,24.0,3.39,1.0
ACH-000620,26.0,4.15,2.0
ACH-000621,17.0,2.44,1.0
ACH-000622,21.0,3.2,1.0
ACH-000623,27.0,3.32,1.0
ACH-000624,16.0,2.38,1.0
ACH-000625,21.0,2.83,1.0
ACH-000626,10.0,2.04,0.0
ACH-000627,14.0,2.38,1.0
ACH-000628,23.0,3.1,1.0
ACH-000630,24.0,3.43,1.0
ACH-000631,8.0,1.9,0.0
ACH-000632,21.0,2.75,1.0
ACH-000633,35.0,7.7,2.0
ACH-000634,30.0,3.58,1.0
ACH-000635,27.0,3.12,1.0
ACH-000636,5.0,1.95,0.0
ACH-000637,24.0,2.82,1.0
ACH-000638,19.0,2.73,1.0
ACH-000639,14.0,1.92,0.0
ACH-000640,25.0,3.54,1.0
ACH-000641,13.0,1.94,0.0
ACH-000643,34.0,4.85,2.0
ACH-000644,22.0,3.22,1.0
ACH-000645,7.0,2.04,0.0
ACH-000646,27.0,3.83,1.0
ACH-000647,26.0,2.71,1.0
ACH-000648,22.0,3.94,1.0
ACH-000649,24.0,3.71,1.0
ACH-000650,13.0,1.76,0.0
ACH-000651,10.0,2.21,1.0
ACH-000652,21.0,3.8,1.0
ACH-000653,20.0,2.85,1.0
ACH-000654,0.0,2.02,0.0
ACH-000656,7.0,2.26,0.0
ACH-000657,2.0,2.01,0.0
ACH-000659,10.0,1.89,0.0
ACH-000660,2.0,1.97,0.0
ACH-000661,25.0,2.53,1.0
ACH-000662,9.0,2.27,1.0
ACH-000663,24.0,3.43,1.0
ACH-000664,16.0,3.44,1.0
ACH-000665,23.0,2.64,1.0
ACH-000666,17.0,2.4,1.0
ACH-000667,32.0,7.74,2.0
ACH-000668,36.0,4.65,2.0
ACH-000669,25.0,2.72,1.0
ACH-000670,19.0,2.97,1.0
ACH-000671,15.0,2.01,0.0
ACH-000672,15.0,2.47,1.0
ACH-000673,25.0,2.79,1.0
ACH-000674,14.0,2.44,0.0
ACH-000675,25.0,2.63,1.0
ACH-000677,27.0,3.48,1.0
ACH-000678,22.0,3.19,2.0
ACH-000679,26.0,2.69,1.0
ACH-000680,22.0,2.95,1.0
ACH-000681,23.0,2.85,1.0
ACH-000683,26.0,2.72,1.0
ACH-000684,6.0,1.94,0.0
ACH-000685,8.0,2.13,1.0
ACH-000686,29.0,3.03,1.0
ACH-000687,0.0,2.0,0.0
ACH-000688,8.0,1.88,0.0
ACH-000689,24.0,3.69,2.0
ACH-000690,27.0,3.31,1.0
ACH-000691,30.0,2.76,1.0
ACH-000692,25.0,4.39,2.0
ACH-000693,27.0,2.69,1.0
ACH-000694,24.0,3.19,1.0
ACH-000695,9.0,1.95,0.0
ACH-000696,28.0,2.56,1.0
ACH-000697,3.0,2.1,0.0
ACH-000698,24.0,2.85,1.0
ACH-000699,14.0,1.48,0.0
ACH-000701,15.0,1.76,0.0
ACH-000702,20.0,2.89,1.0
ACH-000703,21.0,3.56,1.0
ACH-000704,24.0,3.78,1.0
ACH-000705,33.0,7.51,2.0
ACH-000707,0.0,2.05,0.0
ACH-000708,11.0,1.85,0.0
ACH-000709,5.0,1.89,0.0
ACH-000710,21.0,2.79,1.0
ACH-000711,24.0,2.62,1.0
ACH-000713,18.0,1.71,0.0
ACH-000714,23.0,3.29,1.0
ACH-000715,8.0,2.04,0.0
ACH-000716,16.0,3.31,1.0
ACH-000717,22.0,2.89,1.0
ACH-000718,23.0,2.99,1.0
ACH-000719,6.0,2.18,0.0
ACH-000720,18.0,3.15,1.0
ACH-000721,26.0,3.62,2.0
ACH-000722,18.0,3.31,1.0
ACH-000723,21.0,3.3,1.0
ACH-000724,23.0,2.88,1.0
ACH-000725,28.0,2.94,1.0
ACH-000726,18.0,1.8,0.0
ACH-000727,14.0,2.27,1.0
ACH-000728,4.0,2.01,0.0
ACH-000729,10.0,2.05,0.0
ACH-000730,25.0,2.81,1.0
ACH-000731,25.0,2.68,1.0
ACH-000732,9.0,2.01,0.0
ACH-000733,25.0,2.96,2.0
ACH-000734,14.0,2.2,0.0
ACH-000735,9.0,2.05,0.0
ACH-000736,12.0,2.24,0.0
ACH-000737,32.0,2.69,1.0
ACH-000738,18.0,3.02,1.0
ACH-000739,8.0,2.26,0.0
ACH-000740,23.0,2.95,1.0
ACH-000742,0.0,2.0,0.0
ACH-000743,16.0,2.92,1.0
ACH-000744,23.0,2.82,1.0
ACH-000745,2.0,2.03,0.0
ACH-000746,23.0,2.76,1.0
ACH-000747,16.0,2.44,1.0
ACH-000748,4.0,2.05,0.0
ACH-000749,18.0,2.73,1.0
ACH-000750,17.0,3.29,1.0
ACH-000751,16.0,3.32,1.0
ACH-000752,15.0,2.42,1.0
ACH-000753,16.0,3.36,2.0
ACH-000754,8.0,2.2,0.0
ACH-000755,14.0,2.12,0.0
ACH-000756,11.0,2.29,1.0
ACH-000758,14.0,2.3,1.0
ACH-000759,12.0,2.04,0.0
ACH-000760,16.0,3.48,1.0
ACH-000761,32.0,5.5,2.0
ACH-000762,14.0,2.91,1.0
ACH-000763,5.0,1.97,0.0
ACH-000764,28.0,4.75,2.0
ACH-000765,25.0,2.59,1.0
ACH-000766,16.0,2.5,1.0
ACH-000767,23.0,3.08,1.0
ACH-000768,17.0,2.8,1.0
ACH-000769,3.0,1.2,0.0
ACH-000770,6.0,2.1,0.0
ACH-000771,7.0,2.03,0.0
ACH-000772,2.0,2.06,0.0
ACH-000773,10.0,1.9,0.0
ACH-000774,29.0,2.82,1.0
ACH-000775,23.0,2.69,1.0
ACH-000776,26.0,3.66,2.0
ACH-000777,15.0,3.26,2.0
ACH-000778,19.0,2.74,1.0
ACH-000780,15.0,1.71,0.0
ACH-000781,21.0,2.66,1.0
ACH-000782,2.0,1.95,0.0
ACH-000783,11.0,1.96,0.0
ACH-000784,23.0,2.69,1.0
ACH-000785,18.0,3.45,2.0
ACH-000786,1.0,2.0,0.0
ACH-000787,17.0,3.11,1.0
ACH-000788,8.0,2.21,0.0
ACH-000789,28.0,2.62,1.0
ACH-000790,14.0,2.09,1.0
