MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		mRNA splicing, via spliceosome			NAS		J:320339 	
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1922534	Bcdin3d	BCDIN3 domain containing	15		negative regulation of pre-miRNA processing			IBA	PTN000960100 Q7Z5W3 	J:161428 	
MGI:1922534	Bcdin3d	BCDIN3 domain containing	15		negative regulation of pre-miRNA processing			IEA	ENSP00000335201 Q7Z5W3 	J:342605 	
MGI:1922534	Bcdin3d	BCDIN3 domain containing	15		negative regulation of pre-miRNA processing			ISO	Q7Z5W3 	J:164563 	
MGI:1922534	Bcdin3d	BCDIN3 domain containing	15		negative regulation of pre-miRNA processing			ISS	Q7Z5W3 	J:342587 	
MGI:1922534	Bcdin3d	BCDIN3 domain containing	15		pre-miRNA processing			IEA	ENSP00000335201 Q7Z5W3 	J:342605 	
MGI:1922534	Bcdin3d	BCDIN3 domain containing	15		pre-miRNA processing			ISO	Q7Z5W3 	J:164563 	
MGI:1922534	Bcdin3d	BCDIN3 domain containing	15		tRNA methylation			IEA	ENSP00000335201 Q7Z5W3 	J:342605 	
MGI:1922534	Bcdin3d	BCDIN3 domain containing	15		tRNA methylation			ISO	Q7Z5W3 	J:164563 	
MGI:1922534	Bcdin3d	BCDIN3 domain containing	15		tRNA methylation			ISS	Q7Z5W3 	J:342587 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		positive regulation of primary miRNA processing			IEA	ENSP00000245451 P12644 	J:342605 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		positive regulation of primary miRNA processing			ISO	P12644 	J:164563 	
MGI:2446132	Bms1	BMS1, ribosome biogenesis factor	6		endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IBA	PTN000304594 S000002218 S000006138 	J:161428 	
MGI:2446132	Bms1	BMS1, ribosome biogenesis factor	6		maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IBA	PTN000304594 S000002218 S000006138 	J:161428 	
MGI:1334460	Bop1	block of proliferation 1	15		cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IMP		J:148061 	
MGI:1334460	Bop1	block of proliferation 1	15		maturation of 5.8S rRNA			IMP		J:63238 	
MGI:1334460	Bop1	block of proliferation 1	15		maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IEA	UR000107534 	J:342612 	
MGI:1334460	Bop1	block of proliferation 1	15		maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IBA	MGI:1334460 PTN000426773 Q14137 	J:161428 	
MGI:1334460	Bop1	block of proliferation 1	15		maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IEA	ARBA00089685 	J:342609 	
MGI:1334460	Bop1	block of proliferation 1	15		maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IEA	ENSP00000455106 Q14137 	J:342605 	
MGI:1334460	Bop1	block of proliferation 1	15		maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IEA	UR000107534 	J:342612 	
MGI:1334460	Bop1	block of proliferation 1	15		maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			ISO	Q14137 	J:164563 	
MGI:1334460	Bop1	block of proliferation 1	15		maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			ISS	Q14137 	J:342587 	
MGI:1334460	Bop1	block of proliferation 1	15		rRNA processing			IEA	IPR012953 	J:72247 	
MGI:1334460	Bop1	block of proliferation 1	15		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:1334460	Bop1	block of proliferation 1	15		rRNA processing			IGI	MGI:1890613 	J:91121 	
MGI:1334460	Bop1	block of proliferation 1	15		rRNA processing			IMP		J:63238 	
MGI:1891374	Brdt	bromodomain, testis-specific	5		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1891374	Brdt	bromodomain, testis-specific	5		regulation of RNA splicing			IMP		J:190257 	
MGI:1891374	Brdt	bromodomain, testis-specific	5		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1915082	Brix1	BRX1, biogenesis of ribosomes	15		rRNA processing			IEA	IPR007109 	J:72247 	
